idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1662804	0	nan
1	6505	130	12	1558312	0	nan
2	6512	130	13	1492236	0	nan
3	6520	130	18	1533648	0	nan
4	6528	130	12	1654040	0	nan
5	6529	130	12	1583984	0	nan
6	6532	130	18	1989968	0	nan
7	6536	130	12	1609244	0	nan
8	6545	130	15	1692684	0	nan
9	6550	130	11	1453208	0	nan
10	6570	131	20	1928952	0	nan
11	6588	131	10	1475928	0	nan
12	6604	132	27	2151880	0	nan
13	6606	132	13	1751352	0	nan
14	6612	132	14	1881108	0	nan
15	6642	132	18	1960708	0	nan
16	6650	132	13	1759648	0	nan
17	6711	134	11	1502308	0	nan
18	6748	134	14	1544384	0	nan
19	6775	135	11	1529104	0	nan
20	6786	135	17	1852748	0	nan
21	6804	136	13	1588748	0	nan
22	6805	136	12	1724028	0	nan
23	6806	136	12	1788728	0	nan
24	6821	136	13	1555168	0	nan
25	6822	136	17	1977468	0	nan
26	6837	136	14	1838728	0	nan
27	6844	136	14	1766348	0	nan
28	6852	137	14	1600172	0	nan
29	6867	137	13	1597076	0	nan
30	6874	137	22	2054516	0	nan
31	6878	137	17	1676580	0	nan
32	6887	137	11	1526348	0	nan
33	6888	137	21	1979240	0	nan
34	6898	137	11	1527816	0	nan
