sample	evt	cand_len_cm	angle_deg	angle1_deg	ratio	sg_len_cm	cap_deg	considered
mcp1k	278684	2.2	124.02	124.02	1.189	35.7	16.0	0
mcp1k	278684	20.1	151.09	151.09	1.050	22.6	16.0	0
mcp1k	278684	20.4	152.62	152.62	1.087	23.6	16.0	0
mcp1k	278684	3.0	156.94	156.94	0.679	36.7	16.0	0
mcp1k	278684	3.1	115.11	115.11	0.908	84.5	16.0	0
mcp1k	278684	3.5	102.61	102.61	0.914	84.6	16.0	0
mcp1k	278684	5.5	29.95	29.95	0.936	1.3	16.0	0
mcp1k	281595	220.3	15.71	10.59	1.021	117.6	16.0	1
mcp1k	281595	220.8	15.58	10.57	1.019	116.1	16.0	1
mcp1k	283713	14.8	11.77	11.77	1.233	28.0	16.0	0
mcp1k	283713	2.9	142.48	142.48	1.006	244.2	16.0	0
mcp1k	283713	3.6	129.54	129.54	0.747	4.0	16.0	0
mcp1k	283713	4.2	136.65	136.65	1.346	28.0	16.0	0
mcp1k	283713	6.2	153.13	153.13	0.309	248.6	16.0	0
mcp1k	286681	14.2	95.78	95.78	1.299	3.9	16.0	0
mcp1k	286681	18.8	88.24	88.24	1.952	27.2	16.0	0
mcp1k	286681	4.8	78.12	78.12	1.274	3.9	16.0	0
mcp1k	286681	56.3	121.43	123.90	1.363	27.2	16.0	0
mcp1k	286681	7.0	46.22	46.22	1.471	7.2	16.0	0
mcp1k	286681	7.0	46.31	46.31	1.398	4.9	16.0	0
mcp1k	313847	5.6	120.24	120.24	1.086	77.8	16.0	0
mcp1k	313847	5.8	65.87	65.87	0.908	22.4	16.0	0
mcp1k	313847	6.2	129.07	129.07	0.969	79.4	16.0	0
mcp1k	313847	63.0	69.05	67.24	1.991	22.4	16.0	0
mcp1k	313847	64.8	71.87	71.62	1.968	19.7	16.0	0
mcp1k	313847	7.6	55.33	55.33	0.920	19.7	16.0	0
mcp1k	61579	10.4	43.15	43.15	1.213	5.8	16.0	0
mcp1k	61579	2.4	59.12	59.12	0.980	10.7	16.0	0
mcp1k	61579	2.9	64.05	64.05	0.874	13.7	16.0	0
mcp1k	61579	7.8	137.42	137.42	1.246	10.9	16.0	0
mcp1k	71222	10.6	132.21	132.21	0.356	6.8	16.0	0
mcp1k	71222	11.5	134.91	134.91	0.308	8.3	16.0	0
mcp1k	71222	2.2	48.20	48.20	1.024	9.0	16.0	0
mcp1k	71222	2.8	54.28	54.28	0.843	8.2	16.0	0
mcp1k	71222	5.4	97.94	97.94	0.110	6.8	16.0	0
mcp1k	71222	5.9	114.63	114.63	0.407	8.3	16.0	0
mcp1k	71222	6.9	69.55	69.55	1.044	8.3	16.0	0
mcp1k	71222	7.5	68.30	68.30	0.904	6.8	16.0	0
mcp2k	177536	11.3	52.45	52.45	1.119	292.4	16.0	0
mcp2k	177536	12.0	46.78	46.78	1.070	292.3	16.0	0
mcp2k	178885	6.3	91.56	91.56	1.180	193.9	16.0	0
mcp2k	178885	6.5	90.99	90.99	1.298	196.0	16.0	0
mcp2k	243628	11.2	105.05	105.05	3.273	81.0	16.0	0
mcp2k	243628	12.7	26.40	26.40	1.904	81.6	16.0	0
mcp2k	243628	13.1	22.41	22.41	1.873	81.3	16.0	0
mcp2k	243628	13.1	23.64	23.64	1.844	81.0	16.0	0
mcp2k	243628	91.8	58.59	66.57	1.886	81.0	16.0	0
mcp2k	282271	1.8	34.65	34.65	0.976	7.9	16.0	0
mcp2k	282271	2.3	85.56	85.56	1.390	7.9	16.0	0
mcp2k	282271	2.9	43.23	43.23	1.053	9.0	16.0	0
mcp2k	282271	20.0	38.39	38.39	1.099	9.0	16.0	0
mcp2k	282271	3.0	48.46	48.46	1.066	10.1	16.0	0
mcp2k	294174	18.1	22.57	22.57	1.578	30.1	16.0	0
mcp2k	294174	27.2	70.64	70.64	1.366	31.6	16.0	0
mcp2k	294174	27.3	73.05	73.05	1.302	30.1	16.0	0
mcp2k	294174	3.9	29.06	29.06	1.253	6.4	16.0	0
