sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
cv	numu	-3.0	460	557	460	706	0.8259	0.6516
cv	numu	-2.9	460	557	460	704	0.8259	0.6534
cv	numu	-2.8	460	557	460	701	0.8259	0.6562
cv	numu	-2.7	460	557	460	701	0.8259	0.6562
cv	numu	-2.6	460	557	460	699	0.8259	0.6581
cv	numu	-2.5	460	557	460	695	0.8259	0.6619
cv	numu	-2.4	460	557	460	693	0.8259	0.6638
cv	numu	-2.3	460	557	460	691	0.8259	0.6657
cv	numu	-2.2	460	557	460	685	0.8259	0.6715
cv	numu	-2.1	460	557	460	681	0.8259	0.6755
cv	numu	-2.0	460	557	460	680	0.8259	0.6765
cv	numu	-1.9	460	557	460	665	0.8259	0.6917
cv	numu	-1.8	460	557	460	659	0.8259	0.6980
cv	numu	-1.7	460	557	460	654	0.8259	0.7034
cv	numu	-1.6	460	557	460	651	0.8259	0.7066
cv	numu	-1.5	460	557	460	642	0.8259	0.7165
cv	numu	-1.4	459	557	459	639	0.8241	0.7183
cv	numu	-1.3	457	557	457	632	0.8205	0.7231
cv	numu	-1.2	457	557	457	621	0.8205	0.7359
cv	numu	-1.1	457	557	457	614	0.8205	0.7443
cv	numu	-1.0	454	557	454	602	0.8151	0.7542
cv	numu	-0.9	453	557	453	596	0.8133	0.7601
cv	numu	-0.8	451	557	451	587	0.8097	0.7683
cv	numu	-0.7	449	557	449	578	0.8061	0.7768
cv	numu	-0.6	446	557	446	572	0.8007	0.7797
cv	numu	-0.5	445	557	445	566	0.7989	0.7862
cv	numu	-0.4	441	557	441	554	0.7917	0.7960
cv	numu	-0.3	435	557	435	541	0.7810	0.8041
cv	numu	-0.2	433	557	433	533	0.7774	0.8124
cv	numu	-0.1	431	557	431	529	0.7738	0.8147
cv	numu	0.0	426	557	426	520	0.7648	0.8192
cv	numu	0.1	422	557	422	513	0.7576	0.8226
cv	numu	0.2	417	557	417	504	0.7487	0.8274
cv	numu	0.3	415	557	415	496	0.7451	0.8367
cv	numu	0.4	410	557	410	486	0.7361	0.8436
cv	numu	0.5	407	557	407	480	0.7307	0.8479
cv	numu	0.6	403	557	403	473	0.7235	0.8520
cv	numu	0.7	398	557	398	466	0.7145	0.8541
cv	numu	0.8	391	557	391	454	0.7020	0.8612
cv	numu	0.9	387	557	387	448	0.6948	0.8638
cv	numu	1.0	380	557	380	435	0.6822	0.8736
cv	numu	1.1	374	557	374	426	0.6715	0.8779
cv	numu	1.2	370	557	370	417	0.6643	0.8873
cv	numu	1.3	364	557	364	404	0.6535	0.9010
cv	numu	1.4	357	557	357	397	0.6409	0.8992
cv	numu	1.5	349	557	349	386	0.6266	0.9041
cv	numu	1.6	342	557	342	375	0.6140	0.9120
cv	numu	1.7	339	557	339	371	0.6086	0.9137
cv	numu	1.8	328	557	328	357	0.5889	0.9188
cv	numu	1.9	323	557	323	351	0.5799	0.9202
cv	numu	2.0	318	557	318	343	0.5709	0.9271
cv	numu	2.1	313	557	313	338	0.5619	0.9260
cv	numu	2.2	305	557	305	328	0.5476	0.9299
cv	numu	2.3	298	557	298	318	0.5350	0.9371
cv	numu	2.4	287	557	287	307	0.5153	0.9349
cv	numu	2.5	279	557	279	297	0.5009	0.9394
cv	numu	2.6	269	557	269	285	0.4829	0.9439
cv	numu	2.7	263	557	263	276	0.4722	0.9529
cv	numu	2.8	250	557	250	263	0.4488	0.9506
cv	numu	2.9	242	557	242	254	0.4345	0.9528
cv	numu	3.0	230	557	230	240	0.4129	0.9583
cv	numu	3.1	211	557	211	220	0.3788	0.9591
cv	numu	3.2	202	557	202	210	0.3627	0.9619
cv	numu	3.3	189	557	189	196	0.3393	0.9643
cv	numu	3.4	180	557	180	184	0.3232	0.9783
cv	numu	3.5	166	557	166	170	0.2980	0.9765
cv	numu	3.6	151	557	151	155	0.2711	0.9742
cv	numu	3.7	142	557	142	145	0.2549	0.9793
cv	numu	3.8	132	557	132	135	0.2370	0.9778
cv	numu	3.9	118	557	118	121	0.2118	0.9752
cv	numu	4.0	111	557	111	114	0.1993	0.9737
cv	numu	4.1	102	557	102	105	0.1831	0.9714
cv	numu	4.2	93	557	93	96	0.1670	0.9688
cv	numu	4.3	76	557	76	79	0.1364	0.9620
cv	numu	4.4	62	557	62	63	0.1113	0.9841
cv	numu	4.5	53	557	53	54	0.0952	0.9815
cv	numu	4.6	48	557	48	49	0.0862	0.9796
cv	numu	4.7	43	557	43	44	0.0772	0.9773
cv	numu	4.8	37	557	37	38	0.0664	0.9737
cv	numu	4.9	32	557	32	33	0.0575	0.9697
cv	numu	5.0	29	557	29	30	0.0521	0.9667
cv	numu	5.1	25	557	25	25	0.0449	1.0000
cv	numu	5.2	21	557	21	21	0.0377	1.0000
cv	numu	5.3	19	557	19	19	0.0341	1.0000
cv	numu	5.4	15	557	15	15	0.0269	1.0000
cv	numu	5.5	12	557	12	12	0.0215	1.0000
cv	numu	5.6	9	557	9	9	0.0162	1.0000
cv	numu	5.7	8	557	8	8	0.0144	1.0000
cv	numu	5.8	4	557	4	4	0.0072	1.0000
cv	numu	5.9	3	557	3	3	0.0054	1.0000
cv	numu	6.0	3	557	3	3	0.0054	1.0000
cv	numu	6.1	3	557	3	3	0.0054	1.0000
cv	numu	6.2	1	557	1	1	0.0018	1.0000
cv	numu	6.3	1	557	1	1	0.0018	1.0000
cv	numu	6.4	0	557	0	0	0.0000	
cv	numu	6.5	0	557	0	0	0.0000	
cv	numu	6.6	0	557	0	0	0.0000	
cv	numu	6.7	0	557	0	0	0.0000	
cv	numu	6.8	0	557	0	0	0.0000	
cv	numu	6.9	0	557	0	0	0.0000	
cv	numu	7.0	0	557	0	0	0.0000	
cv	nue	-10.0	5	5	5	64	1.0000	0.0781
cv	nue	-9.9	5	5	5	62	1.0000	0.0806
cv	nue	-9.8	5	5	5	62	1.0000	0.0806
cv	nue	-9.7	5	5	5	62	1.0000	0.0806
cv	nue	-9.6	5	5	5	60	1.0000	0.0833
cv	nue	-9.5	5	5	5	60	1.0000	0.0833
cv	nue	-9.4	5	5	5	60	1.0000	0.0833
cv	nue	-9.3	5	5	5	59	1.0000	0.0847
cv	nue	-9.2	5	5	5	58	1.0000	0.0862
cv	nue	-9.1	4	5	4	54	0.8000	0.0741
cv	nue	-9.0	4	5	4	53	0.8000	0.0755
cv	nue	-8.9	4	5	4	53	0.8000	0.0755
cv	nue	-8.8	4	5	4	51	0.8000	0.0784
cv	nue	-8.7	4	5	4	50	0.8000	0.0800
cv	nue	-8.6	4	5	4	48	0.8000	0.0833
cv	nue	-8.5	4	5	4	48	0.8000	0.0833
cv	nue	-8.4	4	5	4	47	0.8000	0.0851
cv	nue	-8.3	4	5	4	47	0.8000	0.0851
cv	nue	-8.2	4	5	4	45	0.8000	0.0889
cv	nue	-8.1	4	5	4	45	0.8000	0.0889
cv	nue	-8.0	4	5	4	45	0.8000	0.0889
cv	nue	-7.9	4	5	4	43	0.8000	0.0930
cv	nue	-7.8	4	5	4	41	0.8000	0.0976
cv	nue	-7.7	4	5	4	41	0.8000	0.0976
cv	nue	-7.6	4	5	4	40	0.8000	0.1000
cv	nue	-7.5	4	5	4	40	0.8000	0.1000
cv	nue	-7.4	4	5	4	40	0.8000	0.1000
cv	nue	-7.3	4	5	4	40	0.8000	0.1000
cv	nue	-7.2	4	5	4	39	0.8000	0.1026
cv	nue	-7.1	4	5	4	39	0.8000	0.1026
cv	nue	-7.0	4	5	4	38	0.8000	0.1053
cv	nue	-6.9	4	5	4	37	0.8000	0.1081
cv	nue	-6.8	4	5	4	34	0.8000	0.1176
cv	nue	-6.7	4	5	4	34	0.8000	0.1176
cv	nue	-6.6	4	5	4	34	0.8000	0.1176
cv	nue	-6.5	4	5	4	34	0.8000	0.1176
cv	nue	-6.4	4	5	4	34	0.8000	0.1176
cv	nue	-6.3	4	5	4	32	0.8000	0.1250
cv	nue	-6.2	4	5	4	32	0.8000	0.1250
cv	nue	-6.1	4	5	4	32	0.8000	0.1250
cv	nue	-6.0	4	5	4	32	0.8000	0.1250
cv	nue	-5.9	4	5	4	32	0.8000	0.1250
cv	nue	-5.8	4	5	4	32	0.8000	0.1250
cv	nue	-5.7	4	5	4	32	0.8000	0.1250
cv	nue	-5.6	4	5	4	31	0.8000	0.1290
cv	nue	-5.5	4	5	4	31	0.8000	0.1290
cv	nue	-5.4	4	5	4	31	0.8000	0.1290
cv	nue	-5.3	4	5	4	31	0.8000	0.1290
cv	nue	-5.2	4	5	4	31	0.8000	0.1290
cv	nue	-5.1	4	5	4	29	0.8000	0.1379
cv	nue	-5.0	4	5	4	29	0.8000	0.1379
cv	nue	-4.9	4	5	4	28	0.8000	0.1429
cv	nue	-4.8	4	5	4	28	0.8000	0.1429
cv	nue	-4.7	4	5	4	27	0.8000	0.1481
cv	nue	-4.6	4	5	4	26	0.8000	0.1538
cv	nue	-4.5	4	5	4	26	0.8000	0.1538
cv	nue	-4.4	4	5	4	26	0.8000	0.1538
cv	nue	-4.3	4	5	4	26	0.8000	0.1538
cv	nue	-4.2	4	5	4	26	0.8000	0.1538
cv	nue	-4.1	4	5	4	26	0.8000	0.1538
cv	nue	-4.0	4	5	4	26	0.8000	0.1538
cv	nue	-3.9	4	5	4	25	0.8000	0.1600
cv	nue	-3.8	4	5	4	25	0.8000	0.1600
cv	nue	-3.7	4	5	4	24	0.8000	0.1667
cv	nue	-3.6	4	5	4	24	0.8000	0.1667
cv	nue	-3.5	4	5	4	23	0.8000	0.1739
cv	nue	-3.4	4	5	4	23	0.8000	0.1739
cv	nue	-3.3	4	5	4	23	0.8000	0.1739
cv	nue	-3.2	4	5	4	23	0.8000	0.1739
cv	nue	-3.1	4	5	4	22	0.8000	0.1818
cv	nue	-3.0	4	5	4	22	0.8000	0.1818
cv	nue	-2.9	4	5	4	22	0.8000	0.1818
cv	nue	-2.8	4	5	4	22	0.8000	0.1818
cv	nue	-2.7	4	5	4	22	0.8000	0.1818
cv	nue	-2.6	4	5	4	21	0.8000	0.1905
cv	nue	-2.5	4	5	4	20	0.8000	0.2000
cv	nue	-2.4	4	5	4	20	0.8000	0.2000
cv	nue	-2.3	4	5	4	19	0.8000	0.2105
cv	nue	-2.2	4	5	4	19	0.8000	0.2105
cv	nue	-2.1	4	5	4	19	0.8000	0.2105
cv	nue	-2.0	4	5	4	19	0.8000	0.2105
cv	nue	-1.9	4	5	4	18	0.8000	0.2222
cv	nue	-1.8	4	5	4	18	0.8000	0.2222
cv	nue	-1.7	4	5	4	17	0.8000	0.2353
cv	nue	-1.6	4	5	4	17	0.8000	0.2353
cv	nue	-1.5	4	5	4	17	0.8000	0.2353
cv	nue	-1.4	4	5	4	16	0.8000	0.2500
cv	nue	-1.3	4	5	4	16	0.8000	0.2500
cv	nue	-1.2	4	5	4	16	0.8000	0.2500
cv	nue	-1.1	4	5	4	16	0.8000	0.2500
cv	nue	-1.0	4	5	4	16	0.8000	0.2500
cv	nue	-0.9	4	5	4	16	0.8000	0.2500
cv	nue	-0.8	4	5	4	16	0.8000	0.2500
cv	nue	-0.7	4	5	4	16	0.8000	0.2500
