sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
nuecc	numu	-3.0	51	90	51	1526	0.5667	0.0334
nuecc	numu	-2.9	51	90	51	1525	0.5667	0.0334
nuecc	numu	-2.8	51	90	51	1523	0.5667	0.0335
nuecc	numu	-2.7	51	90	51	1521	0.5667	0.0335
nuecc	numu	-2.6	51	90	51	1520	0.5667	0.0336
nuecc	numu	-2.5	51	90	51	1515	0.5667	0.0337
nuecc	numu	-2.4	51	90	51	1515	0.5667	0.0337
nuecc	numu	-2.3	51	90	51	1513	0.5667	0.0337
nuecc	numu	-2.2	51	90	51	1508	0.5667	0.0338
nuecc	numu	-2.1	51	90	51	1507	0.5667	0.0338
nuecc	numu	-2.0	51	90	51	1506	0.5667	0.0339
nuecc	numu	-1.9	51	90	51	1502	0.5667	0.0340
nuecc	numu	-1.8	51	90	51	1494	0.5667	0.0341
nuecc	numu	-1.7	51	90	51	1480	0.5667	0.0345
nuecc	numu	-1.6	51	90	51	1458	0.5667	0.0350
nuecc	numu	-1.5	51	90	51	1441	0.5667	0.0354
nuecc	numu	-1.4	51	90	51	1417	0.5667	0.0360
nuecc	numu	-1.3	51	90	51	1399	0.5667	0.0365
nuecc	numu	-1.2	51	90	51	1371	0.5667	0.0372
nuecc	numu	-1.1	51	90	51	1340	0.5667	0.0381
nuecc	numu	-1.0	50	90	50	1301	0.5556	0.0384
nuecc	numu	-0.9	50	90	50	1257	0.5556	0.0398
nuecc	numu	-0.8	50	90	50	1209	0.5556	0.0414
nuecc	numu	-0.7	50	90	50	1161	0.5556	0.0431
nuecc	numu	-0.6	50	90	50	1100	0.5556	0.0455
nuecc	numu	-0.5	50	90	50	1044	0.5556	0.0479
nuecc	numu	-0.4	50	90	50	974	0.5556	0.0513
nuecc	numu	-0.3	50	90	50	914	0.5556	0.0547
nuecc	numu	-0.2	49	90	49	852	0.5444	0.0575
nuecc	numu	-0.1	49	90	49	788	0.5444	0.0622
nuecc	numu	0.0	49	90	49	724	0.5444	0.0677
nuecc	numu	0.1	49	90	49	649	0.5444	0.0755
nuecc	numu	0.2	49	90	49	581	0.5444	0.0843
nuecc	numu	0.3	48	90	48	533	0.5333	0.0901
nuecc	numu	0.4	47	90	47	470	0.5222	0.1000
nuecc	numu	0.5	47	90	47	429	0.5222	0.1096
nuecc	numu	0.6	47	90	47	395	0.5222	0.1190
nuecc	numu	0.7	47	90	47	348	0.5222	0.1351
nuecc	numu	0.8	47	90	47	317	0.5222	0.1483
nuecc	numu	0.9	47	90	47	296	0.5222	0.1588
nuecc	numu	1.0	47	90	47	269	0.5222	0.1747
nuecc	numu	1.1	47	90	47	234	0.5222	0.2009
nuecc	numu	1.2	47	90	47	212	0.5222	0.2217
nuecc	numu	1.3	47	90	47	193	0.5222	0.2435
nuecc	numu	1.4	47	90	47	167	0.5222	0.2814
nuecc	numu	1.5	47	90	47	150	0.5222	0.3133
nuecc	numu	1.6	47	90	47	136	0.5222	0.3456
nuecc	numu	1.7	45	90	45	120	0.5000	0.3750
nuecc	numu	1.8	45	90	45	113	0.5000	0.3982
nuecc	numu	1.9	44	90	44	105	0.4889	0.4190
nuecc	numu	2.0	44	90	44	98	0.4889	0.4490
nuecc	numu	2.1	42	90	42	91	0.4667	0.4615
nuecc	numu	2.2	42	90	42	85	0.4667	0.4941
nuecc	numu	2.3	41	90	41	82	0.4556	0.5000
nuecc	numu	2.4	41	90	41	80	0.4556	0.5125
nuecc	numu	2.5	39	90	39	73	0.4333	0.5342
nuecc	numu	2.6	39	90	39	71	0.4333	0.5493
nuecc	numu	2.7	36	90	36	61	0.4000	0.5902
nuecc	numu	2.8	32	90	32	55	0.3556	0.5818
nuecc	numu	2.9	31	90	31	48	0.3444	0.6458
nuecc	numu	3.0	31	90	31	47	0.3444	0.6596
nuecc	numu	3.1	29	90	29	45	0.3222	0.6444
