arm	run	subrun	evt	shower	n_mem	n_mu	n_oth	L_mu_cm	L_oth_cm	L_chain_cm	L_unchained_cm	dQ_frac_oth	kine_range	kine_dQdx	kine_charge	kine_best	best_is	fallback_why	dqdx_all_MeV	dqdx_chain_MeV	dqdx_shift_MeV	total_length_cm	ratio_dqdx_range	n_deg3_internal	min_arm_cm	start_pdg
mcp1k	18259	1	166738	62032	7	3	4	16.83	22.84	0	16.83	0.4371	0	116.8	90.06	90.06	charge	range_zero	116.8	64.98	51.81	39.68	-1	0	-1	13
mcp1k	18259	1	166870	85045	4	3	1	17.4	3.13	0	17.4	0.1285	0	45.92	38.59	38.59	charge	range_zero	45.92	39.59	6.327	20.53	-1	0	-1	13
mcp1k	18259	1	168526	19028	4	2	2	341.1	5.423	341.1	0	0.02386	785.6	780.3	591.8	780.3	dQdx	end_degree_or_override	780.3	762.2	18.08	346.6	0.9932	1	2.029	13
mcp1k	18259	1	168614	5002	3	2	1	188.6	7.929	188.6	0	0.02451	441.8	417.5	287.2	441.8	range		417.5	405.7	11.89	196.6	0.945	1	7.929	13
mcp1k	18259	1	169890	21002	3	2	1	155.8	2.972	155.8	0	0.01565	370.5	360.6	257	370.5	range		360.6	354.1	6.454	158.7	0.9732	1	2.972	13
mcp1k	18259	1	172794	20000	1	1	0	230.1	0	230.1	0	0	533.1	521.9	371.4	533.1	range		521.9	521.9	0	230.1	0.979	0	-1	13
mcp1k	18259	1	174224	20033	5	3	2	343.2	3.58	343.2	5.684e-14	0.008285	790.4	758.8	554.7	790.4	range		758.8	750.7	8.135	346.8	0.96	1	0.8985	13
mcp1k	18259	1	174928	30022	1	1	0	4.309	0	4.309	0	0	28.37	25.15	0.5853	28.37	range		25.15	25.15	0	4.309	0.8865	0	-1	13
mcp1k	18255	1	278684	10008	8	6	2	187.8	5.031	167.3	20.49	0.02993	395.3	448.3	324.4	395.3	range		448.3	434	14.32	192.8	1.134	2	2.182	13
mcp1k	18255	1	278794	7002	2	2	0	126.4	0	126.4	0	0	307.6	333.1	241.9	307.6	range		333.1	333.1	0	126.4	1.083	0	-1	13
mcp1k	18255	1	279256	15003	5	4	1	294.3	2.821	290.6	3.745	0.01262	669.3	693.2	502.5	669.3	range		693.2	684.6	8.593	297.1	1.036	1	2.821	13
mcp1k	18255	1	281214	60027	1	1	0	64.58	0	64.58	0	0	175.9	143.2	101	175.9	range		143.2	143.2	0	64.58	0.8141	0	-1	13
mcp1k	18255	1	281214	15000	1	1	0	79.08	0	79.08	0	0	206.9	210	144.2	206.9	range		210	210	0	79.08	1.015	0	-1	13
mcp1k	18255	1	281595	20013	3	3	0	351	0	130	221	0	315.1	750.1	518.4	750.1	dQdx	ratio_outside	750.1	750.1	0	351	2.38	0	-1	13
mcp1k	18255	1	282072	7005	3	3	0	323.3	0	309.8	13.57	0	713.2	695.5	509.2	713.2	range		695.5	695.5	0	323.3	0.9752	0	-1	13
mcp1k	18255	1	282217	9005	3	2	1	414.2	1.515	414.2	5.684e-14	0.002638	957.4	940.5	654	957.4	range		940.5	937.6	2.888	415.7	0.9823	1	1.515	13
mcp1k	18255	1	282385	11011	5	3	2	156.7	6.835	156.7	2.842e-14	0.04948	372.5	419.3	275	372.5	range		419.3	399.9	19.37	163.5	1.126	2	3.28	13
