evt	source	nseg	npoints	len_cm	seg_id	cluster	ke_MCS	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit
48367	pf_muon	1	298	178.1	19000	19	403.0	0.2322	174.5	408.1	419.0	389.4
48895	pf_muon	1	302	180.8	17001	17	806.8	0.9612	178.4	416.5	424.8	407.2
49951	pf_muon	1	91	54.1	16001	16	184.1	0.8131	53.8	152.0	153.1	150.1
51051	pf_muon	1	420	253.9	19001	19	1055.2	0.7132	252.2	578.3	586.3	562.7
51513	pf_muon	1	112	66.8	16002	16	187.1	0.8262	66.8	179.9	180.6	174.7
52085	pf_muon	1	173	104.6	6002	6	351.0	0.6735	104.6	260.0	261.1	267.0
52657	pf_muon	1	171	101.9	23000	23	276.9	0.5958	101.3	253.0	255.4	263.2
52723	pf_muon	1	103	61.2	7000	7	1129.1	0.9176	61.2	167.9	168.6	142.4
53361	pf_muon	1	191	114.1	27004	27	278.0	0.1945	114.1	280.0	281.3	286.9
53427	pf_muon	1	312	188.8	14004	14	419.5	0.03352	187.6	436.6	442.2	418.4
54175	pf_muon	1	310	185.5	18001	18	539.9	0.5014	184.7	430.4	434.9	418.8
54351	pf_muon	1	72	42.3	17012	17	105.6	0.691	41.8	125.5	127.1	125.9
55539	pf_muon	1	334	199.9	18002	18	471.3	0.1378	199.1	461.8	466.4	428.6
55595	pf_muon	1	318	190.1	8012	8	411.0	0.04387	189.1	439.9	445.1	438.1
55627	pf_muon	1	313	187.0	22001	22	890.3	0.7075	186.0	433.3	438.2	409.1
56243	pf_muon	1	122	72.6	9002	9	279.2	0.7906	72.6	192.5	193.2	158.1
56463	pf_muon	1	407	246.1	14006	14	551.0	0.00844	244.7	561.9	568.9	546.6
57441	pf_muon	1	171	101.9	20000	20	858.6	0.8971	101.9	254.3	255.4	235.9
57485	pf_muon	1	78	46.1	16006	16	116.1	0.6646	46.1	135.2	135.6	130.6
57575	pf_muon	1	360	216.8	12002	12	829.2	0.5692	214.1	494.7	503.6	480.6
57661	pf_muon	1	187	111.4	18028	18	299.4	0.4466	111.4	274.3	275.5	285.0
57883	pf_muon	1	150	89.2	16017	16	235.2	0.533	88.9	227.0	228.5	227.3
57903	pf_muon	1	92	54.7	14004	14	143.5	0.3486	54.7	153.9	154.5	150.0
58321	pf_muon	1	248	150.0	19004	19	328.0	0.08224	148.2	352.2	358.1	326.5
58345	pf_muon	1	82	48.5	7001	7	357.7	0.9277	48.3	140.1	140.9	116.2
58653	pf_muon	1	156	93.1	4000	4	508.1	0.8545	92.8	235.1	236.8	208.8
59003	pf_muon	1	530	319.1	19000	19	837.6	0.4959	314.0	713.6	734.5	721.2
59025	pf_muon	1	237	143.0	19004	19	326.7	0.2077	142.2	339.4	343.0	323.8
59093	pf_muon	1	194	115.5	15005	15	284.0	0.2427	114.7	281.3	284.4	276.1
59179	pf_muon	1	249	148.6	15003	15	417.6	0.6006	147.6	350.9	355.0	363.8
59247	pf_muon	1	198	118.0	15005	15	280.0	0.2401	117.8	287.7	289.7	307.2
59261	pf_muon	1	149	88.7	11006	11	289.4	0.7071	87.9	224.8	227.3	239.9
59335	pf_muon	1	116	69.1	11020	11	185.9	0.4594	69.1	184.9	185.6	251.7
59371	pf_muon	1	171	101.9	8001	8	681.1	0.8235	101.4	253.2	255.4	221.5
