arm	run	evt	stub_bridge	seed	accept	gate	nseg	total_cm	maxlen_cm	stop	stop_len_cm	stop_angle_deg	stop_ratio	stop_degree
mcp1k	18259	166738	1	16001	0	size1	1	171.1	171.1	dead_end	0	-1	-1	1
mcp1k	18259	166738	1	16004	0	size1	1	81.95	81.95	dead_end	0	-1	-1	1
mcp1k	18259	166738	0	16001	0	size1	1	171.1	171.1	dead_end	0	-1	-1	1
mcp1k	18259	166738	0	16004	0	size1	1	81.95	81.95	dead_end	0	-1	-1	1
mcp1k	18259	166804	1	9001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166804	1	9003	0	size1	1	26.13	26.13	dead_end	0	-1	-1	1
mcp1k	18259	166804	0	9001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166804	0	9003	0	size1	1	26.13	26.13	dead_end	0	-1	-1	1
mcp1k	18259	166870	1	10068	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166870	1	10074	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166870	1	10075	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166870	0	10068	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166870	0	10074	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	166870	0	10075	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	167112	1	16001	0	size1	1	53.09	53.09	dead_end	0	-1	-1	1
mcp1k	18259	167112	1	16003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	167112	1	16008	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	167112	0	16001	0	size1	1	53.09	53.09	dead_end	0	-1	-1	1
mcp1k	18259	167112	0	16003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	167112	0	16008	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	167684	1	10000	0	size1	1	12.21	12.21	dead_end	0	-1	-1	1
mcp1k	18259	167684	1	10002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	167684	0	10000	0	size1	1	12.21	12.21	dead_end	0	-1	-1	1
mcp1k	18259	167684	0	10002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	168432	1	19031	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	168432	1	19032	0	size1	1	12.75	12.75	dead_end	0	-1	-1	1
mcp1k	18259	168432	0	19031	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	168432	0	19032	0	size1	1	12.75	12.75	dead_end	0	-1	-1	1
mcp1k	18259	168526	1	19020	0	size1	1	206.7	206.7	angle	3.658	146	1.293	2
mcp1k	18259	168526	1	19021	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	168526	1	19024	0	size1	1	21.97	21.97	both	21.48	20.02	1.358	3
mcp1k	18259	168526	1	19028	1	accepted	2	341.1	244.6	both	3.394	31.59	1.821	2
mcp1k	18259	168526	0	19020	0	size1	1	206.7	206.7	angle	3.658	146	1.293	2
mcp1k	18259	168526	0	19021	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	168526	0	19024	0	size1	1	21.97	21.97	both	21.48	20.02	1.358	3
mcp1k	18259	168526	0	19028	1	accepted	2	341.1	244.6	both	3.394	31.59	1.821	2
mcp1k	18259	168614	1	5002	1	accepted	2	188.6	176.4	dead_end	0	-1	-1	1
mcp1k	18259	168614	0	5002	1	accepted	2	188.6	176.4	dead_end	0	-1	-1	1
mcp1k	18259	168658	1	12000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	168658	0	12000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169356	1	16005	0	size1	1	116.4	116.4	angle	3.494	35.57	0.9569	4
