arm	run	subrun	evt	shower	defect	n_mu	n_oth	L_mu_cm	L_chain_cm	L_unchained_cm	start_pdg	n_deg3_internal	min_arm_cm	dQ_frac_oth	dqdx_shift_MeV	kine_range	kine_dQdx	kine_charge	kine_best	best_is	fallback_why	mcs_source	mcs_nseg	mcs_len_cm	mcs_ke	mcs_ke_range_toolkit
mcp2k	18255	1	497311	15000	broken_chain	1	1	332.8	0	332.8	13	0	-1	0.002731	2.314	0	722.9	508.5	508.5	charge	range_zero		-1	-1	-1	-1
mcp2k	18259	1	177536	17006	broken_chain	4	0	294.8	0	294.8	13	0	-1	0	0	0	701.8	511.8	511.8	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	74784	8004	broken_chain	3	1	291.3	29.93	261.3	13	0	-1	0.0164	49.5	98.85	717.8	498.5	717.8	dQdx	ratio_outside		-1	-1	-1	-1
mcp2k	18255	1	53793	12002	broken_chain	2	1	240.9	0	240.9	13	0	-1	0.006798	3.5	0	527.8	391	391	charge	range_zero		-1	-1	-1	-1
mcp1k	18255	1	281595	20013	broken_chain	3	0	351	130	221	13	0	-1	0	0	315.1	750.1	518.4	750.1	dQdx	ratio_outside	pf_muon	1	221	536.2	513
mcp2k	18259	1	178885	9016	broken_chain	3	1	195	0	195	13	0	-1	0.03912	17.86	0	463.1	364.3	364.3	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	66366	22006	broken_chain	4	1	300.6	126.2	174.4	13	1	6.849	0.01629	12.18	307	656	503.9	656	dQdx	ratio_outside		-1	-1	-1	-1
mcp1k	18255	1	313847	19014	broken_chain	3	1	260.9	98.54	162.4	13	1	6.851	0.03123	16.73	248.3	547.5	432.4	547.5	dQdx	ratio_outside	pf_muon	1	162.4	367.9	384.8
mcp2k	18255	1	77978	15000	broken_chain	2	0	140.4	0	140.4	13	0	-1	0	0	0	309.4	219.2	219.2	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	55278	13000	broken_chain	1	1	131.4	0	131.4	13	0	-1	0.006953	2.047	0	268.3	181.4	181.4	charge	range_zero		-1	-1	-1	-1
