evt	mcs_len_cm	ke_MCS	ke_range_toolkit	ke_dqdx_toolkit	pr_muon_KE	pr_over_fragment
172090	303.8	637.1	699.5	616.2	699.5	1
172266	113.7	502	280.6	252.5	280.6	0.9999
172656	255.8	602.2	590.6	571.6	596.1	1.009
172788	135.4	254.6	326.7	290.7	326.7	1
172794	230.1	483.9	533.1	521.9	533.1	1
172832	125.6	278.8	305.9	327.1	305.9	1
173146	139.3	525.4	335	308.6	335	1
173234	235.6	515.6	545.5	556.6	545.5	1
173498	172	974.8	405.7	375.2	405.7	1
174224	176.8	781.4	415.9	367.9	790.4	1.901
174422	134.2	816.8	324.2	274	324.2	0.9999
174576	99.6	257.9	250.5	236.4	251.9	1.005
174928	89.6	288.5	229.3	204.7	229.3	1
276836	222.3	605.2	516	463.5	515.6	0.9993
277276	137	461.8	330.1	315.3	330.1	1
278420	62	163.4	170.4	245	170.4	0.9997
278640	128.6	285.3	312.2	300.2	311.9	0.9991
278684	84.9	1344	219.3	204.2	395.3	1.803
278785	198.8	404.8	464	444.8	464	1
278794	103.8	364.6	259.5	263.6	307.6	1.185
279256	202.8	455.9	472.9	483.5	669.3	1.415
280466	97.3	272.5	245.6	285.9	245.4	0.9993
280972	483.1	1289	1107	1057	1107	1
280994	120.7	291.6	295.4	319.7	295.4	1
281214	79.1	186.9	206.9	210	206.9	1
281505	98.9	224.6	249	226.9	249	1
281507	122.8	573.9	299.9	275	299.9	1
281527	161.8	423.1	383.4	361.1	383.4	1
281595	221	536.2	513	473.9	750.1	1.462
281837	120.7	984.8	295.4	270.3	88	0.2979
281953	87.7	217.8	225.2	196	225.2	0.9999
282072	212.3	502.5	493.9	465.6	713.2	1.444
282204	88.2	199.4	226.3	222.9	225.3	0.9955
282217	301.3	878.5	693.8	684.3	957.4	1.38
282231	52.4	-1	149.6	132.6	149.6	0.9998
282385	100.3	1612	252.1	231.4	372.5	1.478
282459	91	378.6	232.4	203.3	232.4	0.9998
282666	129.6	415.2	314.3	367.3	314.3	1
282737	176.6	387.7	415.6	400.4	415.6	0.9999
282899	133.6	489.1	322.9	437.6	323	1
283009	163.5	821.4	387.2	358.3	105.6	0.2728
283040	69	412.2	185.3	206.4	298.5	1.611
283091	121	362.6	296.1	294.9	296.1	1
283229	174.7	446	411.5	414.5	411.5	0.9999
283713	251.9	2018	581.9	549.5	1139	1.958
283771	139.7	1287	336	308	336	1
283905	115	242.6	283.3	296.4	283.3	0.9999
283991	132.1	275.2	319.8	325.3	320.5	1.002
284013	147.1	367.9	351.9	345.7	351.9	0.9999
284103	124.6	481.6	303.7	263.4	396.4	1.305
284153	136.3	317.8	328.8	328.4	328.8	0.9999
284211	141.1	347.8	339	305.1	339	1
284657	80	551.6	208.9	178	208.9	1
284769	285.9	1843	658.7	628.5	856.9	1.301
284794	274.9	711.9	633.8	578	633.8	0.9999
285311	41.5	298.6	125.3	114.9	125.4	1.001
285366	67.7	565.4	182.6	225.9	182.6	0.9999
285443	74.9	880.1	197.9	384.1	197.9	1
285467	100.6	2716	252.6	234.2	252.6	1
285531	152.1	358.3	362.7	342.8	362.7	1
285929	277.6	751.8	639.8	619.4	639.8	1
285971	113.9	708.1	280.9	292.7	625.8	2.228
286191	96.3	232.2	243.6	249.1	274	1.125
286241	306.5	642.1	705.7	674.3	705.7	1
286268	201.8	462	470.6	490.6	470.6	1
286353	196.4	1531	458.9	425.8	630.1	1.373
286400	350.6	756.8	807.6	831.8	807.6	1
286681	65	15.4	176.9	135.2	181.1	1.024
286818	43.4	117.9	129.5	121.2	130.6	1.008
286906	127.3	554	309.5	293.4	309.5	0.9999
287007	40.2	216.3	122.2	112.7	122.2	1
287211	101.7	233.6	254.9	239.5	254.9	1
287249	139	348.2	334.6	331.8	334.6	0.9999
287517	143.2	337.4	343.4	376.1	343.4	1
287555	41.9	111.3	126.1	126.2	126.1	1
287621	55	657	155.2	270.7	154.8	0.9971
287825	122.4	250.1	298.9	299.3	298.9	1
288287	137.5	3313	331.4	298	101.8	0.3072
288327	79.3	336.8	207.5	169.2	314.8	1.517
288358	122.1	694.1	298.4	342.6	298.4	1
288639	82.2	496	213.5	197.5	213.5	1
288859	244.1	1203	564.5	522.7	782.1	1.386
288947	62.6	203.1	171.5	166.4	171.5	1
289251	139.9	1350	336.5	327.4	658.4	1.957
289559	101.1	1256	253.8	224.6	381.5	1.503
289832	219.7	888.2	510	495.5	510	1
290052	76.9	212.7	202.3	200.6	201.7	0.9969
290729	70.1	187.4	187.7	144	188.6	1.005
291037	109	238.8	270.5	277.1	270.5	1
291064	166	412.7	392.6	402.6	392.6	0.9999
291262	131.8	303.4	319.1	333.8	319.1	1
291499	40.5	269.8	123	96.7	123	0.9998
