run	subrun	event	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	lgop_numu	lgop_nue	lgop_Enu	lgop_x	lgop_y	lgop_z	truth_signal
713	67	7	1.297	-15.000	457.3	74.2	42.7	330.0	0.456	-15.000	442.3	69.9	43.2	339.0	numu
719	1	34	1.961	-15.000	869.0	37.8	154.1	298.4	5.299	-8.398	1416.5	76.4	98.3	143.4	numu
