event	matched_A	matched_B	same	moved	lost	gained	rescue_A	rescue_B
48301	18	18	10	8	0	0	0	0
48367	23	23	18	5	0	0	0	0
48565	24	24	18	6	0	0	0	0
48895	19	19	12	7	0	0	0	0
49445	16	16	15	1	0	0	0	0
49467	21	20	15	5	1	0	0	0
49511	18	17	13	4	1	0	0	1
49709	15	15	13	2	0	0	0	0
49885	21	21	16	5	0	0	0	0
49951	19	19	11	8	0	0	0	0
50017	28	28	19	9	0	0	0	0
50303	21	21	16	5	0	0	0	0
50523	17	17	17	0	0	0	0	0
50743	25	25	14	11	0	0	0	0
50765	21	21	16	5	0	0	0	0
50787	11	11	10	1	0	0	0	0
50809	21	21	17	4	0	0	0	0
50831	24	23	17	6	1	0	0	0
50919	20	20	15	5	0	0	0	0
51051	23	23	14	9	0	0	0	0
51469	21	21	14	7	0	0	0	0
51513	19	19	15	4	0	0	0	0
51865	21	21	16	5	0	0	0	0
52085	19	19	13	6	0	0	0	0
52195	25	25	15	10	0	0	0	0
52613	18	18	15	3	0	0	0	0
52657	26	27	16	10	0	1	0	0
52723	18	18	12	6	0	0	0	0
53361	23	23	19	4	0	0	0	0
53427	16	17	13	3	0	1	0	0
53493	19	19	12	7	0	0	0	0
53581	16	16	7	9	0	0	0	0
53713	21	21	18	3	0	0	0	0
53779	23	23	14	9	0	0	0	0
53955	25	25	21	4	0	0	0	0
54175	22	22	20	2	0	0	0	0
54209	20	20	12	8	0	0	0	0
54285	23	23	17	6	0	0	0	0
54341	39	39	33	6	0	0	0	0
54351	20	20	15	5	0	0	0	0
54505	16	16	15	1	0	0	0	0
54527	12	12	10	2	0	0	0	0
55231	22	22	13	9	0	0	0	0
55539	21	21	16	5	0	0	0	0
55583	19	19	11	8	0	0	0	0
55595	18	18	12	6	0	0	0	0
55627	24	24	17	7	0	0	0	0
55693	16	16	14	2	0	0	0	0
55715	20	20	16	4	0	0	0	0
55925	20	20	14	6	0	0	0	0
55957	28	28	17	11	0	0	0	0
56211	32	32	22	10	0	0	0	0
56243	18	17	10	7	1	0	0	0
56299	20	20	8	12	0	0	0	0
56353	22	21	11	10	1	0	0	0
56387	23	23	15	8	0	0	0	0
56463	22	23	18	4	0	1	2	0
56519	18	18	11	7	0	0	0	0
57245	23	23	18	5	0	0	0	0
57311	14	14	11	3	0	0	0	0
57333	16	16	9	7	0	0	0	0
57355	20	20	13	7	0	0	0	0
57441	24	24	20	4	0	0	0	0
57485	25	25	22	3	0	0	0	0
57487	18	18	10	8	0	0	0	0
57575	25	25	23	2	0	0	0	0
57661	24	25	18	6	0	1	0	0
57883	27	27	19	8	0	0	0	0
57903	23	23	13	10	0	0	0	0
57949	18	18	11	7	0	0	0	0
58169	24	24	14	10	0	0	0	0
58211	11	11	5	6	0	0	0	0
58255	18	18	9	9	0	0	0	0
58321	20	20	15	5	0	0	0	0
58343	23	23	16	7	0	0	0	0
58345	15	16	11	4	0	1	0	0
58433	15	15	12	3	0	0	0	0
58519	25	25	19	6	0	0	0	0
58543	20	20	14	6	0	0	0	0
58607	31	32	17	14	0	1	0	0
58653	18	18	10	8	0	0	0	0
58667	21	21	18	3	0	0	0	0
58711	12	12	12	0	0	0	0	0
58717	28	28	20	8	0	0	0	0
58755	31	31	28	3	0	0	0	0
58777	22	22	15	7	0	0	0	0
58821	31	31	26	5	0	0	0	0
58997	24	24	14	10	0	0	0	0
59003	26	25	14	11	1	0	1	0
59019	24	24	22	2	0	0	0	0
59025	22	22	17	5	0	0	0	0
