run	subrun	event	base_numu	base_nue	base_Enu	base_x	base_y	base_z	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	truth_signal
18265	1	132284	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.068	-15.000	456.8	-43.5	-117.4	249.8	
18269	1	197600	-999.000	-999.000	0.0	0.0	0.0	0.0	1.492	-15.000	781.7	145.0	64.2	176.0	
18269	1	212714	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18270	1	913972	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18270	1	929086	-999.000	-999.000	0.0	0.0	0.0	0.0	-3.223	-15.000	117.5	56.0	95.5	330.4	
18275	1	3491	-1.942	-15.000	0.0	0.0	0.0	0.0	-999.000	-999.000	0.0	0.0	0.0	0.0	
18275	1	13171	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18279	1	173864	0.143	-7.176	818.3	29.9	169.8	7.6	1.277	-6.475	802.2	37.4	164.9	7.1	
18346	1	18358	0.327	-3.632	746.1	44.9	195.3	240.8	0.993	-15.000	594.6	44.9	195.3	240.8	
18351	1	299559	0.141	-15.000	668.9	2.0	-74.1	434.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
18351	1	301451	0.425	-15.000	1054.4	-44.8	-112.3	430.2	-1.341	-15.000	854.1	-33.9	199.6	390.6	
18358	1	111172	-2.481	-15.000	650.6	-106.9	-198.9	23.3	-999.000	-999.000	0.0	0.0	0.0	0.0	
18390	1	742853	-999.000	-999.000	0.0	0.0	0.0	0.0	2.022	-15.000	803.0	188.7	-122.5	318.9	
18390	1	743645	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18390	1	745999	-999.000	-999.000	0.0	0.0	0.0	0.0	-0.596	-15.000	110.5	-66.1	93.1	490.4	
18461	1	146791	-3.942	-15.000	11.3	81.7	-137.6	347.3	-2.422	-15.000	107.4	-60.8	-26.3	455.3	
18482	1	444203	3.070	-12.624	1286.7	-6.0	-10.7	57.6	-1.942	-15.000	0.0	0.0	0.0	0.0	
18482	1	449681	-999.000	-999.000	0.0	0.0	0.0	0.0	0.798	-15.000	757.1	49.4	-30.6	298.4	
18482	1	449989	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.587	-15.000	112.5	-29.6	27.8	374.9	
18484	1	289939	-2.403	-15.000	143.8	6.3	129.5	174.2	-3.187	-15.000	40.3	-49.5	94.5	127.7	
18487	1	326580	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.676	-15.000	67.1	-44.7	199.2	364.8	
18503	1	179510	0.644	3.866	3265.4	-147.6	126.7	412.2	1.162	4.918	3242.1	-148.3	127.5	412.2	
18503	1	186572	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18504	1	881772	-999.000	-999.000	0.0	0.0	0.0	0.0	-0.568	-15.000	289.8	-0.6	45.3	326.7	
18515	1	350519	-0.664	-15.000	1409.0	96.5	-197.6	3.3	-1.942	-15.000	0.0	0.0	0.0	0.0	
18528	1	168922	-2.249	-15.000	108.7	-132.9	56.2	328.3	-1.942	-15.000	0.0	0.0	0.0	0.0	
18551	1	434375	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.682	-15.000	35.3	-25.1	178.8	480.8	
18577	1	4341	-1.942	-15.000	0.0	0.0	0.0	0.0	-999.000	-999.000	0.0	0.0	0.0	0.0	
18577	1	10831	-1.942	-15.000	0.0	0.0	0.0	0.0	-999.000	-999.000	0.0	0.0	0.0	0.0	
18577	1	16375	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.310	-15.000	61.6	17.6	174.5	483.5	
