run	subrun	event	base_numu	base_nue	base_Enu	base_x	base_y	base_z	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	truth_signal
711	20	46	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.971	-15.000	27.1	155.2	-125.8	454.9	
711	90	27	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.366	-15.000	188.5	-13.4	-52.1	227.9	
712	6	2	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.104	-15.000	471.4	60.1	163.3	9.7	
712	12	35	-999.000	-999.000	0.0	0.0	0.0	0.0	-3.464	-15.000	144.7	-151.0	-192.1	241.4	numu
712	25	7	-999.000	-999.000	0.0	0.0	0.0	0.0	0.166	-15.000	324.6	-137.2	119.6	172.4	
712	31	6	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.946	-15.000	133.7	169.6	74.8	45.2	
712	94	16	-0.203	-9.960	585.7	-0.8	161.6	375.6	-0.961	-15.000	312.1	-2.3	152.1	379.8	
712	94	23	-1.133	-15.000	259.9	106.2	-171.1	428.3	-999.000	-999.000	0.0	0.0	0.0	0.0	
712	94	24	-1.942	-15.000	0.0	0.0	0.0	0.0	-999.000	-999.000	0.0	0.0	0.0	0.0	
713	7	28	-0.744	-15.000	919.9	69.5	5.0	163.7	-0.435	-15.000	1307.4	59.0	4.4	170.6	numu
713	8	18	-1.151	-15.000	101.9	-87.2	20.2	488.9	-1.151	-15.000	101.9	-86.7	25.4	493.0	
713	8	29	-0.746	8.457	2078.6	68.2	190.1	241.5	1.585	6.059	1547.9	68.0	191.2	240.8	
713	10	12	-1.208	-15.000	408.1	23.2	-102.7	55.0	-999.000	-999.000	0.0	0.0	0.0	0.0	
713	13	2	-999.000	-999.000	0.0	0.0	0.0	0.0	2.862	-3.437	385.7	88.1	57.9	469.9	
713	23	35	3.261	-15.000	926.5	1.4	187.4	271.8	-0.233	-15.000	718.4	0.4	186.6	269.7	
713	23	38	-0.750	-15.000	190.2	-115.0	-56.1	57.9	-1.489	-15.000	71.4	-75.7	99.1	0.4	
713	23	49	0.905	-15.000	1228.8	-67.2	-80.6	441.1	0.630	-15.000	1228.5	-67.2	-80.6	441.1	numu
713	30	1	1.783	-15.000	733.1	-117.9	112.7	113.2	0.851	-15.000	728.4	-117.9	112.7	113.2	numu
713	30	40	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
713	31	7	-999.000	-999.000	0.0	0.0	0.0	0.0	4.537	-15.000	836.7	147.1	3.1	334.7	numu
713	48	14	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.498	-15.000	120.2	-169.8	-115.3	385.1	
713	48	33	-999.000	-999.000	0.0	0.0	0.0	0.0	-0.306	-15.000	225.4	-42.1	-166.8	377.3	numu
713	50	21	1.869	-15.000	1914.1	-166.6	105.3	28.5	0.773	-15.000	2016.1	-166.7	105.2	28.3	numu
713	51	8	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.106	-15.000	108.6	128.7	-137.0	437.3	
713	51	35	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.107	-15.000	107.7	198.1	-27.9	241.0	
713	54	49	-1.305	-15.000	22.7	-144.6	-176.1	407.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
713	54	50	-999.000	-999.000	0.0	0.0	0.0	0.0	4.287	-15.000	1184.9	58.1	-5.5	225.2	numu
713	59	39	0.715	-15.000	472.7	65.0	138.2	415.0	1.259	-15.000	457.6	59.5	-124.0	387.7	numu
713	62	22	0.899	-15.000	925.4	130.6	160.8	270.9	0.963	-15.000	922.6	130.6	160.8	270.9	numu
713	67	31	-1.288	2.667	2046.2	-14.0	170.4	285.6	-1.201	4.253	2054.7	-14.0	170.4	285.6	numu
713	77	23	0.754	-15.000	211.6	-65.2	-27.2	472.1	1.341	-15.000	290.0	-65.1	-26.4	472.0	
713	84	18	-1.149	-15.000	115.2	-148.5	31.3	47.9	-999.000	-999.000	0.0	0.0	0.0	0.0	
713	91	12	-999.000	-999.000	0.0	0.0	0.0	0.0	3.354	-15.000	645.2	31.1	-112.8	4.5	
713	93	32	-2.272	-15.000	27.7	-158.6	127.9	269.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
713	93	35	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.544	-15.000	109.5	54.2	176.4	446.1	
714	12	26	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.648	-15.000	106.7	-82.7	131.4	113.9	
714	18	19	1.161	-15.000	558.2	51.0	90.7	194.8	0.625	-15.000	567.1	51.1	90.7	194.4	numu
714	40	15	-1.942	-15.000	0.0	0.0	0.0	0.0	-999.000	-999.000	0.0	0.0	0.0	0.0	
714	55	5	-0.485	-13.184	313.3	-91.6	-92.1	155.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
714	56	46	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.401	-15.000	12.7	-181.4	-79.1	194.8	
714	73	17	-999.000	-999.000	0.0	0.0	0.0	0.0	3.572	-15.000	521.6	162.8	-180.2	408.3	numu
715	6	49	-0.930	-15.000	593.5	89.4	74.7	479.0	3.202	-4.897	834.6	86.6	65.2	455.2	
715	15	39	-1.907	-15.000	265.2	-41.6	199.4	28.1	-999.000	-999.000	0.0	0.0	0.0	0.0	
715	15	49	-999.000	-999.000	0.0	0.0	0.0	0.0	2.595	-15.000	1277.8	-40.9	-122.5	75.8	numu
715	17	18	-3.054	-15.000	9.8	76.8	69.6	19.1	-999.000	-999.000	0.0	0.0	0.0	0.0	
715	25	38	-2.640	-15.000	109.7	-160.4	51.8	13.3	-999.000	-999.000	0.0	0.0	0.0	0.0	
715	36	46	0.268	-15.000	230.1	-1.0	-2.7	185.8	2.689	-15.000	1129.2	62.1	-11.6	126.9	numu
715	68	5	-0.964	-8.870	437.6	72.8	70.9	296.1	-1.059	-12.147	351.8	75.5	66.6	297.6	
715	79	37	-999.000	-999.000	0.0	0.0	0.0	0.0	2.571	-15.000	625.2	-10.7	5.8	390.5	numu
