event	sample	entry	run	subrun	pass	rule	near_tpc	near_t0_us	far_tpc	far_t0_us	dt0_us	class	near_reco1_t_raw_us	near_reco1_pe	farTPC_prompt_pe_at_near_t	nearTPC_prompt_pe	farTPC_reco1_nearest_dt_us	farTPC_reco1_nearest_pe	adopted	nearTPC_prompt_pe_at_far_t	nearTPC_reco1_nearest_dt_to_far_t_us	nhits
50801	mcp2k_p1	308	18255	1	unmatched_rescue		0	2.013	1			far-unmatched	-0.7305	18290	110	13948	0.024	360	near			34095
56463	mcp1k	599	18255	1	rescue	longer-half	0	1.185	1	5.746	4.561	within-8us-veto	-0.7339	19350	20996	5787	4.561	28958	far	5510	3.691	32863
56463	mcp1k	599	18255	1	unmatched_rescue		0	1.185	1			far-unmatched	-0.7339	19350	20996	5787	4.561	28958	near			32863
59003	mcp1k	411	18255	1	rescue	beam-dominant	0	1.578	1	-0.75	-2.328	within-8us-veto	1.2869	6352	3946	2837	-2.328	34273	near	91	2.328	35817
65053	mcp1k	439	18255	1	rescue	new-path-beam	1	0.735	0	581.574	580.839	far-flash->13us(geom-first)	-0.6597	2071	1862	691	-0.092	20201	near	0	0.031	20449
65289	mcp1k	548	18255	1	rescue	new-path-beam	0	1.746	1	-2.772	-4.518	within-8us-veto	-0.7323	35441	271	29087	-4.517	3184	near	4734	4.518	26858
70128	mcp2k_p1	280	18255	1	rescue	new-path-beam	0	2.143	1	1.785	-0.358	within-8us-veto	-0.3805	529	825	150	-0.358	9234	near	116	0.358	38150
70538	mcp2k_p1	862	18255	1	rescue	new-path-beam	0	1.604	1	1.606	0.002	same-time(no-light-loss)	1.3510	802	923	249	0.002	3003	near	249	-0.002	40304
72759	mcp2k_p1	460	18255	1	rescue	new-path-beam	0	1.763	1	10.413	8.650	8-13us	-0.7407	6802	124	2839	0.598	2495	near	140	0.001	20938
73324	mcp2k_p2	343	18255	1	rescue	longer-half	1	1.103	0	5.702	4.599	within-8us-veto	-0.7394	4075	53	1435	4.600	14354	far	530	-4.599	22473
73727	mcp2k_p1	464	18255	1	rescue	new-path-beam	0	0.866	1	0.868	0.002	same-time(no-light-loss)	-0.7531	1016	4668	384	0.002	8663	near	393	-0.002	45888
78242	mcp2k_p1	697	18255	1	rescue	new-path-beam	0	1.907	1	857.224	855.317	far-flash->13us(geom-first)	-0.7408	43107	3384	26813	2.047	13927	near	0	-0.008	35394
78369	mcp2k_p1	490	18255	1	rescue	longer-half	0	1.281	1	4.292	3.011	within-8us-veto	-0.7551	95179	70	61179	3.011	6164	near	23648	-3.011	29633
79689	mcp2k_p1	496	18255	1	rescue	new-path-beam	0	0.671	1	0.674	0.003	same-time(no-light-loss)	-0.7458	4412	246	1924	0.003	721	near	1924	-0.003	23004
82608	mcp2k_p1	645	18255	1	rescue	beam-dominant	0	1.97	1	5.763	3.793	within-8us-veto	-0.7688	18424	9	1624	3.793	28974	near	13570	-3.793	34334
99563	mcp2k_p2	924	18255	1	rescue	new-path-beam	0	1.815	1	1.826	0.011	same-time(no-light-loss)	-0.7448	25927	403	16940	0.011	1238	near	16940	-0.011	53467
158601	mcp2k_p2	213	18259	1	rescue	longer-half	1	1.783	0	3.019	1.236	within-8us-veto	-0.7473	25744	12	14016	1.237	8143	near	7260	-1.236	23523
161725	mcp2k_p2	228	18259	1	rescue	longer-half	1	1.002	0	-1.023	-2.025	within-8us-veto	0.7464	22445	119	18749	-2.025	4846	near	13552	2.025	21447
164576	mcp2k_p2	51	18259	1	rescue	longer-half	1	1.613	0	13.733	12.120	8-13us	-0.7370	10286	31	7663	0.017	147	near	6005	-0.010	35457
169758	mcp1k	808	18259	1	rescue	new-path-beam	0	1.376	1	1.379	0.003	same-time(no-light-loss)	-0.7520	1990	876	716	0.003	2227	near	716	-0.003	12664
169824	mcp1k	809	18259	1	rescue	beam-dominant	1	1.328	0	-3.141	-4.469	within-8us-veto	-0.7482	14893	3481	10599	3.586	471	near	12319	4.469	30805
173450	mcp2k_p1	528	18259	1	rescue	new-path-beam	0	0.792	1	-1.012	-1.804	within-8us-veto	-0.7550	1392	301	544	-1.804	12555	near	65	1.804	25449
173495	mcp2k_p1	100	18259	1	rescue	new-path-beam	0	1.622	1	1.62	-0.002	same-time(no-light-loss)	-0.7353	1952	210	590	-0.002	708	near	585	0.002	40902
