run	subrun	event	base_numu	base_nue	base_Enu	base_x	base_y	base_z	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	truth_signal
18255	1	52693	-0.223	-15.000	1010.9	96.4	-45.2	34.7	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	53749	-999.000	-999.000	0.0	0.0	0.0	0.0	1.599	-15.000	871.3	68.4	-75.0	189.6	
18255	1	54453	-0.310	-15.000	650.6	-108.4	-92.6	234.1	-0.516	-15.000	535.4	-110.0	-82.6	161.6	
18255	1	58006	0.987	-15.000	469.0	161.3	-20.4	143.3	0.737	-15.000	468.4	161.3	-20.4	143.3	
18255	1	66944	0.034	-15.000	355.7	-100.3	-61.2	370.4	1.774	-15.000	414.2	-98.0	-62.7	441.6	
18255	1	67868	0.475	-15.000	1089.7	152.5	45.2	345.6	3.252	-15.000	1016.9	152.5	45.0	345.5	
18255	1	69518	-999.000	-999.000	0.0	0.0	0.0	0.0	0.769	-15.000	289.8	83.7	15.7	308.5	
18255	1	70186	2.307	-15.000	994.0	91.0	-178.4	9.0	4.625	-15.000	863.9	39.8	-192.4	6.6	
18255	1	70816	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.048	-15.000	214.8	-69.8	67.7	152.7	
18255	1	71642	2.264	-3.296	1522.4	23.5	53.3	138.9	0.636	-0.307	1796.5	23.2	53.2	138.8	
18255	1	72099	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18255	1	72254	-999.000	-999.000	0.0	0.0	0.0	0.0	-0.681	-15.000	278.3	-70.2	-198.6	440.6	
18255	1	72760	-2.073	-15.000	2.7	-26.5	-5.1	115.4	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	73038	-1.448	-15.000	206.5	-1.5	-29.5	111.6	-1.942	-15.000	0.0	0.0	0.0	0.0	
18255	1	73324	-2.348	-15.000	108.8	100.5	44.2	252.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	73727	3.609	-15.000	651.1	-4.4	-157.7	58.8	2.453	-15.000	870.5	93.7	-140.0	265.9	
18255	1	74128	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18255	1	75668	-1.362	-15.000	56.3	-23.7	199.9	382.9	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	76250	4.089	-15.000	598.8	-165.2	-116.2	174.7	1.035	-15.000	598.1	-176.9	-104.6	186.0	
18255	1	77406	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.576	-15.000	83.4	-60.2	17.4	464.7	
18255	1	77846	-0.559	-15.000	156.7	-14.4	92.3	260.7	3.175	-15.000	639.8	-23.4	98.1	251.9	
18255	1	78582	-3.965	-15.000	12.0	100.3	-139.5	320.8	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	82300	-999.000	-999.000	0.0	0.0	0.0	0.0	-3.180	-15.000	107.8	-187.6	-71.3	304.9	
18255	1	90751	-0.545	-15.000	864.6	-3.5	100.2	356.4	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	93234	-2.131	-15.000	17.3	157.1	-113.4	303.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	95305	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.851	-15.000	35.6	-33.4	27.6	67.8	
18255	1	98298	-1.998	-15.000	123.8	-105.2	187.2	482.6	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	99284	-4.180	-15.000	12.7	-6.2	-156.6	34.8	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	102005	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.597	-15.000	89.1	77.8	-79.1	7.1	
18255	1	102643	-2.849	-15.000	10.2	-8.4	70.1	289.3	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	105338	-999.000	-999.000	0.0	0.0	0.0	0.0	1.421	-15.000	676.8	-105.0	-91.9	189.6	
18255	1	105492	-0.784	-15.000	121.6	50.7	-52.8	179.8	-0.780	-12.501	122.8	55.8	-55.8	179.1	
18255	1	275385	-0.305	-15.000	240.9	-156.0	-100.8	317.5	4.216	-15.000	481.5	-156.0	-100.8	317.5	
18255	1	280819	-1.700	-15.000	27.6	-32.0	-86.1	30.1	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	281215	-999.000	-999.000	0.0	0.0	0.0	0.0	-4.037	-15.000	9.6	-15.3	119.1	381.9	
18255	1	281985	2.255	-15.000	521.9	47.0	76.9	471.4	0.395	-15.000	292.1	41.8	26.4	470.5	
18255	1	283525	-3.388	-15.000	111.8	-159.8	-67.4	481.1	-1.579	-15.000	198.7	51.6	-14.9	184.1	
18255	1	286120	-2.445	-15.000	107.6	145.4	-37.7	297.1	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	287244	-999.000	-999.000	0.0	0.0	0.0	0.0	-1.942	-15.000	0.0	0.0	0.0	0.0	
18255	1	287332	-2.026	-15.000	282.5	59.6	165.8	0.1	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	288124	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.486	-15.000	105.9	197.9	64.2	6.1	
18255	1	289202	-999.000	-999.000	0.0	0.0	0.0	0.0	-0.332	2.710	531.1	69.2	24.3	283.8	
18255	1	290192	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.836	-15.000	436.8	-62.9	199.8	405.6	
18255	1	290762	-999.000	-999.000	0.0	0.0	0.0	0.0	-2.861	-15.000	20.1	47.6	138.0	221.5	
18255	1	293536	-1.066	-4.527	249.9	-8.5	163.4	93.8	0.983	-2.768	342.1	-8.3	162.8	93.5	
18255	1	319275	-3.414	-15.000	489.9	122.2	200.0	92.7	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	321849	4.175	-15.000	1074.4	90.4	-99.8	372.1	2.608	-15.000	506.0	188.2	62.9	16.6	
18255	1	322707	2.704	-15.000	1038.2	67.2	-87.2	329.6	1.030	-15.000	1064.0	42.3	-86.9	302.8	
18255	1	323369	-2.297	-15.000	729.6	31.9	-6.7	140.0	-0.902	-15.000	875.2	30.0	-17.5	134.6	
18255	1	323917	-0.370	-8.597	234.7	-140.8	-66.0	400.2	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	348638	-0.240	-15.000	424.8	3.8	-70.0	203.9	-999.000	-999.000	0.0	0.0	0.0	0.0	
18255	1	390743	1.793	-15.000	502.2	-60.3	-95.0	21.7	-2.170	-15.000	63.1	55.4	145.9	0.6	
18255	1	391777	1.145	-15.000	729.0	-72.9	-9.9	88.8	0.893	-15.000	730.4	-73.1	-10.0	88.6	
