run	subrun	event	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	lgop_numu	lgop_nue	lgop_Enu	lgop_x	lgop_y	lgop_z	truth_signal
18279	1	183456	-1.942	-15.000	0.0	0.0	0.0	0.0	0.268	-15.000	482.0	-119.7	13.9	499.0	
18358	1	111172	-999.000	-999.000	0.0	0.0	0.0	0.0	2.279	-15.000	874.8	-6.0	-34.5	57.4	
18487	1	326580	-2.676	-15.000	67.1	-44.7	199.2	364.8	-999.000	-999.000	0.0	0.0	0.0	0.0	
