run	subrun	event	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	nr_numu	nr_nue	nr_Enu	nr_x	nr_y	nr_z	truth_signal
713	98	36	2.199	-15.000	268.8	-180.5	136.6	265.7	3.392	-15.000	836.7	50.5	-91.0	3.9	numu
715	79	26	-1.942	-15.000	0.0	0.0	0.0	0.0	-0.024	-15.000	335.4	-0.9	-168.2	173.3	
719	1	2	4.381	-15.000	746.4	-54.2	-147.3	262.1	2.183	-15.000	1041.7	-161.4	-11.7	420.4	numu
