idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1681936	0	nan
1	6505	130	12	1575076	0	nan
2	6512	130	13	1524368	0	nan
3	6520	130	16	1547268	0	nan
4	6528	130	12	1672172	0	nan
5	6529	130	11	1594360	0	nan
6	6532	130	18	2012848	0	nan
7	6536	130	12	1631624	0	nan
8	6545	130	14	1714524	0	nan
9	6550	130	10	1471628	0	nan
10	6570	131	20	1896268	0	nan
11	6588	131	10	1496956	0	nan
12	6604	132	25	2171764	0	nan
13	6606	132	12	1768576	0	nan
14	6612	132	14	1875156	0	nan
15	6642	132	17	1982120	0	nan
16	6650	132	13	1813804	0	nan
17	6711	134	11	1530820	0	nan
18	6748	134	13	1565788	0	nan
19	6775	135	11	1544864	0	nan
20	6786	135	17	1901812	0	nan
21	6804	136	12	1607476	0	nan
22	6805	136	12	1744516	0	nan
23	6806	136	12	1843736	0	nan
24	6821	136	12	1575516	0	nan
25	6822	136	16	1970804	0	nan
26	6837	136	13	1885428	0	nan
27	6844	136	13	1793540	0	nan
28	6852	137	13	1619400	0	nan
29	6867	137	12	1613648	0	nan
30	6874	137	22	2080292	0	nan
31	6878	137	16	1728140	0	nan
32	6887	137	11	1546812	0	nan
33	6888	137	21	1979940	0	nan
34	6898	137	11	1544976	0	nan
