idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1959872	0	nan
1	6505	130	13	1868664	0	nan
2	6512	130	15	1779352	0	nan
3	6520	130	19	1837940	0	nan
4	6528	130	13	1958628	0	nan
5	6529	130	13	1878944	0	nan
6	6532	130	20	2191548	0	nan
7	6536	130	13	1903428	0	nan
8	6545	130	17	1951908	0	nan
9	6550	130	12	1731484	0	nan
10	6570	131	24	2150760	0	nan
11	6588	131	11	1766428	0	nan
12	6604	132	30	2298420	0	nan
13	6606	132	15	2054552	0	nan
14	6612	132	17	2145444	0	nan
15	6642	132	20	2179168	0	nan
16	6650	132	15	2088616	0	nan
17	6711	134	13	1824604	0	nan
18	6748	134	15	1832000	0	nan
19	6775	135	12	1826292	0	nan
20	6786	135	20	2068140	0	nan
21	6804	136	15	1892828	0	nan
22	6805	136	14	2013132	0	nan
23	6806	136	14	2079844	0	nan
24	6821	136	14	1846160	0	nan
25	6822	136	18	2234584	0	nan
26	6837	136	15	2151484	0	nan
27	6844	136	15	2080060	0	nan
28	6852	137	15	1910116	0	nan
29	6867	137	14	1838792	0	nan
30	6874	137	25	2241832	0	nan
31	6878	137	19	2012716	0	nan
32	6887	137	13	1834712	0	nan
33	6888	137	24	2119880	0	nan
34	6898	137	13	1817352	0	nan
