sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	399998	0	10.024	5.583	12	1213092	0	nu-candidate	16	1	1	1	0	1.206	40.9	3	-117.77954	129.54814	435.44254	1.3461542	-15.0	1.0	0.0	0.7	0.0	515.9364	1.936936	0.0	1.936936	1	2.6732376
mcp1k	18255	1	400054	0	9.907	5.146	12	1218764	0	nu-candidate	13	1	1	1	0	1.389	6.8	6	-163.66107	-98.04891	245.93169	-1.1078095	-15.0	1.0	0.0	0.7	0.0	100.26694	0.43732473	0.0	0.43732473	1	11.521392
mcp1k	18255	1	400174	0	3.942	0.874	5	347944	0	nu-candidate	10	2	2	0	0																		
mcp1k	18255	1	400262	0	3.628	0.758	4	336768	0	nu-candidate	10	1	1	0	0																		
mcp1k	18255	1	400274	0	6.462	4.083	8	774880	0	cosmic-tagged	9	1	1	1	0	1.908	2.3	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	400460	0	9.387	7.156	11	1225700	0	nu-candidate	12	1	1	1	0	1.893	164.2	4	123.327805	-63.111904	163.69435	2.0945916	-15.0	1.0	0.0	0.7	0.0	552.4958	1.3746202	0.0	1.3746202	1	4.426257
mcp1k	18255	1	400504	0	11.416	7.145	12	1283388	0	nu-candidate	8	1	1	1	0	0.994	54.6	6	49.73442	61.247524	457.28787	2.059221	-15.0	1.0	0.0	0.7	0.0	470.55505	0.7900171	0.0	0.7900171	1	0.0
mcp1k	18255	1	400592	0	11.449	7.710	12	1346360	0	nu-candidate	12	1	1	1	0	1.365	236.6	1	117.326706	-47.204212	256.5228	5.2236605	-15.0	1.0	0.0	0.7	0.0	801.757	0.0	0.0	0.0	0	1.0266715
mcp1k	18255	1	400636	0	12.465	8.833	13	1283476	0	nu-candidate	15	2	2	1	0	2.046	112.9	1	58.000126	32.861988	133.43248	4.1301603	-15.0	1.0	0.0	0.7	0.0	740.43695	51.002056	43.9519	7.0501556	3	3.724001
mcp1k	18255	1	400724	0	6.287	3.147	7	515836	0	cosmic-tagged	9	1	1	0	0																		
mcp1k	18255	1	400768	0	5.194	1.248	6	432460	0	cosmic-tagged	8	1	1	0	0																		
