idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1969080	0	nan
1	6505	130	13	1872124	0	nan
2	6512	130	15	1780596	0	nan
3	6520	130	18	1834420	0	nan
4	6528	130	13	1960688	0	nan
5	6529	130	13	1892348	0	nan
6	6532	130	20	2191896	0	nan
7	6536	130	13	1899172	0	nan
8	6545	130	16	1950524	0	nan
9	6550	130	12	1731480	0	nan
10	6570	131	24	2152464	0	nan
11	6588	131	11	1760832	0	nan
12	6604	132	29	2303628	0	nan
13	6606	132	15	2057496	0	nan
14	6612	132	16	2150564	0	nan
15	6642	132	20	2182960	0	nan
16	6650	132	15	2095064	0	nan
17	6711	134	13	1824372	0	nan
18	6748	134	15	1831268	0	nan
19	6775	135	13	1823644	0	nan
20	6786	135	20	2070896	0	nan
21	6804	136	15	1886468	0	nan
22	6805	136	14	2014908	0	nan
23	6806	136	14	2075624	0	nan
24	6821	136	14	1844012	0	nan
25	6822	136	18	2229840	0	nan
26	6837	136	15	2141556	0	nan
27	6844	136	15	2080648	0	nan
28	6852	137	15	1910800	0	nan
29	6867	137	14	1840960	0	nan
30	6874	137	25	2231980	0	nan
31	6878	137	19	2004228	0	nan
32	6887	137	12	1837668	0	nan
33	6888	137	24	2119912	0	nan
34	6898	137	13	1815480	0	nan
