# doc pdvd/98 -- m3-200k-w predictions on the real-data Michel crops (d98_predict.py; bf16, CUDA)
# variants: Z = Michel only, muon zeroed; S = overlap cells scaled by (charge-pred_mu)/charge; M = muon left in; Zw = Z with the wider mask.  mu/sig in cm from the response plane.
# tier A = Bragg ratio>=0.8 & q2d_ovl<0.2 & n_stop_gammas==0 & frac_lost<0.2; inrange = 80<=drift_tick<=340
det	key	tier	inrange	drift_tick	drift_fit	mu_Z	sig_Z	mu_S	sig_S	mu_M	sig_M	mu_Zw	sig_Zw	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	ke_best	ke_region	ratio	q2d_ovl	n_stop_gammas	kind	source	conn_type	michel_len	kink_deg	apa	face	d97
pdvd	039252_0/75	B	1	268.3	267.8	157	31.96	166.4	30.03	178.1	27.77	153.9	31.22	1.969e+06	1.486e+05	0.07546	0.02934	618	39.78	58.6	0.7283	0.006508	0	attached	flat	2	4.924	-1	4	1	
pdvd	039252_1/30	B	1	171.7	171.8	104.7	20.16	98.05	14.86	125.8	25.68	104.7	19.85	1.469e+06	7.135e+05	0.4859	0.4231	286	30.99	41.1	0.8865	0.3982	0	both	flat	1	9.874	84.07	2	0	
pdvd	039252_12/117	A	1	320.5	320.8	273.4	43.01	165.6	37.08	309.4	33.24	273.4	43.01	1.066e+06	3.454e+05	0.324	0.1647	309	42.71	37.61	0.8869	0.04824	0	attached	flat	1	4.112	34.95	7	1	
pdvd	039252_12/93	B	1	173.1	172.6	104.7	19.39	110.9	20.16	154.7	26.09	104.7	19.39	1.425e+06	4.541e+05	0.3186	0.266	403	24.06	52.8	0.8717	0.1271	0	both	flat	1	12.66	103.8	6	0	
pdvd	039252_14/37	B	1	93.66	93.63	91.02	11.05	95.31	13.96	114.8	19.69	91.02	11.05	9.689e+05	5.534e+05	0.5711	0.52	251	14.72	24.22	0.8169	0.6505	0	both	flat	1	10.51	75.82	2	1	
pdvd	039252_14/86	B	1	101.6	101.2	91.02	15.82	91.41	11.4	98.05	15.34	91.02	15.82	1.031e+06	3.64e+05	0.353	0.2951	303	28.12	34.94	0.7174	0.1743	0	both	flat	1	7.85	60.27	4	1	
pdvd	039252_15/94	A	1	164.6	163.6	186.7	26.5	161.7	26.29	182.8	23.2	186.7	26.5	1.331e+06	3.08e+05	0.2313	0.1693	445	51.31	36.38	0.8768	0.1774	0	both	flat	1	5.896	49.5	7	1	
pdvd	039252_16/99	B	1	113.7	112.7	108.6	23.2	109.4	21.46	118.8	23.2	108.6	23.2	9.378e+05	5.046e+05	0.538	0.395	264	17.4	34.89	0.8682	0.1341	0	attached	flat	1	8.116	58.89	4	0	
pdvd	039252_2/51	B	0	62.99	62.95	82.42	6.493	75.39	4.192	76.56	4.979	82.42	6.493	9.64e+05	3.036e+05	0.315	0.2431	326	23.53	33.79	0.6856	0.1233	0	both	flat	1	13.27	66.79	3	0	
pdvd	039252_2/90	A	0	58.55	58.2	83.59	6.196	81.64	5.642	87.11	7.358	83.59	6.196	1.599e+06	2.791e+05	0.1745	0.1307	564	46.08	43.4	0.8986	0.08283	0	both	flat	1	18.08	83.23	4	1	
pdvd	039252_3/40	B	0	78.94	78.5	93.75	9.015	86.72	9.157	93.36	11.4	93.75	9.015	1.515e+06	8.921e+05	0.5889	0.5196	445	30.63	41.28	0.8944	0.39	0	attached	flat	1	13.43	128.8	1	1	
pdvd	039252_3/77	B	1	189.2	189	240.6	36.79	128.1	28.43	243.8	27.55	240.6	36.79	1.155e+06	4.041e+05	0.35	0.2692	317	17.92	31.92	0.9311	0.2447	0	attached	flat	1	8.38	103.6	4	0	
pdvd	039252_8/38	B	1	123.4	123.9	96.09	11.22	97.66	13.53	110.2	18.35	96.09	11.22	1.271e+06	5.646e+05	0.4443	0.3381	458	33.62	37.76	0.809	0.3027	0	both	flat	1	11.96	52.37	1	0	
pdvd	039253_1/31	A	1	105.2	105.4	188.3	75.93	188.3	75.93	188.3	75.93	188.3	75.93	1.313e+05	0	0	0	116	4.895	9.59	0.9813	0	0	attached	flat	2	4.775	-1	0	1	
pdvd	039253_11/118	B	0	37.77	37.62	99.22	19.54	110.9	25.09	107	20.8	99.22	19.54	7.788e+05	2.623e+05	0.3368	0.2486	184	14.68	30.51	0.8575	0.07692	1	both	flat	1	5.543	41.07	7	1	
pdvd	039253_12/35	B	1	137.5	137.7	104.7	18.21	108.6	18.21	134.4	25.68	104.7	18.21	9.309e+05	3.158e+05	0.3393	0.2779	350	26.76	29.31	0.9174	0.1343	0	both	flat	1	7.938	66.02	0	0	
pdvd	039253_14/45	A	1	153.9	154.2	171.1	38.86	197.7	36.93	197.7	36.93	171.1	38.86	9.931e+05	1.997e+04	0.02011	0	486	22.66	35.33	1	0	0	both	flat	2	16.01	-1	2	1	
pdvd	039253_15/41	B	0	20.75	20.21	195.3	28.65	182.8	28.43	194.5	26.29	187.5	31.22	1.253e+06	3.611e+05	0.2883	0.2142	442	35.86	39.96	0.9475	0.1834	0	both	flat	1	11.04	87.53	3	1	
pdvd	039253_17/110	B	0	24.51	24.35	83.59	13.32	83.2	10.54	83.59	10.22	83.2	13.85	1.22e+06	2.843e+05	0.233	0.1398	357	18.58	26.7	0.7582	0.04343	0	attached	flat	1	10.13	101.7	6	1	
pdvd	039253_2/121	B	1	177.5	177.2	134.4	30.5	125.8	26.09	149.2	26.09	134.4	30.5	1.031e+06	3.053e+05	0.2962	0.2214	318	23.4	33.71	1.002	0.1312	0	both	flat	1	3.988	50	4	1	
pdvd	039253_2/32	B	0	51.79	51.42	80.86	3.02	80.86	3.02	79.69	3.02	80.86	3.02	1.316e+06	4.298e+05	0.3267	0.2512	429	25.76	51.18	0.8315	0.1141	0	attached	flat	1	6.06	34.23	2	0	
pdvd	039253_2/78	B	1	99.68	99.27	134.4	34.29	91.41	4.677	96.88	13.32	134.4	34.29	1.968e+06	1.173e+06	0.596	0.5707	306	19.68	49.3	1.429	0.6494	0	attached	flat	1	5.301	42.16	5	1	
pdvd	039253_2/92	A	1	236.9	236.6	251.6	43.86	123.4	33.24	235.9	38.25	251.6	43.86	1.069e+06	2.386e+05	0.2233	0.1271	306	24.46	41.13	1.001	0.1353	0	attached	flat	2	7.874	-1	4	1	
pdvd	039253_3/61	B	1	186.3	186.1	124.2	32.47	111.7	25.48	148.4	29.79	124.2	32.47	1.417e+06	2.192e+05	0.1547	0.08068	433	28.29	47.6	0.7538	0.02343	0	both	flat	2	5.292	-1	4	0	
pdvd	039253_4/77	B	0	22.01	21.79	87.89	6.294	105.5	3.02	95.7	3.02	88.67	6.493	1.877e+06	6.779e+05	0.3611	0.2913	485	45.01	56.25	0.9381	0.13	0	both	flat	1	13.71	137.8	4	0	
pdvd	039253_5/32	B	0	19.69	19.73	160.9	31.47	139.1	25.68	167.2	23.94	160.9	31.47	8.122e+05	3.994e+05	0.4918	0.4077	251	21.39	23.86	0.8071	0.218	1	both	flat	1	3.836	72.29	0	0	
pdvd	039253_7/34	B	1	81.87	82.06	96.88	11.05	82.42	6.005	91.02	8.738	94.14	10.22	1.363e+06	5.967e+05	0.4377	0.3288	396	24.11	41.82	0.6851	0.235	0	both	flat	1	13.21	131.6	3	1	
pdvd	039253_8/28	B	0	13.03	12.34	115.6	32.21	113.3	21.29	179.7	31.96	115.6	32.21	6.601e+05	3.51e+05	0.5317	0.4631	184	18.31	20.49	0.7652	0.23	0	both	flat	1	3.23	51.16	0	1	
pdvd	039253_8/68	B	0	24.8	24.16	100	15.34	89.45	10.22	91.02	11.22	100	15.34	7.695e+05	3.09e+05	0.4016	0.3177	169	12.76	26.59	0.812	0.2637	0	attached	flat	1	5.331	50.64	4	1	
pdvd	039253_9/106	B	1	114.4	114.9	162.5	19.09	162.5	19.09	162.5	19.09	157	19.39	1.328e+06	0	0	0	478	29	42.16	0.6604	0	0	both	flat	2	6.729	-1	6	1	
pdvd	039349_0/28	B	1	322.7	322.7	91.41	11.4	165.6	43.18	218.8	52.29	93.36	11.94	1.506e+06	1.027e+06	0.6818	0.6318	177	29.11	46.34	0.8238	0.3469	0	attached	flat	2	6.789	-1	2	0	
pdvd	039349_1/61	B	0	79.48	81.36	79.3	14.07	85.16	15.95	91.02	14.29	79.3	14.07	3.807e+05	2.195e+05	0.5766	0.4969	80	9.284	10.96	1.094	0.3464	0	attached	flat	1	2.63	44.61	4	1	
pdvd	039349_11/19	B	1	84.69	85.01	89.45	4.192	83.2	5.642	80.47	4.001	89.45	4.192	8.202e+05	5.043e+05	0.6149	0.5641	98	7.988	24.87	0.625	0.2848	0	attached	flat	1	3.6	61.11	3	0	
pdvd	039349_18/40	B	1	116.9	116.8	86.33	15.82	96.09	24.89	131.2	35.94	86.33	15.82	1.208e+06	8.446e+05	0.6993	0.6728	74	13.91	31.65	0.7533	0.505	0	attached	flat	1	9.537	81.65	4	1	
pdvd	039349_18/34	B	0	60.79	60.48	103.9	16.45	100.8	14.63	96.09	11.05	103.9	16.45	9.417e+05	4.142e+05	0.4398	0.3424	205	24.35	32.26	0.9437	0.1551	0	both	flat	1	9.111	91.99	4	0	
pdvd	039349_21/53	B	1	203.9	204.5	163.3	26.09	97.66	12.32	114.8	17.24	164.8	26.5	2.708e+06	2.086e+06	0.7704	0.7018	215	27.15	46.12	0.9631	1.093	0	both	flat	1	11.12	33.74	5	1	
pdvd	039349_23/56	A	1	151.1	150.2	150.8	25.09	151.6	26.71	141.4	21.46	150.8	25.09	1.302e+06	3.475e+05	0.2669	0.198	510	47.62	38.13	1.03	0.1347	0	both	flat	1	12.66	38.56	6	1	
pdvd	039349_27/65	B	1	278.3	277.6	275	18.79	262.5	17.24	293.8	18.5	275	18.79	1.391e+06	4.206e+05	0.3024	0.2151	587	50.76	29.15	1.066	0.1134	0	attached	flat	1	12.84	42.94	6	1	
pdvd	039349_3/47	B	0	20.54	20.2	101.6	20.48	96.48	14.86	88.28	9.597	101.6	20.48	7.574e+05	2.184e+05	0.2884	0.2002	104	19.64	24.24	0.7981	0.1626	0	attached	flat	1	7.824	53.55	4	0	
pdvd	039349_34/46	B	1	94.9	95.08	145.3	31.71	145.3	30.26	212.5	26.09	145.3	31.71	1e+06	4.109e+05	0.4108	0.2587	355	26.01	29.25	0.8657	0.2102	0	attached	flat	1	8.949	109.7	4	1	
pdvd	039349_35/67	B	1	192.8	193	118	33.24	119.5	33.5	214.1	40.56	118	33.24	8.866e+05	3.324e+05	0.3749	0.3132	282	13.77	31.18	0.9473	0.2004	0	attached	flat	1	6.111	92.01	6	1	
pdvd	039349_36/49	A	1	108.9	108.5	93.36	11.22	98.05	13.12	97.27	11.94	91.41	10.87	1.752e+06	3.623e+05	0.2067	0.1513	553	46.03	42.11	1.022	0.08087	0	attached	flat	1	5.422	49.43	6	0	
pdvd	039349_37/38	B	1	202.3	201.5	125	41.69	101.6	21.29	102.3	23.38	91.8	15.82	5.161e+05	4.079e+05	0.7904	0.8137	75	4.663	44.78	0.2838	0.386	0	both	flat	1	1.8	104.4	4	1	
pdvd	039349_38/72	B	1	207.6	206.3	107	27.77	121.9	27.55	246.9	34.29	96.88	26.71	1.267e+06	1.006e+06	0.7936	0.7686	225	17.81	23.99	1.005	1.277	0	both	flat	1	8.786	135.4	0	1	
pdvd	039349_4/39	B	0	8.097	8.164	67.97	3.02	66.8	3.02	69.92	3.53	66.8	3.02	1.31e+06	3.415e+05	0.2608	0.1983	483	29.05	52.63	0.7643	0.07718	0	both	flat	1	9.457	73.85	3	1	
pdvd	039349_42/56	B	1	138.2	137.8	114.1	20.16	103.1	12.13	146.1	21.8	114.1	20.16	1.705e+06	6.278e+05	0.3682	0.3259	550	44.14	44.48	0.8397	0.3433	0	both	flat	1	12.55	81.3	6	0	
pdvd	039349_43/52	B	0	78.3	77.73	113.3	16.71	110.2	16.45	110.2	14.86	113.3	16.84	1.365e+06	3.875e+05	0.284	0.2107	452	48.24	35.85	0.9304	0.115	0	attached	flat	1	10.22	76.6	6	0	
pdvd	039349_47/32	B	0	16.07	16.01	86.72	7.592	80.86	3.7	80.08	3.02	86.72	8.209	8.136e+05	4.736e+05	0.5821	0.4657	195	13.76	28.22	0.8521	0.2017	0	attached	flat	1	2.331	48.6	3	1	
pdvd	039349_5/66	B	1	271.1	271.4	92.19	16.07	120.3	27.77	270.3	37.96	92.19	16.07	2.549e+06	1.552e+06	0.6087	0.5735	246	27.82	57.07	0.7234	0.5386	0	attached	flat	1	13.18	83.33	4	0	
pdvd	039349_52/33	A	1	187.5	187.5	139.1	40.56	150.8	43.35	150	43.35	139.1	40.56	8.748e+05	1.96e+05	0.224	0.08482	179	11.29	34.86	0.8296	0.001868	0	both	flat	2	6.269	-1	4	0	
pdvd	039349_53/48	A	1	138.5	138.1	145.3	35.38	144.5	31.96	146.1	30.74	145.3	35.38	1.631e+06	4.387e+05	0.2689	0.1684	364	38.31	48.91	0.8372	0.05594	0	both	flat	1	5.916	58.85	5	1	
pdvd	039349_54/58	A	1	135.2	134.5	156.2	35.66	118.8	24.51	123.4	25.68	156.2	34.83	1.185e+06	3.08e+05	0.2598	0.1954	341	29.69	41.81	0.8229	0.1894	0	attached	flat	1	12.35	87.87	5	1	
pdvd	039349_56/38	A	1	157.5	157.7	133.6	31.96	121.9	27.55	157	29.56	133.6	31.96	1.142e+06	2.769e+05	0.2426	0.07233	345	32.82	42.4	0.9073	0.0259	0	attached	flat	1	11.01	50.39	5	0	
pdvd	039349_59/60	A	1	246	243.6	320.3	31.71	253.1	36.5	290.6	30.26	320.3	31.71	1.11e+06	1.432e+05	0.129	0.09391	455	34.65	49.94	0.9658	0.05538	0	attached	flat	1	8.055	51.15	6	1	
pdvd	039349_61/16	A	1	137.4	137.1	152.3	33.5	146.9	31.71	163.3	31.96	152.3	33.5	1.308e+06	2.98e+05	0.2279	0.171	397	33.77	48	0.9758	0.1295	0	attached	flat	1	17.61	84.09	2	1	
pdvd	039349_61/44	A	1	211.6	210.3	181.2	40.4	139.1	33.24	143.8	33.24	181.2	40.4	1.09e+06	2.477e+05	0.2273	0.1445	316	8.621	33.04	0.8358	0.1014	0	both	flat	1	5.139	63.25	4	0	
pdvd	039349_61/45	B	1	236.1	235.7	135.9	40.09	152.3	40.4	157	38.25	154.7	42.51	1.447e+06	2.954e+05	0.2042	0.1397	284	35.36	50.27	0.7992	0.1263	0	both	flat	1	9.511	78.75	4	1	
pdvd	039349_63/55	B	1	203.6	203.6	100.8	21.63	87.11	8.876	116.4	37.08	100.8	21.63	9.751e+05	6.236e+05	0.6396	0.4808	112	6.129	25.74	1.102	0.2245	0	attached	flat	1	5.681	126	6	0	
pdvd	039349_64/45	B	0	31.53	31	82.03	7.956	75.78	4.826	85.94	7.956	83.2	8.738	2.264e+06	9.191e+05	0.406	0.3694	373	45.47	77.19	0.768	0.1422	0	attached	flat	2	13.64	-1	5	0	
pdvd	039349_64/66	A	1	257.9	257.3	237.5	24.32	200	24.13	251.6	19.09	237.5	24.32	1.653e+06	3.646e+05	0.2205	0.1702	559	48.13	33.33	1.033	0.0883	0	both	flat	1	20.59	63.29	6	1	
pdvd	039349_67/78	B	0	20.8	21.34	92.19	11.4	87.5	7.474	96.09	13.12	92.19	11.4	1.135e+06	7.932e+05	0.6989	0.6363	127	16	24.23	0.9588	0.7794	0	both	flat	1	5.154	43.71	6	0	
pdvd	039349_77/59	B	1	107.9	107.7	125	26.71	94.53	11.76	130.5	25.88	127.3	28.43	1.306e+06	6.766e+05	0.5181	0.4636	316	15.2	40.38	0.6726	0.3905	0	both	flat	1	4.859	123.5	7	1	
pdvd	039349_81/64	B	0	45.4	45.46	96.48	5.642	90.62	6.596	94.14	9.448	96.48	5.73	1.863e+06	2.209e+05	0.1186	0.1014	721	43.26	40.01	0.7848	0.0185	0	attached	flat	1	0.6	43.9	6	0	
pdvd	039349_82/48	B	1	216.2	216.2	178.9	31.71	153.9	29.79	203.1	28.43	189.1	31.22	1.575e+06	3.251e+05	0.2065	0.1625	407	24.77	21.56	1.008	0.111	2	both	flat	1	10.81	40.81	7	0	
pdvd	039349_83/67	A	1	171.4	171.1	131.2	26.5	121.1	24.13	159.4	27.77	131.2	26.5	1.59e+06	2.736e+05	0.1721	0.1329	474	41.52	57.32	0.9898	0.1097	0	attached	flat	1	8.648	32.75	5	0	
pdvd	039349_9/50	A	1	221.4	221.1	210.9	25.28	197.7	25.48	218.8	23.02	210.9	25.28	1.271e+06	2.864e+05	0.2252	0.146	486	23.79	36.33	0.9934	0.06238	0	both	flat	1	1.731	43.45	5	1	
pdvd	039252_0/98	B	1	311.8	311.7	385.9	37.37	331.2	38.7	365.6	37.37	385.9	37.37	1.157e+06	3.752e+05	0.3244	0.2668	537	36.32	33.15	0.9541	0.1348	0	both	flat	1	11.89	114.6	0	0	
pdvd	039252_12/96	B	1	168.1	166.4	140.6	43.01	121.9	27.55	175.8	23.94	140.6	43.01	1.541e+06	8.071e+05	0.5236	0.3855	233	19.38	37.91	1.074	0.426	0	both	flat	1	3.235	60.89	5	1	
