idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1962016	0	nan
1	6505	130	12	1865296	0	nan
2	6512	130	14	1782148	0	nan
3	6520	130	18	1841648	0	nan
4	6528	130	13	1960572	0	nan
5	6529	130	13	1874320	0	nan
6	6532	130	19	2202076	0	nan
7	6536	130	13	1900940	0	nan
8	6545	130	16	1955652	0	nan
9	6550	130	11	1741616	0	nan
10	6570	131	22	2160912	0	nan
11	6588	131	11	1773032	0	nan
12	6604	132	29	2304132	0	nan
13	6606	132	14	2054000	0	nan
14	6612	132	15	2160308	0	nan
15	6642	132	19	2195036	0	nan
16	6650	132	13	2096408	0	nan
17	6711	134	11	1831928	0	nan
18	6748	134	14	1844648	0	nan
19	6775	135	12	1831508	0	nan
20	6786	135	19	2069372	0	nan
21	6804	136	14	1892892	0	nan
22	6805	136	13	2013756	0	nan
23	6806	136	13	2094652	0	nan
24	6821	136	13	1857032	0	nan
25	6822	136	17	2244728	0	nan
26	6837	136	14	2149748	0	nan
27	6844	136	14	2085676	0	nan
28	6852	137	15	1918304	0	nan
29	6867	137	14	1850480	0	nan
30	6874	137	23	2240268	0	nan
31	6878	137	18	2023624	0	nan
32	6887	137	12	1846432	0	nan
33	6888	137	23	2128892	0	nan
34	6898	137	12	1822272	0	nan
