== nuecc48: 48 files, 3 eligible events  {'other gid is NOT a candidate': 3}
   pr_evt10550 nu0 gid 1000002  other gid 7 ----  mains 2 (longest 1.7 cm) assoc 0
   pr_evt234638 nu0 gid 1000001  other gid 9 ----  mains 1 (longest 1.4 cm) assoc 0
   pr_evt81597 nu0 gid 0  other gid 1000010 ----  mains 1 (longest 1.2 cm) assoc 0
== ncpi0: 19 files, 3 eligible events  {'other gid is NOT a candidate': 3}
   pr_evt285567 nu0 gid 1000000  other gid 6 ----  mains 1 (longest 1.7 cm) assoc 0
   pr_evt314838 nu0 gid 1000001  other gid 8 ----  mains 1 (longest 7.9 cm) assoc 0
   pr_evt521075 nu0 gid 7  other gid 1000008 ----  mains 2 (longest 1.6 cm) assoc 0
== mcp1k: 1000 files, 47 eligible events  {'other gid is NOT a candidate': 42, 'other gid is a candidate': 5}
   pr_evt169626 nu0 gid 4  other gid 1000007 ----  mains 1 (longest 1.6 cm) assoc 0
   pr_evt169758 nu0 gid 1000003  other gid 3 ----  mains 2 (longest 99.5 cm) assoc 1
   pr_evt169890 nu0 gid 7  other gid 1000012 ----  mains 1 (longest 3.2 cm) assoc 0
   pr_evt171358 nu0 gid 1000004  other gid 9 ----  mains 1 (longest 0.7 cm) assoc 0
   pr_evt174422 nu0 gid 5  other gid 1000003 CAND  mains 1 (longest 10.3 cm) assoc 0
   pr_evt174422 nu1 gid 1000003  other gid 5 CAND  mains 2 (longest 387.5 cm) assoc 4
   pr_evt279445 nu0 gid 4  other gid 1000009 ----  mains 1 (longest 2.4 cm) assoc 0
   pr_evt280466 nu0 gid 2  other gid 1000000 CAND  mains 2 (longest 1.3 cm) assoc 0
   pr_evt280466 nu1 gid 1000000  other gid 2 CAND  mains 1 (longest 290.5 cm) assoc 16
   pr_evt280994 nu0 gid 5  other gid 1000012 ----  mains 1 (longest 2.1 cm) assoc 0
   pr_evt281505 nu0 gid 5  other gid 1000013 ----  mains 2 (longest 1.1 cm) assoc 0
   pr_evt281595 nu0 gid 1000007  other gid 6 ----  mains 1 (longest 2.1 cm) assoc 0
   pr_evt283463 nu0 gid 8  other gid 1000010 ----  mains 1 (longest 1.2 cm) assoc 0
   pr_evt285531 nu0 gid 1000008  other gid 6 ----  mains 1 (longest 1.2 cm) assoc 0
   pr_evt285652 nu0 gid 4  other gid 1000001 ----  mains 2 (longest 485.9 cm) assoc 27
   pr_evt285665 nu0 gid 3  other gid 1000008 ----  mains 1 (longest 1.2 cm) assoc 0
   pr_evt288745 nu0 gid 6  other gid 1000010 ----  mains 1 (longest 6.5 cm) assoc 0
   pr_evt289141 nu0 gid 1000011  other gid 1 ----  mains 2 (longest 52.5 cm) assoc 3
   pr_evt289559 nu0 gid 1000003  other gid 6 ----  mains 1 (longest 1.6 cm) assoc 0
   pr_evt292384 nu0 gid 5  other gid 1000002 ----  mains 1 (longest 0.7 cm) assoc 0
   pr_evt292797 nu0 gid 9  other gid 1000008 ----  mains 3 (longest 270.9 cm) assoc 4
   pr_evt313979 nu0 gid 1000003  other gid 5 ----  mains 1 (longest 3.4 cm) assoc 0
   pr_evt315497 nu0 gid 1000010  other gid 8 ----  mains 1 (longest 10.8 cm) assoc 0
   pr_evt317939 nu0 gid 1  other gid 1000013 CAND  mains 1 (longest 16.8 cm) assoc 0
   pr_evt317939 nu1 gid 1000013  other gid 1 CAND  mains 1 (longest 148.2 cm) assoc 26
   pr_evt318049 nu0 gid 1000004  other gid 6 ----  mains 1 (longest 313.1 cm) assoc 2
   pr_evt320667 nu0 gid 2  other gid 1000010 ----  mains 1 (longest 0.8 cm) assoc 0
   pr_evt321107 nu0 gid 3  other gid 1000013 ----  mains 1 (longest 1.5 cm) assoc 0
   pr_evt349549 nu0 gid 1000002  other gid 3 ----  mains 1 (longest 0.8 cm) assoc 0
   pr_evt387102 nu0 gid 6  other gid 1000005 ----  mains 1 (longest 558.5 cm) assoc 3
   pr_evt388026 nu0 gid 0  other gid 1000010 ----  mains 1 (longest 1.0 cm) assoc 0
   pr_evt395654 nu0 gid 7  other gid 1000007 ----  mains 1 (longest 1.8 cm) assoc 0
   pr_evt398238 nu0 gid 10  other gid 1000006 ----  mains 1 (longest 140.4 cm) assoc 5
   pr_evt400274 nu0 gid 1000007  other gid 1 ----  mains 1 (longest 521.0 cm) assoc 4
   pr_evt401054 nu0 gid 6  other gid 1000009 ----  mains 1 (longest 1.1 cm) assoc 0
   pr_evt404684 nu0 gid 1000010  other gid 3 ----  mains 1 (longest 1.7 cm) assoc 0
   pr_evt407170 nu0 gid 13  other gid 1000001 ----  mains 1 (longest 287.6 cm) assoc 4
   pr_evt408094 nu0 gid 1000016  other gid 5 ----  mains 3 (longest 21.8 cm) assoc 6
   pr_evt409282 nu0 gid 1000001  other gid 0 ----  mains 2 (longest 472.2 cm) assoc 7
   pr_evt409634 nu0 gid 1000003  other gid 10 CAND  mains 1 (longest 15.6 cm) assoc 0
   pr_evt409634 nu1 gid 10  other gid 1000003 CAND  mains 1 (longest 28.7 cm) assoc 15
   pr_evt489327 nu0 gid 1  other gid 1000014 ----  mains 1 (longest 4.4 cm) assoc 0
   pr_evt50303 nu0 gid 1000001  other gid 10 ----  mains 1 (longest 2.2 cm) assoc 0
   pr_evt53427 nu0 gid 3  other gid 1000004 ----  mains 1 (longest 1.7 cm) assoc 0
   pr_evt57661 nu0 gid 1000005  other gid 7 ----  mains 2 (longest 8.1 cm) assoc 0
   pr_evt58343 nu0 gid 10  other gid 1000006 ----  mains 2 (longest 237.6 cm) assoc 6
   pr_evt59047 nu0 gid 1  other gid 1000005 ----  mains 1 (longest 214.1 cm) assoc 0
   pr_evt59261 nu0 gid 1000003  other gid 12 ----  mains 1 (longest 0.9 cm) assoc 0
   pr_evt59335 nu0 gid 3  other gid 1000010 ----  mains 1 (longest 4.7 cm) assoc 0
   pr_evt62583 nu0 gid 3  other gid 1000009 CAND  mains 1 (longest 1.6 cm) assoc 0
   pr_evt62583 nu1 gid 1000009  other gid 3 CAND  mains 1 (longest 405.6 cm) assoc 32
   pr_evt68978 nu0 gid 1000005  other gid 9 ----  mains 1 (longest 1.2 cm) assoc 0
== mcp2k: 2000 files, 89 eligible events  {'other gid is NOT a candidate': 82, 'other gid is a candidate': 7}
   pr_evt100190 nu0 gid 15  other gid 1000000 ----  mains 2 (longest 89.1 cm) assoc 10
   pr_evt100222 nu0 gid 1000000  other gid 9 ----  mains 1 (longest 3.4 cm) assoc 0
   pr_evt158689 nu0 gid 1000003  other gid 5 ----  mains 1 (longest 304.9 cm) assoc 8
   pr_evt166050 nu0 gid 1000002  other gid 6 ----  mains 1 (longest 1.4 cm) assoc 0
   pr_evt167612 nu0 gid 1000002  other gid 3 CAND  mains 1 (longest 1.7 cm) assoc 0
   pr_evt167612 nu1 gid 3  other gid 1000002 CAND  mains 1 (longest 118.4 cm) assoc 34
   pr_evt168209 nu0 gid 1000004  other gid 12 ----  mains 1 (longest 1.3 cm) assoc 0
   pr_evt168778 nu0 gid 9  other gid 1000005 ----  mains 2 (longest 276.8 cm) assoc 4
   pr_evt169724 nu0 gid 5  other gid 1000010 ----  mains 1 (longest 0.9 cm) assoc 0
   pr_evt171440 nu0 gid 8  other gid 1000001 ----  mains 1 (longest 500.9 cm) assoc 5
   pr_evt171729 nu0 gid 1000003  other gid 1 ----  mains 1 (longest 3.8 cm) assoc 0
   pr_evt171770 nu0 gid 1000003  other gid 8 ----  mains 2 (longest 417.5 cm) assoc 6
   pr_evt172015 nu0 gid 1000004  other gid 5 ----  mains 2 (longest 407.3 cm) assoc 1
   pr_evt178966 nu0 gid 1000011  other gid 2 ----  mains 2 (longest 247.5 cm) assoc 5
   pr_evt179897 nu0 gid 1000007  other gid 10 ----  mains 1 (longest 1.8 cm) assoc 0
   pr_evt180698 nu0 gid 1  other gid 1000005 ----  mains 1 (longest 1.4 cm) assoc 0
   pr_evt181094 nu0 gid 0  other gid 1000006 ----  mains 1 (longest 275.1 cm) assoc 11
   pr_evt283299 nu0 gid 1000009  other gid 1 ----  mains 1 (longest 1.1 cm) assoc 0
   pr_evt287132 nu0 gid 13  other gid 1000003 ----  mains 1 (longest 103.3 cm) assoc 5
   pr_evt287464 nu0 gid 1000002  other gid 7 ----  mains 1 (longest 0.7 cm) assoc 0
   pr_evt294174 nu0 gid 1000001  other gid 7 CAND  mains 2 (longest 25.5 cm) assoc 0
   pr_evt294174 nu1 gid 7  other gid 1000001 CAND  mains 1 (longest 250.3 cm) assoc 32
   pr_evt317341 nu0 gid 4  other gid 1000007 ----  mains 1 (longest 346.9 cm) assoc 3
   pr_evt318749 nu0 gid 1000001  other gid 5 ----  mains 2 (longest 436.1 cm) assoc 13
   pr_evt318857 nu0 gid 1000005  other gid 11 ----  mains 1 (longest 1.5 cm) assoc 0
   pr_evt319057 nu0 gid 1  other gid 1000002 ----  mains 2 (longest 523.2 cm) assoc 12
   pr_evt319321 nu0 gid 15  other gid 1000001 ----  mains 2 (longest 10.3 cm) assoc 3
   pr_evt321169 nu0 gid 4  other gid 1000012 ----  mains 1 (longest 2.3 cm) assoc 0
   pr_evt321849 nu0 gid 1000001  other gid 12 ----  mains 1 (longest 2.5 cm) assoc 0
   pr_evt348638 nu0 gid 1000014  other gid 3 ----  mains 1 (longest 3.3 cm) assoc 0
   pr_evt350266 nu0 gid 8  other gid 1000003 ----  mains 2 (longest 503.3 cm) assoc 5
   pr_evt351740 nu0 gid 1000009  other gid 11 ----  mains 1 (longest 17.5 cm) assoc 4
   pr_evt352136 nu0 gid 9  other gid 1000000 ----  mains 1 (longest 434.7 cm) assoc 3
   pr_evt354248 nu0 gid 1000006  other gid 10 ----  mains 1 (longest 1.1 cm) assoc 0
   pr_evt388323 nu0 gid 1000010  other gid 3 ----  mains 1 (longest 0.8 cm) assoc 0
   pr_evt389379 nu0 gid 1000004  other gid 8 ----  mains 1 (longest 4.0 cm) assoc 0
   pr_evt391063 nu0 gid 1000003  other gid 21 ----  mains 1 (longest 1.5 cm) assoc 0
   pr_evt391525 nu0 gid 1000006  other gid 4 ----  mains 2 (longest 533.5 cm) assoc 3
   pr_evt392009 nu0 gid 1000001  other gid 3 ----  mains 2 (longest 1.2 cm) assoc 0
   pr_evt392759 nu0 gid 5  other gid 1000004 ----  mains 1 (longest 1.3 cm) assoc 0
   pr_evt393133 nu0 gid 1000005  other gid 12 ----  mains 1 (longest 0.9 cm) assoc 0
   pr_evt393823 nu0 gid 1000003  other gid 0 ----  mains 2 (longest 445.9 cm) assoc 8
   pr_evt394131 nu0 gid 1000008  other gid 1 ----  mains 2 (longest 469.4 cm) assoc 15
   pr_evt394167 nu0 gid 1000003  other gid 5 ----  mains 1 (longest 0.9 cm) assoc 0
   pr_evt395870 nu0 gid 1000002  other gid 5 ----  mains 2 (longest 1.6 cm) assoc 0
   pr_evt396420 nu0 gid 4  other gid 1000010 ----  mains 1 (longest 1.8 cm) assoc 0
   pr_evt396596 nu0 gid 1000010  other gid 0 ----  mains 2 (longest 373.3 cm) assoc 7
   pr_evt396816 nu0 gid 8  other gid 1000005 ----  mains 1 (longest 5.9 cm) assoc 0
   pr_evt399073 nu0 gid 8  other gid 1000003 ----  mains 1 (longest 442.6 cm) assoc 5
   pr_evt400117 nu0 gid 3  other gid 1000008 ----  mains 1 (longest 2.5 cm) assoc 0
   pr_evt402077 nu0 gid 6  other gid 1000010 ----  mains 1 (longest 1.1 cm) assoc 0
   pr_evt405927 nu0 gid 1000008  other gid 16 ----  mains 1 (longest 7.6 cm) assoc 0
   pr_evt406147 nu0 gid 1000001  other gid 16 ----  mains 1 (longest 3.3 cm) assoc 0
   pr_evt407798 nu0 gid 1000002  other gid 6 CAND  mains 1 (longest 1.4 cm) assoc 0
   pr_evt407798 nu1 gid 6  other gid 1000002 CAND  mains 2 (longest 449.5 cm) assoc 9
   pr_evt409888 nu0 gid 1000005  other gid 5 ----  mains 1 (longest 0.7 cm) assoc 0
   pr_evt475096 nu0 gid 2  other gid 1000018 ----  mains 2 (longest 2.2 cm) assoc 0
   pr_evt478088 nu0 gid 1  other gid 1000013 ----  mains 1 (longest 1.0 cm) assoc 0
   pr_evt497399 nu0 gid 1  other gid 1000022 ----  mains 1 (longest 1.9 cm) assoc 0
   pr_evt49767 nu0 gid 8  other gid 1000000 ----  mains 1 (longest 427.2 cm) assoc 15
   pr_evt49877 nu0 gid 12  other gid 1000014 ----  mains 2 (longest 28.3 cm) assoc 5
   pr_evt499577 nu0 gid 1000006  other gid 2 ----  mains 1 (longest 2.3 cm) assoc 0
   pr_evt51890 nu0 gid 1000002  other gid 7 ----  mains 1 (longest 5.4 cm) assoc 0
   pr_evt52044 nu0 gid 3  other gid 1000007 ----  mains 1 (longest 0.7 cm) assoc 0
   pr_evt52286 nu0 gid 1000009  other gid 18 ----  mains 1 (longest 1.5 cm) assoc 0
   pr_evt52638 nu0 gid 1000011  other gid 7 ----  mains 1 (longest 297.0 cm) assoc 5
   pr_evt52693 nu0 gid 5  other gid 1000006 ----  mains 1 (longest 1.4 cm) assoc 0
   pr_evt54475 nu0 gid 1000011  other gid 7 ----  mains 1 (longest 1.0 cm) assoc 0
   pr_evt54629 nu0 gid 5  other gid 1000007 ----  mains 1 (longest 10.7 cm) assoc 0
   pr_evt55286 nu0 gid 14  other gid 1000002 ----  mains 2 (longest 431.9 cm) assoc 2
   pr_evt57346 nu0 gid 3  other gid 1000012 ----  mains 1 (longest 1.5 cm) assoc 0
   pr_evt68280 nu0 gid 7  other gid 1000010 ----  mains 1 (longest 1.3 cm) assoc 0
   pr_evt68346 nu0 gid 1000004  other gid 9 ----  mains 1 (longest 1.4 cm) assoc 0
   pr_evt70912 nu0 gid 1000003  other gid 7 ----  mains 1 (longest 1.1 cm) assoc 0
   pr_evt71642 nu0 gid 1000000  other gid 2 ----  mains 1 (longest 1.1 cm) assoc 0
   pr_evt72275 nu0 gid 1000000  other gid 10 CAND  mains 1 (longest 15.0 cm) assoc 0
   pr_evt72275 nu1 gid 10  other gid 1000000 CAND  mains 2 (longest 311.7 cm) assoc 6
   pr_evt72940 nu0 gid 1000005  other gid 7 ----  mains 1 (longest 0.8 cm) assoc 0
   pr_evt73038 nu0 gid 1000000  other gid 14 CAND  mains 1 (longest 15.4 cm) assoc 0
   pr_evt73038 nu1 gid 14  other gid 1000000 CAND  mains 1 (longest 205.3 cm) assoc 6
   pr_evt73450 nu0 gid 4  other gid 1000004 ----  mains 3 (longest 541.0 cm) assoc 4
   pr_evt73500 nu0 gid 4  other gid 1000002 ----  mains 1 (longest 481.4 cm) assoc 5
   pr_evt75206 nu0 gid 0  other gid 1000006 ----  mains 1 (longest 3.1 cm) assoc 0
   pr_evt75554 nu0 gid 1000002  other gid 0 ----  mains 1 (longest 1.4 cm) assoc 0
   pr_evt76888 nu0 gid 1000008  other gid 15 ----  mains 1 (longest 1.0 cm) assoc 0
   pr_evt77978 nu0 gid 1000009  other gid 9 ----  mains 1 (longest 0.9 cm) assoc 0
   pr_evt78032 nu0 gid 1  other gid 1000003 CAND  mains 1 (longest 3.5 cm) assoc 0
   pr_evt78032 nu1 gid 1000003  other gid 1 CAND  mains 2 (longest 423.3 cm) assoc 5
   pr_evt90751 nu0 gid 1000002  other gid 1 CAND  mains 1 (longest 2.4 cm) assoc 0
   pr_evt90751 nu1 gid 1  other gid 1000002 CAND  mains 2 (longest 449.4 cm) assoc 22
   pr_evt91782 nu0 gid 2  other gid 1000001 ----  mains 2 (longest 491.9 cm) assoc 21
   pr_evt92904 nu0 gid 1000004  other gid 7 ----  mains 1 (longest 0.7 cm) assoc 0
   pr_evt95800 nu0 gid 12  other gid 1000002 ----  mains 2 (longest 133.4 cm) assoc 2
   pr_evt97231 nu0 gid 0  other gid 1000007 ----  mains 1 (longest 3.1 cm) assoc 0
   pr_evt98470 nu0 gid 1000003  other gid 4 ----  mains 1 (longest 1.2 cm) assoc 0
   pr_evt99838 nu0 gid 1000002  other gid 8 ----  mains 1 (longest 1.4 cm) assoc 0
== total: 3067 files; {'eligible events': 142, 'other gid is NOT a candidate': 130, 'other gid is a candidate': 12}
