run	subrun	event	idx	flav	mode	ccnc	Etot	Edep	T	vx	vy	vz	event_has_candidate	n_candidates	min_cand_dist_cm
711	20	2	0	numu	RES	CC	894.8	0.0	0.387	619.02	10.75	-411.09	1	1	1141.87
711	20	2	1	numu	RES	CC	1515.5	395.9	1.154	-132.26	132.03	440.71	1	1	0.43
711	20	2	2	numu	QE	CC	328.4	0.0	1.095	-158.32	-462.9	412.98	1	1	595.93
711	20	2	3	numu	RES	CC	1375.1	0.0	1.357	703.7	-430.55	809.05	1	1	1072.79
711	20	5	0	numu	QE	CC	1618.4	657.9	0.561	-126.53	81.42	226.53	1	1	0.41
711	20	6	0	numu	MEC	NC	600.2	0.0	0.878	-698.0	-598.82	87.91	0	0	-1.00
711	20	6	1	numu	QE	CC	937.9	84.9	0.256	-107.6	-216.47	190.4	0	0	-1.00
711	20	6	2	numu	RES	CC	1398.6	168.2	0.282	-83.95	-1.44	-140.33	0	0	-1.00
711	20	6	3	numu	RES	NC	1524.1	0.0	0.587	179.39	-81.52	1006.07	0	0	-1.00
711	20	7	0	numu	QE	CC	663.6	0.0	0.996	145.34	-498.57	248.26	0	0	-1.00
711	20	7	1	numu	MEC	NC	1010.4	0.0	0.742	-250.77	227.82	-505.28	0	0	-1.00
711	20	7	2	numu	QE	CC	1290.8	141.0	1.13	-92.38	159.71	-299.85	0	0	-1.00
711	20	13	0	numu	DIS	CC	3450.4	0.0	0.289	-6.86	585.97	-447.09	1	1	957.68
711	20	13	1	numu	MEC	CC	1262.3	1059.5	1.322	-30.33	49.87	346.23	1	1	0.47
711	20	14	0	numu	QE	CC	879.8	533.6	1.308	-137.18	228.93	-22.48	0	0	-1.00
711	20	23	0	numu	MEC	CC	1525.4	443.1	1.347	-92.16	1.76	-27.01	0	0	-1.00
711	20	25	0	numu	DIS	CC	811.6	553.8	0.113	-159.08	153.11	351.61	1	1	0.05
711	20	28	0	numu	DIS	CC	2843.1	0.0	0.726	-590.6	-331.0	658.78	1	1	499.00
711	20	28	1	numu	RES	CC	1165.4	239.7	1.228	-200.25	-88.26	467.96	1	1	22.30
711	20	30	0	numu	QE	NC	607.9	102.2	0.332	-45.0	187.53	275.4	0	0	-1.00
711	20	30	1	numu	RES	CC	1002.7	6.6	1.197	-148.95	-141.32	626.29	0	0	-1.00
711	20	38	0	numu	RES	NC	2799.9	0.2	1.538	-516.08	-49.39	575.25	0	0	-1.00
711	20	41	0	numu	RES	CC	1192.2	19.5	1.292	-19.76	-126.24	611.14	0	0	-1.00
711	20	41	1	numu	QE	NC	392.5	0.0	0.243	574.01	-143.66	898.59	0	0	-1.00
711	20	41	2	numu	RES	CC	1258.9	7.7	0.583	363.45	-107.47	351.07	0	0	-1.00
711	20	42	0	numu	DIS	CC	1072.7	40.4	0.211	6.98	15.21	-24.4	1	1	219.47
711	20	42	1	numu	RES	CC	1005.5	0.0	0.352	-529.93	487.6	171.8	1	1	572.01
711	20	46	0	numu	DIS	CC	3559.7	98.5	0.34	241.86	-127.97	376.7	0	0	-1.00
711	20	49	0	numu	QE	CC	232.4	0.0	0.202	-418.65	588.62	-283.85	0	0	-1.00
711	20	49	1	numu	RES	CC	1723.5	0.3	0.731	0.19	-430.19	273.03	0	0	-1.00
711	60	1	0	numu	QE	CC	1159.3	0.4	0.409	-320.11	213.35	207.13	0	0	-1.00
711	60	5	0	numu	DIS	NC	5328.7	1285.5	0.695	144.58	-44.7	308.83	1	1	61.34
711	60	13	0	numu	QE	NC	810.2	5.0	0.152	47.34	-53.34	464.05	0	0	-1.00
