run	subrun	event	idx	flav	mode	ccnc	Etot	Edep	T	vx	vy	vz	event_has_candidate	n_candidates	min_cand_dist_cm
291	3	3746	0	nue	RES	CC	2163.5	1331.4	0.08	40.32	18.19	71.47	1	1	1.29
291	3	3746	1	numu	RES	CC	826.5	0.0	0.946	-295.03	-294.94	977.03	1	1	1014.12
291	3	6540	0	nue	RES	CC	1263.5	1093.7	0.617	179.87	-35.69	197.89	1	1	0.28
291	3	7221	0	numu	QE	CC	497.8	0.0	0.086	579.52	-586.65	739.73	1	1	1038.27
291	3	7221	1	nue	QE	CC	1876.2	897.6	1.335	-199.38	-128.29	214.53	1	1	14.71
291	3	8498	0	nue	RES	CC	2912.1	1893.9	1.264	33.6	-123.15	422.01	1	1	3.24
291	3	9313	0	numu	QE	CC	561.7	0.0	0.543	486.57	-165.36	303.63	1	1	585.71
291	3	9313	1	nue	RES	CC	813.5	668.4	0.527	-41.35	88.84	286.01	1	1	0.68
291	3	11934	0	nue	RES	CC	1499.0	435.8	0.457	-157.78	-44.11	486.37	1	1	0.49
291	3	12273	0	numu	MEC	CC	2071.8	26.8	0.606	-10.25	-43.26	507.1	1	1	198.99
291	3	12273	1	nue	QE	CC	1392.2	1306.4	0.621	-103.63	-30.79	331.6	1	1	0.40
291	14	761	0	nue	RES	CC	1687.8	1334.2	0.802	-176.56	160.11	70.36	1	2	0.27
291	14	761	1	numu	RES	CC	1080.9	844.9	0.541	20.09	48.42	222.4	1	2	35.76
291	14	3143	0	nue	QE	CC	1410.5	704.1	0.716	117.05	-188.73	449.74	1	1	0.72
291	14	3143	1	numu	DIS	CC	2393.5	0.0	1.4	470.21	279.9	1009.93	1	1	810.81
291	14	3143	2	numu	COH	CC	1176.0	0.0	0.049	-339.69	-414.39	-354.23	1	1	952.00
291	14	3812	0	nue	QE	CC	1260.4	1027.6	0.993	-157.14	21.05	186.49	1	1	12.81
291	14	6248	0	nue	RES	CC	3398.6	3358.7	1.423	-136.1	-116.48	23.09	1	1	8.72
291	14	10406	0	nue	RES	CC	2069.3	1678.6	1.414	11.9	-111.97	292.61	1	1	1.23
291	14	11963	0	nue	MEC	CC	1005.3	907.3	0.839	-112.44	-170.72	59.69	1	1	12.33
291	18	1601	0	nue	QE	CC	1639.1	1448.3	0.335	170.71	171.27	298.4	1	1	33.76
291	18	2019	0	nue	RES	CC	2367.7	1561.1	0.433	-42.27	86.33	375.64	1	1	0.48
291	18	2019	1	numu	QE	NC	643.4	0.0	0.976	0.84	-335.58	-289.85	1	1	788.84
291	18	3179	0	nue	QE	CC	1052.5	1053.7	1.575	170.77	-151.08	10.16	1	1	3.38
291	18	5657	0	nue	QE	CC	379.1	327.8	1.109	83.63	-175.44	209.25	1	1	49.51
291	18	5657	1	numu	QE	CC	220.0	0.0	1.403	-502.27	207.34	8.5	1	1	694.55
291	18	7087	0	nue	MEC	CC	1666.8	1641.2	1.484	-170.11	84.48	92.17	1	1	0.42
291	18	7098	0	numu	RES	CC	1382.3	0.0	1.188	-144.19	-412.56	-209.09	1	1	920.03
291	18	7098	1	nue	RES	CC	1990.3	359.6	0.452	70.86	198.99	446.13	1	1	2.64
291	18	8573	0	nue	QE	CC	1563.4	1514.7	0.615	117.13	21.77	121.44	1	1	0.81
291	18	9249	0	nue	DIS	CC	1325.4	477.9	1.577	166.27	-185.69	36.38	1	1	0.41
291	18	9497	0	numu	DIS	CC	1288.4	39.9	0.272	-227.25	-211.12	72.61	1	1	118.91
291	18	9497	1	nue	QE	CC	313.0	293.5	0.8	-129.97	-158.45	28.82	1	1	0.22
291	18	12115	0	numu	QE	NC	973.4	0.0	0.445	-30.0	-140.41	-376.05	1	1	427.62
291	18	12115	1	nue	RES	CC	1140.1	977.5	0.534	-8.47	-64.77	40.18	1	1	4.29
291	18	12331	0	numu	QE	NC	511.5	0.0	0.242	-701.06	82.07	359.52	1	1	693.03
291	18	12331	1	nue	QE	CC	1195.7	450.7	1.532	-56.23	-147.77	470.12	1	1	1.33
291	19	562	0	numu	QE	CC	508.7	29.7	0.428	-91.13	206.05	185.8	1	1	284.04
291	19	562	1	nue	DIS	CC	889.9	831.3	0.546	124.05	85.75	320.01	1	1	5.93
291	19	562	2	numu	QE	CC	1028.3	2.8	1.351	115.52	120.9	-419.3	1	1	740.86
291	19	1056	0	nue	MEC	CC	1297.7	30.3	0.832	-95.76	137.2	500.24	0	0	-1.00
291	19	1655	0	nue	RES	CC	602.2	448.4	1.375	132.94	108.5	265.08	1	1	0.63
291	19	3596	0	nue	RES	CC	4614.6	4126.8	1.578	-95.81	-118.63	104.25	1	2	3.49
291	19	3596	1	numu	DIS	CC	4339.7	1894.5	0.252	179.83	-149.2	114.66	1	2	0.38
291	19	3726	0	nue	QE	CC	1332.4	738.3	0.11	147.21	186.7	347.97	1	1	1.34
291	19	4976	0	nue	MEC	CC	1609.4	1355.3	0.98	144.23	9.85	351.26	1	1	38.35
291	19	6515	0	nue	QE	CC	524.1	405.6	1.502	161.57	-153.98	27.8	0	0	-1.00
291	19	6515	1	numu	RES	NC	2793.2	0.0	1.129	-598.56	-181.54	1343.74	0	0	-1.00
291	19	7520	0	nue	QE	CC	764.1	521.2	1.249	155.81	194.14	415.67	1	1	5.27
291	19	7906	0	numu	RES	CC	1292.5	0.0	1.28	-527.49	361.0	248.35	1	1	652.04
291	19	7906	1	numu	MEC	CC	475.5	6.1	0.263	88.65	-206.91	406.7	1	1	398.24
291	19	7906	2	nue	QE	CC	689.2	684.0	1.329	-135.17	-134.55	85.13	1	1	1.00
291	19	8935	0	nue	QE	CC	1653.1	1423.3	1.409	155.68	-197.76	181.61	1	1	2.76
291	19	8935	1	numu	RES	NC	608.6	0.0	1.543	239.38	449.0	-350.72	1	1	844.36
291	26	923	0	nue	RES	CC	856.8	546.2	0.405	-18.37	-122.41	146.13	1	1	1.13
291	26	3245	0	nue	QE	CC	813.9	627.8	0.226	76.58	-29.71	445.42	1	1	1.45
291	26	5381	0	nue	DIS	CC	1704.5	1394.6	0.255	121.12	167.85	105.17	1	1	0.42
291	26	5381	1	numu	RES	CC	1015.1	0.0	0.889	-270.72	-507.32	470.88	1	1	861.65
291	26	5474	0	nue	MEC	CC	1568.1	1375.3	1.256	-144.59	-97.31	87.96	1	1	7.13
291	26	6105	0	nue	RES	CC	1996.6	1763.4	0.71	153.6	-24.51	118.53	1	1	0.61
291	26	8053	0	nue	MEC	CC	1400.0	952.2	0.072	-150.81	167.82	437.43	0	0	-1.00
291	26	8472	0	numu	RES	CC	1587.9	7.6	0.2	383.76	246.37	-324.31	1	1	665.67
291	26	8472	1	nue	QE	CC	1582.6	1599.9	0.141	-52.68	44.78	109.31	1	1	25.27
