# clean stopping-track dQ/dx-vs-rr sample, MCP2025C reco1
# roots: work-stmcamp-d66new
# track set REPLAYED from dqdx_rr_sample/sample_index_d66old.tsv; the cuts below were NOT applied
# cuts: npts>=40 nbin>=6 rrmin<=2.0 rrmax>=22.0 contrast>=2.0 chi2<=2.5 shape_rms<=0.1
# k_<h> = free scale needed against hypothesis h; rms_<h> = shape residual after taking k out
particle	root	event	block	status	npts	L_cm	contrast	chi2	k_muon	rms_muon	k_proton	rms_proton	mean_absx_cm
muon	work-stmcamp-d66new	167200	160	0	74	46.0	1.94	1.20	1.058	9.0	0.636	7.2	104.1
muon	work-stmcamp-d66new	167398	30	0	289	180.3	2.08	1.14	1.037	9.9	0.625	8.9	152.4
muon	work-stmcamp-d66new	169598	180	2	151	92.5	2.54	1.16	1.040	6.4	0.625	7.8	125.5
muon	work-stmcamp-d66new	171050	40	0	168	105.4	2.38	2.15	0.998	8.8	0.603	5.3	147.4
muon	work-stmcamp-d66new	172788	260	0	463	293.5	3.14	2.10	1.100	8.7	0.663	8.1	173.2
muon	work-stmcamp-d66new	174422	130	0	618	392.2	2.32	1.24	1.042	9.2	0.629	6.8	40.5
muon	work-stmcamp-d66new	278794	70	7	313	197.1	2.71	1.11	1.044	3.0	0.631	5.3	130.3
muon	work-stmcamp-d66new	281095	200	0	736	469.4	2.29	1.39	1.012	6.8	0.609	5.0	31.8
muon	work-stmcamp-d66new	281148	130	0	54	32.5	2.20	1.24	1.009	3.7	0.597	4.4	8.2
muon	work-stmcamp-d66new	281857	190	0	177	112.8	2.37	1.42	1.048	7.4	0.632	7.8	113.6
muon	work-stmcamp-d66new	282033	130	0	300	185.0	2.52	2.30	1.019	9.4	0.615	5.0	179.1
muon	work-stmcamp-d66new	283817	140	0	185	117.8	2.45	1.68	1.025	6.6	0.617	7.6	76.5
muon	work-stmcamp-d66new	283905	40	0	179	112.4	2.33	1.65	1.001	7.1	0.603	5.5	171.3
muon	work-stmcamp-d66new	283969	220	0	610	394.6	2.29	1.42	1.004	11.2	0.605	8.0	113.7
muon	work-stmcamp-d66new	284367	40	0	68	42.9	2.16	2.08	1.041	8.8	0.624	11.8	77.8
muon	work-stmcamp-d66new	285080	190	0	519	328.5	3.11	1.41	0.975	9.7	0.588	9.6	90.8
muon	work-stmcamp-d66new	285999	220	0	42	26.5	2.40	1.51	1.041	7.6	0.613	8.7	189.2
muon	work-stmcamp-d66new	286065	30	0	394	249.5	2.43	1.81	0.997	8.5	0.601	7.2	153.0
muon	work-stmcamp-d66new	286631	70	0	326	207.8	2.48	1.31	1.011	8.5	0.610	6.1	159.6
muon	work-stmcamp-d66new	287007	120	0	159	101.1	2.59	1.56	0.968	6.1	0.584	4.6	165.5
muon	work-stmcamp-d66new	287181	140	0	96	60.4	2.75	1.24	1.028	6.7	0.617	4.9	149.1
muon	work-stmcamp-d66new	288358	70	0	456	291.4	2.28	1.53	1.001	5.0	0.603	5.2	119.4
muon	work-stmcamp-d66new	288639	80	2	225	142.4	2.33	1.59	1.018	8.7	0.613	5.7	166.8
muon	work-stmcamp-d66new	289647	90	0	189	121.7	2.35	2.01	1.002	7.4	0.604	4.2	181.2
muon	work-stmcamp-d66new	290844	30	0	326	210.3	2.36	1.06	1.024	8.3	0.617	6.4	29.1
muon	work-stmcamp-d66new	350781	80	0	263	166.3	2.58	1.18	1.037	7.0	0.626	3.8	127.3
muon	work-stmcamp-d66new	351815	250	0	86	54.0	2.50	1.88	1.001	5.1	0.603	5.5	121.9
muon	work-stmcamp-d66new	353729	230	0	297	192.4	2.52	1.53	1.144	8.0	0.689	5.4	164.5
muon	work-stmcamp-d66new	386354	40	0	159	103.6	2.38	1.29	1.052	5.8	0.634	5.2	144.1
muon	work-stmcamp-d66new	386794	150	0	64	39.2	2.23	2.12	1.002	5.1	0.595	5.6	188.6
muon	work-stmcamp-d66new	387168	150	0	130	81.3	2.32	1.46	1.031	10.5	0.621	7.2	150.2
muon	work-stmcamp-d66new	388884	20	0	211	131.6	2.42	1.47	1.023	7.1	0.616	5.9	162.3
muon	work-stmcamp-d66new	390006	40	0	114	70.4	2.37	1.33	1.052	5.2	0.633	5.5	39.3
muon	work-stmcamp-d66new	392112	70	0	197	120.3	2.61	1.37	1.055	4.4	0.636	6.7	123.4
muon	work-stmcamp-d66new	397194	130	0	414	261.2	2.54	1.53	1.020	6.8	0.615	3.1	101.9
muon	work-stmcamp-d66new	398238	130	0	232	145.5	2.41	1.12	1.048	10.6	0.632	7.8	30.6
muon	work-stmcamp-d66new	399042	140	0	53	32.0	2.45	0.99	1.123	8.3	0.667	7.4	62.4
muon	work-stmcamp-d66new	399284	60	0	419	266.0	2.41	1.10	1.037	4.1	0.625	5.9	106.2
muon	work-stmcamp-d66new	400174	80	0	134	84.3	2.46	1.72	1.062	5.9	0.640	3.8	163.1
muon	work-stmcamp-d66new	401450	170	0	699	439.9	2.69	1.51	0.989	4.8	0.597	4.2	81.9
muon	work-stmcamp-d66new	402968	190	0	121	76.1	2.44	1.59	0.955	5.7	0.575	9.4	22.6
muon	work-stmcamp-d66new	404816	50	0	228	149.1	2.72	2.37	1.060	5.8	0.640	5.8	157.1
muon	work-stmcamp-d66new	409942	170	4	67	40.5	2.54	1.65	1.067	6.7	0.633	4.4	93.4
muon	work-stmcamp-d66new	48301	130	0	164	106.4	2.39	1.12	1.057	7.3	0.637	5.6	74.7
muon	work-stmcamp-d66new	489811	40	0	274	173.6	2.23	1.11	0.995	8.5	0.599	5.5	123.5
muon	work-stmcamp-d66new	492891	130	0	725	468.4	2.52	1.29	1.058	13.1	0.639	9.7	97.4
muon	work-stmcamp-d66new	50765	150	0	441	282.2	2.20	1.68	1.035	5.8	0.623	5.4	28.6
muon	work-stmcamp-d66new	50787	60	2	79	50.1	2.78	1.44	1.041	6.6	0.627	8.3	136.1
