idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1966332	0	nan
1	6505	130	13	1870204	0	nan
2	6512	130	14	1784612	0	nan
3	6520	130	17	1840720	0	nan
4	6528	130	12	1962872	0	nan
5	6529	130	12	1882048	0	nan
6	6532	130	20	2205596	0	nan
7	6536	130	13	1897000	0	nan
8	6545	130	16	1957888	0	nan
9	6550	130	11	1739744	0	nan
10	6570	131	22	2160720	0	nan
11	6588	131	11	1779892	0	nan
12	6604	132	27	2306228	0	nan
13	6606	132	13	2053248	0	nan
14	6612	132	15	2160992	0	nan
15	6642	132	19	2194408	0	nan
16	6650	132	14	2103596	0	nan
17	6711	134	11	1827244	0	nan
18	6748	134	14	1847232	0	nan
19	6775	135	12	1832764	0	nan
20	6786	135	20	2073556	0	nan
21	6804	136	14	1897492	0	nan
22	6805	136	13	2021900	0	nan
23	6806	136	14	2091764	0	nan
24	6821	136	14	1859684	0	nan
25	6822	136	18	2234332	0	nan
26	6837	136	15	2153080	0	nan
27	6844	136	15	2092412	0	nan
28	6852	137	15	1915928	0	nan
29	6867	137	14	1852960	0	nan
30	6874	137	24	2242144	0	nan
31	6878	137	18	2023760	0	nan
32	6887	137	13	1848140	0	nan
33	6888	137	24	2131492	0	nan
34	6898	137	13	1818536	0	nan
