idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1900232	0	nan
1	6505	130	11	1813856	0	nan
2	6512	130	13	1752500	0	nan
3	6520	130	16	1802020	0	nan
4	6528	130	11	1898216	0	nan
5	6529	130	11	1834848	0	nan
6	6532	130	17	2117704	0	nan
7	6536	130	11	1844532	0	nan
8	6545	130	14	1897464	0	nan
9	6550	130	10	1699004	0	nan
10	6570	131	20	2095744	0	nan
11	6588	131	10	1730116	0	nan
12	6604	132	24	2222676	0	nan
13	6606	132	12	1982960	0	nan
14	6612	132	13	2071268	0	nan
15	6642	132	16	2107264	0	nan
16	6650	132	12	2030372	0	nan
17	6711	134	11	1783416	0	nan
18	6748	134	13	1801116	0	nan
19	6775	135	11	1777800	0	nan
20	6786	135	17	2011952	0	nan
21	6804	136	12	1844724	0	nan
22	6805	136	11	1951904	0	nan
23	6806	136	12	2016912	0	nan
24	6821	136	12	1810624	0	nan
25	6822	136	15	2166644	0	nan
26	6837	136	12	2071584	0	nan
27	6844	136	13	2016676	0	nan
28	6852	137	13	1864336	0	nan
29	6867	137	12	1798780	0	nan
30	6874	137	27	2168776	0	nan
31	6878	137	22	1956752	0	nan
32	6887	137	16	1797324	0	nan
33	6888	137	32	2055788	0	nan
34	6898	137	18	1767448	0	nan
