run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18253	1	444187	1.5660865	0.772246			1287.8346	1221.7697		
18255	1	46363					1963.8833	1849.6477	0.0	45.056718316411526
18255	1	90055	-1.1415854	-0.93164194			2664.614	2546.4841		
18255	1	168596	-1.3801125	-1.1744782			2402.206	2165.511		
18255	1	196649	-1.1169435	-0.17605864	4.242424	-2.3152092	1614.1888	365.0995		
18255	1	239794	-0.76241416	-1.404962			2920.2673	2915.251		
18255	1	246579	-2.3804524	-1.4470764			1829.3135	1777.2493		
18255	1	360535	-0.7518937	-0.9481917						
18255	1	433451	-1.9285995	-2.076581			2766.097	2776.0923		
18255	1	489330	-1.7711712	-0.9627613			2253.512	2099.604		
18259	1	42280	-2.2403855	-2.8345163			1974.3033	1940.6982		
18259	1	54095	0.014922174	-0.9232424						
18313	1	81597	-0.7419696	0.36452174			1578.2323	695.7173		
18409	1	214469	-0.27337402	-0.35963675						
