evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
18625	ncpi0	human	0	11003	2.35	1	0	0	11003	11003	11003	11003	11003	None	None	11003	1
21073	ncpi0	human	0	11001	0.16	1	0	0	11004	11001	11001	11001	11001	None	None	11004	1
37112	ncpi0	human	0	84097	2.78	1	0	0	9006	84097	84097	84097	84097	None	None	9006	1
56982	ncpi0	human	0	22001	0.18	0	0	0	22029	22030	22030	22030	22030	None	None	22029	0
71372	ncpi0	human	0	92123	0.51	1	0	0	19024	92123	92123	92123	92123	None	None	19024	1
84229	ncpi0	human	0	19045	0.24	1	0	0	19045	9029	9029	9029	9029	None	None	19045	0
105946	ncpi0	human	0	14002	0.00	1	0	0	14002	14002	14002	14002	14002	None	None	14002	1
114446	ncpi0	human	0	21001	0.00	0	0	0	21001	62013	21001	21001	21001	None	None	21001	1
142421	ncpi0	human	0	7002	1.11	1	0	0	7002	7002	7002	7002	7002	None	None	7002	1
180801	ncpi0	human	0	109073	0.00	1	0	0	15002	114106	15002	15002	15002	None	None	15002	0
259542	ncpi0	human	0	129167	2.31	0	0	0	None	None	17001	17001	17001	None	None	None	0
285567	ncpi0	human	0	8007	1.52	1	0	0	8009	8007	8007	8007	8007	None	None	8009	1
314838	ncpi0	human	0	18017	0.56	1	0	0	17016	18017	18017	18017	18017	None	None	17016	1
359980	ncpi0	human	0	69077	0.00	0	0	0	21015	21015	21015	21015	21015	None	None	21015	0
399860	ncpi0	human	0	17003	2.59	1	0	0	17003	17003	17003	17003	17003	None	None	17003	1
463565	ncpi0	human	0	108099	0.30	0	0	0	108099	48040	108099	108099	108099	None	None	108099	1
506114	ncpi0	human	0	28049	0.00	1	0	0	19011	28049	28049	28049	28049	None	None	19011	1
506746	ncpi0	human	0	21040	1.60	1	0	0	21040	21040	21040	21040	21040	None	None	21040	1
521075	ncpi0	human	0	94053	0.00	1	0	0	18001	94053	94053	94053	94053	None	None	18001	1
