evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
388	nuecc48	human	0	23009	0.53	1	0	0	23009	23009	23009	23009	23009	None	None	23009	1
10550	nuecc48	human	0	49072	0.00	0	0	0	None	7009	7009	7009	7009	None	None	None	0
30504	nuecc48	human	0	11001	0.00	0	0	0	11011	55053	11011	11011	11011	None	None	11011	0
38856	nuecc48	human	0	12004	0.10	0	0	0	12009	12009	12009	12009	12009	None	None	12009	0
42280	nuecc48	human	0	8001	0.30	1	0	0	8023	8001	8001	8001	8001	None	None	8023	1
46363	nuecc48	human	0	19001	0.00	1	0	0	19019	19001	19001	19001	19001	None	None	19019	1
52672	nuecc48	human	0	82148	0.92	0	0	0	82149	25047	82149	82149	82149	None	None	82149	0
54095	nuecc48	human	0	17007	0.45	1	0	0	17007	17007	17007	17007	17007	None	None	17007	1
69314	nuecc48	human	0	3004	0.61	1	0	0	3004	3004	3004	3004	3004	None	None	3004	1
74544	nuecc48	human	0	12001	0.48	1	0	0	12001	12001	12001	12001	12001	None	None	12001	1
81597	nuecc48	human	0	19006	0.29	1	0	0	19036	19006	19006	19006	19006	None	None	19036	1
90055	nuecc48	human	0	11002	0.31	1	0	0	11002	11002	11002	11002	11002	None	None	11002	1
111412	nuecc48	human	0	18001	2.07	0	0	0	18001	18001	18014	18014	18014	None	None	18001	0
122660	nuecc48	human	0	9014	0.26	1	0	0	9014	9010	9010	9010	9010	None	None	9014	0
131357	nuecc48	human	0	12006	0.63	1	0	0	12006	12006	12006	12006	12006	None	None	12006	1
137238	nuecc48	human	0	143041	0.89	1	0	0	7004	7004	143041	143041	143041	None	None	7004	1
138009	nuecc48	human	0	12002	1.89	1	0	0	12010	12002	12002	12002	12002	None	None	12010	1
163543	nuecc48	human	0	14001	0.50	0	0	0	14022	14022	14022	14022	14022	None	None	14022	0
168596	nuecc48	human	0	14012	0.72	1	0	0	14022	14012	14012	14012	14012	None	None	14022	1
172230	nuecc48	human	0	5009	0.48	1	0	0	5009	5009	5009	5009	5009	None	None	5009	1
174637	nuecc48	human	0	9006	1.07	1	0	0	9006	9006	9006	9006	9006	None	None	9006	1
196649	nuecc48	human	0	11028	0.17	1	0	0	11028	11028	11028	11028	11028	None	None	11028	1
214469	nuecc48	human	0	16013	0.23	1	0	0	16013	16013	16013	16013	16013	None	None	16013	1
219295	nuecc48	human	0	15003	0.09	1	0	0	15003	15003	15003	15003	15003	None	None	15003	1
234638	nuecc48	human	0	10006	0.73	1	0	0	10006	10006	10006	10006	10006	None	None	10006	1
235435	nuecc48	human	0	2001	0.00	0	0	0	2012	2018	2018	2018	2018	None	None	2012	0
239794	nuecc48	human	0	2003	0.70	1	0	0	2003	2003	2003	2003	2003	None	None	2003	1
246579	nuecc48	human	0	19006	0.21	1	0	0	19058	19006	19006	19006	19006	None	None	19058	1
256587	nuecc48	human	0	11082	0.48	1	0	0	11082	11082	11082	11082	11082	None	None	11082	1
267597	nuecc48	human	0	5007	0.29	1	0	0	5007	5007	5007	5007	5007	None	None	5007	1
268067	nuecc48	human	0	15007	2.28	1	0	0	15004	15004	15004	15004	15004	None	None	15004	0
268784	nuecc48	human	0	13002	0.40	1	0	0	13002	13002	13002	13002	13002	None	None	13002	1
269774	nuecc48	human	0	87155	0.11	1	0	0	13000	87155	87155	87155	87155	None	None	13000	1
271851	nuecc48	human	0	23001	2.75	1	0	0	23013	23001	23001	23001	23001	None	None	23013	1
342199	nuecc48	human	0	20006	1.11	1	0	0	20006	20006	20006	20006	20006	None	None	20006	1
350186	nuecc48	human	0	6001	0.09	1	0	0	None	6001	6001	6001	6001	None	None	None	1
360535	nuecc48	human	0	7022	0.36	1	0	0	7001	7001	7001	7001	7001	None	None	7001	0
389538	nuecc48	human	0	11002	0.30	1	0	0	11002	19014	19014	19014	19014	None	None	11002	0
400474	nuecc48	human	0	18003	0.59	1	0	0	18003	18003	18003	18003	18003	None	None	18003	1
422851	nuecc48	human	0	1005	0.44	1	0	0	1005	1005	1005	1005	1005	None	None	1005	1
423981	nuecc48	human	0	12012	1.28	1	0	0	12012	12012	12012	12012	12012	None	None	12012	1
433451	nuecc48	human	0	4007	0.37	1	0	0	4052	4007	4007	4007	4007	None	None	4052	1
437699	nuecc48	human	0	11005	1.94	1	0	0	11005	11005	11005	11005	11005	None	None	11005	1
444187	nuecc48	human	0	19002	0.38	1	0	0	19002	19002	19002	19002	19002	None	None	19002	1
447477	nuecc48	human	0	11001	0.33	1	0	0	11001	11001	11001	11001	11001	None	None	11001	1
469665	nuecc48	human	0	15003	0.76	1	0	0	15003	15003	15003	15003	15003	None	None	15003	1
489330	nuecc48	human	0	4004	0.51	1	0	0	4006	4004	4004	4004	4004	None	None	4006	1
