event	evtno	n_eval	n_tgm	n_stm	n_fc	n_cand	n_f7	n_f8	n_f7_filled	n_michel_E	michel_E_list
039252_0	298567	59	20	8	18	33	2	0	17	15	0.0,0.0,370.6,0.0,0.0,121.3,0.0,0.0,387.2,0.0,24.5,202.7,2.3,193.6,11.4
039252_10	298707	73	15	7	33	37	0	0	14	21	1732.2,0.0,576.6,0.4,323.3,34.4,38.0,0.0,0.0,3.4,319.9,0.0,229.1,0.0,8.1,0.0,46.4,0.0,0.0,0.0,80.9
039252_11	298721	70	19	6	20	43	4	0	23	24	573.8,29.1,549.6,0.0,0.0,0.0,12.3,0.0,533.4,296.5,0.0,183.5,0.0,0.0,0.0,247.2,0.0,0.0,191.3,0.0,0.0,0.0,0.0,0.6
039252_12	298735	89	27	4	25	42	1	0	22	23	292.4,149.1,0.0,0.0,0.0,230.7,16.1,0.0,327.5,1.2,0.0,21.4,0.0,0.0,0.0,2.5,65.2,1.6,2.6,0.0,133.1,6.6,1.0
039252_13	298749	63	13	4	27	32	2	0	17	20	0.0,0.0,517.4,0.0,92.1,287.0,0.0,354.1,1.9,0.2,355.2,14.3,0.0,192.3,0.0,49.2,7.3,0.5,148.3,0.0
039252_14		78	23	10	22	0	0	0	0	0	
039252_15		84	22	10	27	0	0	0	0	0	
039252_16		93	27	8	24	0	0	0	0	0	
039252_17		82	21	8	21	0	0	0	0	0	
039252_1	298581	67	14	4	32	33	2	0	15	18	0.0,0.0,0.0,0.0,658.2,0.0,226.7,127.0,0.4,0.0,0.0,0.0,225.8,0.0,0.0,3.7,0.0,14.8
039252_2	298595	93	35	4	30	42	4	0	18	20	0.0,157.1,0.0,0.0,0.0,431.3,114.6,0.0,0.0,32.9,67.3,210.8,131.2,0.0,20.3,0.0,0.0,0.0,47.4,0.0
039252_3	298609	73	16	7	22	39	1	0	17	22	13.2,43.8,145.1,150.7,1019.7,0.0,5.1,53.3,460.1,66.9,0.0,170.5,0.9,0.6,289.3,0.5,0.0,5.2,14.9,0.0,0.0,27.0
039252_4	298623	90	27	5	35	39	5	0	22	26	506.3,0.0,0.0,14.4,116.7,1.9,0.0,103.7,17.9,73.5,56.2,337.8,0.0,0.0,0.0,203.4,62.4,0.0,415.2,0.0,0.0,0.0,0.0,27.6,2.5,25.6
039252_5		91	24	4	33	0	0	0	0	0	
039252_6		97	15	9	33	0	0	0	0	0	
039252_7		71	22	6	23	0	0	0	0	0	
039252_8		72	16	6	0	0	0	0	0	0	
039252_9	298693	76	18	12	24	38	4	0	20	19	979.3,652.1,0.0,0.0,0.8,201.9,0.0,450.1,0.0,0.5,2.9,0.0,219.1,196.1,0.0,106.4,0.0,12.1,0.0
039349_0	19409	46	10	3	17	24	2	0	14	11	0.0,14.0,8.0,0.0,126.1,0.0,0.0,470.8,0.0,0.0,64.5
039349_10	19609	47	11	7	18	21	2	0	10	8	0.0,156.7,196.0,0.5,0.0,30.6,0.0,0.0
039349_11	19629	39	10	8	8	23	2	0	11	13	1205.4,0.0,322.4,0.0,0.0,1.5,0.0,0.0,239.3,0.0,0.0,122.9,0.0
039349_12	19649	45	13	6	15	21	1	0	14	10	184.0,0.0,0.0,80.9,45.7,3.7,0.0,13.4,3.7,13.7
039349_13	19669	44	11	7	19	21	4	0	11	12	657.1,0.2,0.0,4.1,0.3,2.0,10.0,0.0,0.0,0.0,73.7,0.0
039349_14	19689	41	8	3	18	22	0	0	8	14	1300.6,823.6,574.6,0.0,0.0,0.0,18.9,0.0,58.1,0.0,0.0,0.0,0.0,0.0
039349_15	19709	52	13	7	15	29	1	0	15	13	13.7,0.0,0.0,2.2,0.0,0.0,176.5,3.4,0.0,0.0,0.0,38.4,108.7
039349_16	19729	55	17	4	24	21	1	0	11	13	610.4,740.8,0.0,294.5,0.0,83.1,0.0,0.7,20.1,0.0,3.4,25.2,15.4
039349_17		44	5	4	24	0	0	0	0	0	
039349_18	19769	52	7	16	8	36	2	0	20	16	434.2,18.2,0.0,0.0,0.0,134.0,614.8,222.0,0.0,16.1,0.0,0.0,0.0,230.5,70.2,0.0
039349_19	19789	44	11	5	20	19	0	0	6	12	0.0,0.0,63.2,0.0,0.0,0.0,0.0,13.0,177.1,0.0,31.7,54.7
039349_1	19429	40	7	6	15	18	0	0	7	9	0.0,0.0,0.0,0.0,270.8,0.0,1.3,0.0,0.0
039349_20	19809	51	11	3	24	21	0	0	12	13	842.6,570.8,73.9,0.0,13.7,0.0,31.9,0.0,1.1,23.0,14.3,0.0,0.0
039349_21	19829	47	11	4	18	21	2	0	12	13	920.2,260.0,30.5,157.0,3.5,96.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0
039349_22	19849	56	5	10	21	29	2	0	13	17	1.8,615.6,0.0,548.7,68.0,0.0,0.0,293.9,0.0,4.3,0.0,15.5,0.0,0.0,0.0,6.0,0.0
039349_23	19869	46	12	4	14	28	0	0	17	19	443.1,282.4,8.0,278.5,0.0,3.2,164.9,77.4,0.0,0.0,1.4,541.2,0.0,0.0,0.0,111.0,106.4,50.3,0.0
039349_24	19889	57	13	7	22	29	3	0	11	15	583.8,37.1,0.0,10.6,261.9,6.9,238.2,76.6,210.1,0.0,2.2,99.1,0.0,15.1,4.7
039349_25		59	20	5	23	0	0	0	0	0	
039349_26		44	6	10	12	0	0	0	0	0	
039349_27		50	14	4	17	0	0	0	0	0	
039349_28		60	12	6	22	0	0	0	0	0	
039349_29	22797	43	10	4	21	18	2	0	10	11	197.7,0.0,0.0,108.3,337.3,0.0,4.6,0.0,0.0,1.6,38.0
039349_2		44	7	3	18	0	0	0	0	0	
039349_30	22817	56	12	2	19	27	1	0	16	16	0.0,0.0,170.3,266.7,0.0,0.0,0.0,221.6,0.7,0.0,74.9,1.6,4.9,11.5,0.0,0.0
039349_31	22837	54	11	5	18	33	1	0	11	18	0.0,28.3,462.5,0.0,0.0,0.0,0.0,14.2,2.6,0.0,0.0,0.0,175.3,0.0,115.2,0.0,0.0,33.6
039349_32		43	9	6	12	0	0	0	0	0	
039349_33		58	15	0	0	0	0	0	0	0	
039349_34	22897	41	11	5	16	20	2	0	12	12	0.0,148.1,0.0,0.1,0.0,0.0,0.0,0.0,65.5,11.2,36.8,0.0
039349_35	22917	58	9	4	27	21	4	0	11	13	41.5,2.3,0.0,510.3,312.0,0.0,0.0,397.7,0.0,3.0,68.7,3.4,0.0
039349_36	22937	43	11	6	15	16	1	0	10	11	534.6,40.7,0.0,0.0,77.8,0.0,0.0,20.8,0.0,34.4,0.0
039349_37		61	17	4	21	0	0	0	0	0	
039349_38	22977	48	3	17	14	30	3	0	16	12	215.2,0.0,185.3,0.0,0.0,0.0,0.0,2.1,315.1,2.0,10.7,90.3
039349_39	22997	48	6	6	17	22	4	0	13	17	1095.4,2.0,0.0,0.0,616.5,0.0,97.1,6.5,0.0,0.0,3.6,17.4,0.0,0.0,37.1,2.0,0.0
039349_3		46	11	5	12	0	0	0	0	0	
039349_40	23017	46	8	3	21	17	1	0	8	9	0.0,0.0,0.0,0.0,155.4,332.0,255.2,0.0,0.0
039349_41		47	6	3	19	0	0	0	0	0	
039349_42	23057	49	7	3	20	22	0	0	5	11	0.0,0.0,0.0,94.0,0.7,0.0,0.0,0.0,0.1,0.0,53.2
039349_43		45	12	10	11	0	0	0	0	0	
039349_44		65	15	2	23	0	0	0	0	0	
039349_45		44	7	6	16	0	0	0	0	0	
039349_46		49	11	3	19	0	0	0	0	0	
039349_47		54	5	5	22	0	0	0	0	0	
039349_48		53	14	5	13	0	0	0	0	0	
039349_49		52	9	4	18	0	0	0	0	0	
039349_4	19489	50	8	6	24	24	1	0	11	13	0.0,578.5,0.0,149.9,0.0,0.0,560.0,0.0,0.0,0.0,2.5,105.4,0.0
039349_50		48	10	4	0	0	0	0	0	0	
039349_51		47	17	2	15	0	0	0	0	0	
