event	cluster	raw_near	raw_mid	raw_contrast	fit_near	fit_mid	fit_contrast	raw_contrast_entry
039252_0	32	1.421e+04	2.831e+04	0.5018	3.58e+04	4.733e+04	0.7565	2.207
039252_0	73	9.793e+04	2.564e+04	3.82	6.194e+04	5.163e+04	1.2	2.395
039252_0	80	2.643e+04	3.418e+04	0.7734	7.651e+04	5.774e+04	1.325	1.772
039252_0	81	8.321e+04	3.497e+04	2.38	1.194e+05	4.092e+04	2.919	2.453
039252_0	82	2.818e+04	761	37.04	1.265e+04	1.376e+04	0.9192	29.69
039252_10	46	1.499e+04	2.468e+04	0.6071	1.705e+04	5.922e+04	0.2879	0.4938
039252_11	9	4.279e+04	1.677e+04	2.551	2.428e+04	4.862e+04	0.4994	1.335
039252_11	28	5.532e+04	2.151e+04	2.572	9.445e+04	6.246e+04	1.512	0.3693
039252_12	32	2.366e+04	3.284e+04	0.7205	5.406e+04	5.625e+04	0.961	1.107
039252_14	88	4.173e+04	5.164e+04	0.8082	5.281e+04	4.855e+04	1.088	1.309
039252_14	103	5.933e+04	2.889e+04	2.054	4.672e+04	4.818e+04	0.9698	0.847
039252_15	27	3.734e+04	7.108e+04	0.5253	2.613e+04	6.393e+04	0.4087	1.164
039252_15	84	1.839e+04	2.502e+04	0.735	1.838e+04	3.582e+04	0.5132	1.289
039252_17	64	7.214e+04	9.869e+04	0.7309	4.259e+04	7.265e+04	0.5862	1.084
039252_3	47	8.767e+04	4.387e+04	1.998	9.485e+04	6.163e+04	1.539	0.4978
039252_4	90	2.509e+04	2.792e+04	0.8984	4.144e+04	4.595e+04	0.9019	0.4381
039252_7	68	2.393e+04	1.848e+04	1.295	2.181e+04	4.448e+04	0.4904	1.189
039252_9	30	3.241e+04	3.803e+04	0.852	2.461e+04	5.455e+04	0.4511	1.397
039252_9	48	4.044e+04	3.429e+04	1.179	6.564e+04	5.872e+04	1.118	0.6398
039252_9	91	7.843e+04	3.497e+04	2.243	1.21e+05	5.285e+04	2.289	1.644
039252_9	92	2.277e+04	2.394e+04	0.951	4.612e+04	5.125e+04	0.8999	0.8139
039253_0	39	3.947e+04	3.703e+04	1.066	5.934e+04	6.949e+04	0.8539	2.676
039253_11	91	2.129e+04	4052	5.255	3.508e+04	2.905e+04	1.208	2.006
039253_13	39	1.8e+05	5.423e+04	3.319	5.194e+04	6.991e+04	0.743	1.182
039253_13	40	1.147e+05	4.782e+04	2.399	1.296e+05	5.858e+04	2.213	1.029
039253_15	87	3.458e+04	2.479e+04	1.395	7.645e+04	5.818e+04	1.314	1.201
039253_16	115	1.621e+04	2.097e+04	0.7729	4.804e+04	4.483e+04	1.072	0.4986
039253_17	82	3.22e+04	2.182e+04	1.476	2.986e+04	3.054e+04	0.9778	4.289
039253_1	75	4.138e+04	3.16e+04	1.31	5.007e+04	3.953e+04	1.267	0.4873
039253_3	67	2.828e+04	2.546e+04	1.111	4.43e+04	4.448e+04	0.9958	0.6465
039253_4	81	8.593e+04	3.356e+04	2.56	9.593e+04	3.246e+04	2.955	1.189
039253_6	34	6.333e+04	5.922e+04	1.069	6.192e+04	5.436e+04	1.139	1.12
039253_6	100	2.401e+04	3.698e+04	0.6493	4.156e+04	4.841e+04	0.8586	1.872
039253_7	22	4.81e+04	2.868e+04	1.677	5.262e+04	5.758e+04	0.9138	1.147
039253_7	23	1.655e+04	2.922e+04	0.5664	1.334e+04	4.958e+04	0.269	1.138
039253_7	82	4.582e+04	2.052e+04	2.233	5.615e+04	4.883e+04	1.15	2.736
039253_9	30	3.308e+04	5.937e+04	0.5571	4.924e+04	6.207e+04	0.7933	1.3
039253_9	31	1.304e+04	5.304e+04	0.2459	3.052e+04	6.65e+04	0.4589	0.3329
039253_9	74	5.565e+04	9949	5.594	4.94e+04	2.403e+04	2.056	1.911
039349_10	22	4.686e+04	7.204e+04	0.6505	7.562e+04	5.176e+04	1.461	2.408
039349_10	26	2.985e+04	3.525e+04	0.847	5.619e+04	4.989e+04	1.126	6.183
039349_10	54	1.963e+04	1.935e+04	1.015	2.992e+04	3.079e+04	0.9717	0.2864
039349_10	57	3.631e+04	2.82e+04	1.288	7.201e+04	6.734e+04	1.069	2.083
039349_11	26	3.695e+04	4.001e+04	0.9236	5.298e+04	5.927e+04	0.8938	1.188
039349_11	28	1.1e+05	3.751e+04	2.934	5.77e+04	5.679e+04	1.016	1.555
039349_12	27	6.123e+04	4.59e+04	1.334	4.729e+04	4.972e+04	0.9512	0.737
039349_12	56	2.478e+04	2.237e+04	1.108	1.973e+04	6.324e+04	0.3119	0.7659
039349_13	23	1.788e+04	4.062e+04	0.4403	2.974e+04	4.059e+04	0.7326	0.8941
039349_13	30	6.115e+04	4.648e+04	1.316	4.42e+04	4.969e+04	0.8895	1.873
039349_13	33	4.601e+04	5.931e+04	0.7757	5.472e+04	5.967e+04	0.917	1.155
039349_13	47	9562	2.658e+04	0.3597	3.882e+04	4.13e+04	0.94	0.9869
039349_13	49	2.473e+04	6.865e+04	0.3602	5.679e+04	6.273e+04	0.9053	1.049
039349_14	23	3.752e+04	4.067e+04	0.9227	4.839e+04	7.504e+04	0.6449	0.7444
039349_15	24	1.178e+05	4.776e+04	2.467	7.429e+04	6.828e+04	1.088	0.833
039349_16	41	3.817e+04	1.181e+04	3.231	4.486e+04	4.253e+04	1.055	1.436
039349_16	50	2.325e+04	2.317e+04	1.004	5.339e+04	5.093e+04	1.048	0.6095
039349_16	63	3.271e+04	2.095e+04	1.562	5.531e+04	4.298e+04	1.287	1.183
039349_16	64	5.189e+04	4.653e+04	1.115	6.399e+04	4.756e+04	1.346	1.08
039349_17	49	2.673e+04	4.131e+04	0.6471	6.586e+04	7.208e+04	0.9137	1.998
039349_17	69	4.043e+04	3.211e+04	1.259	9.434e+04	5.592e+04	1.687	1.782
039349_18	14	5.697e+04	2.944e+04	1.935	5.412e+04	6.237e+04	0.8677	2.864
039349_18	16	6.351e+04	5.695e+04	1.115	6.934e+04	6.442e+04	1.076	0.7373
039349_18	20	1.59e+04	4.112e+04	0.3867	3.438e+04	5.617e+04	0.6121	8.211
039349_18	21	2.116e+04	6.76e+04	0.313	3.277e+04	5.93e+04	0.5525	1.95
039349_18	23	3.719e+04	8594	4.328	5.023e+04	3.831e+04	1.311	2.054
039349_18	37	7.223e+04	3.587e+04	2.013	8.092e+04	4.935e+04	1.64	2.116
039349_18	40	5.905e+04	3.105e+04	1.902	4.518e+04	6.164e+04	0.7329	1.511
039349_18	47	6.509e+04	2.941e+04	2.214	8.834e+04	4.846e+04	1.823	0.913
