event	cluster	npts	L_cm	chi2	end_absx_cm	contrast	n_near_all	n_near_used	n_mid
039252_0	32	413	271.199	1.599	117.868	0.757	4	4	33
039252_0	72	114	68.427	0.0	284.412	0.485	4	3	5
039252_0	73	506	325.702	1.582	72.046	1.2	3	3	33
039252_0	75	315	195.047	1.512	145.939	2.044	4	4	33
039252_0	80	587	381.011	2.63	93.98	1.325	4	4	31
039252_0	81	139	89.105	2.673	180.118	2.919	4	4	32
039252_0	82	109	65.654	0.0	279.722	0.919	4	3	5
039252_0	91	536	336.941	1.314	54.49	nan	4	2	10
039252_10	38	316	189.253	0.0	144.752	0.325	4	3	33
039252_10	39	85	51.0	0.0	303.685	nan	4	3	0
039252_10	46	316	207.387	1.854	111.615	0.288	3	3	29
039252_10	73	42	27.225	2.109	191.343	1.537	4	4	11
039252_10	80	531	342.756	2.034	34.3	0.963	4	4	32
039252_10	85	71	46.863	3.809	202.208	0.519	3	3	30
039252_10	99	916	586.246	1.632	127.46	0.304	4	3	15
039252_11	9	324	209.276	1.881	276.505	0.499	4	3	33
039252_11	24	46	28.58	1.875	18.894	0.509	3	3	14
039252_11	28	346	220.833	2.392	188.788	1.512	4	4	30
039252_11	79	216	131.576	0.0	250.704	nan	4	2	28
039252_11	91	107	66.314	0.0	225.144	1.62	4	3	17
039252_11	99	876	561.2	2.199	329.996	nan	4	0	18
039252_12	32	184	119.021	1.549	22.693	0.961	4	4	32
039252_12	92	223	143.099	1.606	168.821	1.453	3	3	32
039252_12	120	516	326.121	1.727	50.154	0.907	4	4	33
039252_12	127	557	366.598	1.443	229.013	0.952	4	4	32
039252_13	25	549	350.425	2.526	71.98	1.074	4	4	32
039252_13	29	204	131.109	1.131	35.592	1.015	3	3	31
039252_13	81	66	41.317	3.278	259.27	0.807	4	4	31
039252_13	88	834	538.633	2.406	167.889	16.341	3	3	16
039252_14	61	26	14.882	4.553	112.153	nan	4	0	0
039252_14	72	11	6.458	4.504	294.857	nan	4	4	0
039252_14	76	747	484.26	3.394	332.57	nan	4	0	0
039252_14	87	180	115.401	3.726	261.552	0.579	3	3	29
039252_14	88	141	87.582	3.801	199.322	1.088	4	4	32
039252_14	90	357	227.399	3.622	157.042	1.235	4	4	28
039252_14	98	271	169.136	3.007	271.308	1.348	4	4	31
039252_14	100	619	394.986	3.576	286.457	1.016	3	3	30
039252_14	103	196	123.959	2.903	89.763	0.97	4	4	32
039252_14	109	858	553.998	2.683	100.839	1.567	3	3	30
039252_15	23	155	101.829	1.362	172.517	1.305	3	3	31
039252_15	27	194	122.948	1.745	99.282	0.409	4	4	29
039252_15	35	498	315.436	2.064	192.225	1.024	4	4	30
039252_15	40	498	321.022	2.058	182.352	1.059	4	4	31
039252_15	62	23	14.442	1.469	175.416	nan	3	3	0
039252_15	68	163	99.19	0.0	205.474	nan	4	2	5
039252_15	84	87	54.81	3.056	285.528	0.458	4	4	6
039252_15	100	593	389.831	1.784	61.243	1.01	3	3	32
039252_15	101	1138	732.344	2.077	266.709	1.034	4	4	33
039252_15	104	331	224.127	1.533	79.099	1.298	4	4	32
039252_16	37	251	157.036	0.909	111.337	nan	4	2	18
039252_16	42	135	88.511	3.064	258.233	1.778	3	3	29
039252_16	85	177	107.773	3.035	292.183	nan	4	2	9
039252_16	95	64	37.835	0.0	302.811	nan	4	2	17
039252_16	97	53	31.347	0.0	337.207	nan	4	0	0
039252_16	111	260	155.406	0.0	250.612	1.177	4	3	5
039252_16	118	516	333.754	2.148	87.133	1.566	4	4	30
039252_16	120	627	410.541	2.387	21.561	0.776	4	3	21
039252_17	30	552	354.289	3.267	104.128	1.023	3	3	32
039252_17	64	83	52.834	5.349	304.031	nan	4	4	0
