# raw-charge Michel energy around STM stops, tag stm2: radius 20.0 cm, path veto 2.5 cm, E = Q/0.5/0.8 x 23.6 eV (prototype shower convention)
event	evtno	cluster	contrast	mu_L_cm	stop_x	stop_y	stop_z	q_stop_e	n_stop	E_stop_MeV	q_entry_e	n_entry	E_entry_MeV	stop_near_crp
039252_0	298567	32	0.76	271.20	-117.34	-35.10	241.94	929029.47	179	54.81	458625.13	57	27.06	0
039252_0	298567	72	0.49	68.43	283.77	-44.13	39.18	0.00	0	0.00	98124.67	12	5.79	0
039252_0	298567	73	1.20	325.70	71.81	-202.88	104.82	944706.04	132	55.74	86682.94	17	5.11	0
039252_0	298567	75	2.04	195.05	145.20	-278.07	36.10	0.00	0	0.00	0.00	0	0.00	0
039252_0	298567	80	1.33	381.01	93.42	-230.83	290.27	118777.16	15	7.01	628545.67	76	37.08	0
039252_0	298567	81	2.92	89.11	179.52	-302.33	277.65	347434.28	34	20.50	559906.79	67	33.03	0
039252_0	298567	82	0.92	65.65	278.86	276.74	96.86	722186.39	80	42.61	215851.48	23	12.74	0
039252_0	298567	91	nan	336.94	54.08	-131.84	207.58	0.00	0	0.00	0.00	0	0.00	0
039252_10	298707	38	0.32	189.25	-143.85	-308.46	222.93	19392.54	5	1.14	0.00	0	0.00	0
039252_10	298707	39	nan	51.00	-303.49	-213.02	213.76	0.00	0	0.00	415329.93	204	24.50	0
039252_10	298707	46	0.29	207.39	-110.73	291.30	292.33	118041.60	10	6.96	106992.65	21	6.31	0
039252_10	298707	73	1.54	27.22	191.85	78.29	8.59	386025.07	42	22.78	0.00	0	0.00	0
039252_10	298707	80	0.96	342.76	33.86	-230.06	158.11	352821.03	42	20.82	293529.88	38	17.32	0
039252_10	298707	85	0.52	46.86	201.39	-16.10	291.73	0.00	0	0.00	34188.30	7	2.02	0
039252_10	298707	99	0.30	586.25	128.15	-108.92	8.07	0.00	0	0.00	22048.65	3	1.30	0
039252_11	298721	9	0.50	209.28	-277.33	-292.21	257.09	247.19	1	0.01	0.00	0	0.00	0
039252_11	298721	24	0.51	28.58	-19.12	1.35	14.54	31456.94	16	1.86	574153.03	54	33.88	0
039252_11	298721	28	1.51	220.83	-188.15	-266.64	88.14	474566.20	52	28.00	78280.97	14	4.62	0
039252_11	298721	79	nan	131.58	250.17	-27.48	234.82	0.00	0	0.00	4701895.92	388	277.41	0
039252_11	298721	91	1.62	66.31	225.03	20.97	240.45	0.00	0	0.00	391656.05	63	23.11	0
039252_11	298721	99	nan	561.20	-330.74	244.07	79.94	1150971.17	93	67.91	152477.59	50	9.00	1
039252_12	298735	32	0.96	119.02	-22.18	-323.58	233.50	411106.71	78	24.26	137149.85	28	8.09	0
039252_12	298735	92	1.45	143.10	168.81	6.97	77.58	1339567.63	86	79.03	710756.60	71	41.93	0
039252_12	298735	120	0.91	326.12	49.40	92.95	12.58	0.00	0	0.00	368176.65	53	21.72	0
039252_12	298735	127	0.95	366.60	229.68	223.74	96.72	565003.43	142	33.34	287894.74	37	16.99	0
039252_13	298749	25	1.07	350.43	-71.32	-83.75	274.09	1252762.51	158	73.91	1559465.44	156	92.01	0
039252_13	298749	29	1.01	131.11	-34.84	198.42	33.11	0.00	0	0.00	229981.38	46	13.57	0
039252_13	298749	81	0.81	41.32	259.83	244.04	276.41	563649.64	87	33.26	20138.44	2	1.19	0
039252_13	298749	88	16.34	538.63	-167.89	54.95	59.30	0.00	0	0.00	5758632.78	518	339.76	0
039252_14	298763	61	nan	14.88	112.19	-319.48	213.23	265565.63	29	15.67	265565.63	29	15.67	0
039252_14	298763	72	nan	6.46	294.80	-9.45	111.07	859247.91	99	50.70	751119.24	89	44.32	0
039252_14	298763	76	nan	484.26	332.80	-205.26	28.00	1837683.52	162	108.42	2611.22	1	0.15	1
039252_14	298763	87	0.58	115.40	260.77	-330.99	249.41	0.00	0	0.00	541321.43	90	31.94	0
039252_14	298763	88	1.09	87.58	199.69	-217.03	229.92	1080447.12	165	63.75	501409.36	49	29.58	0
039252_14	298763	90	1.24	227.40	156.37	88.17	151.90	917005.53	95	54.10	873290.94	147	51.52	0
039252_14	298763	98	1.35	169.14	270.94	234.30	258.04	1215253.63	162	71.70	666674.76	69	39.33	0
039252_14	298763	100	1.02	394.99	286.97	62.03	212.18	382563.05	42	22.57	231947.48	42	13.68	0
039252_14	298763	103	0.97	123.96	90.34	316.40	207.43	920855.28	113	54.33	27874.20	8	1.64	0
039252_14	298763	109	1.57	554.00	-101.51	277.75	293.31	1101.06	2	0.06	327875.37	41	19.34	0
039252_15	298777	23	1.30	101.83	-171.82	-129.60	42.71	760151.41	161	44.85	774810.04	93	45.71	0
039252_15	298777	27	0.41	122.95	-98.44	-206.06	110.50	0.00	0	0.00	458889.51	157	27.07	0
039252_15	298777	35	1.02	315.44	-191.79	99.52	8.66	403910.07	40	23.83	343177.37	45	20.25	0
039252_15	298777	40	1.06	321.02	-182.81	45.23	12.48	1534714.31	99	90.55	1605842.07	171	94.74	0
039252_15	298777	62	nan	14.44	174.89	331.08	45.30	538034.91	59	31.74	584318.15	63	34.47	0
039252_15	298777	68	nan	99.19	206.32	30.65	39.22	17584.07	7	1.04	0.00	0	0.00	0
039252_15	298777	84	0.46	54.81	284.63	223.77	259.66	505748.83	98	29.84	756447.44	87	44.63	0
039252_15	298777	100	1.01	389.83	-61.78	-69.15	18.75	518120.24	51	30.57	577312.19	102	34.06	0
039252_15	298777	101	1.03	732.34	-267.42	-335.52	39.55	123244.46	13	7.27	368097.66	64	21.72	0
039252_15	298777	104	1.30	224.13	-79.61	165.96	11.91	1056296.32	107	62.32	847608.24	104	50.01	0
039252_16	298791	37	nan	157.04	-112.18	112.77	40.69	273703.28	43	16.15	512041.03	71	30.21	0
039252_16	298791	42	1.78	88.51	-257.86	-313.82	293.20	1543620.24	201	91.07	952192.42	84	56.18	0
