event	cluster	kind	res_len_cm	n_tail	E_tail_MeV	straightness	ave_res_dqdx
039252_0	32	STM	3.34	6	11.71	0.957	56416
039252_0	72	STM	0.00	0	0.00	nan	0
039252_0	73	STM	3.42	5	14.02	0.859	62253
039252_0	75	STM	0.00	0	0.00	nan	0
039252_0	80	STM	20.15	32	68.82	0.812	56294
039252_0	81	STM	0.00	0	0.00	nan	0
039252_0	82	STM	0.00	0	0.00	nan	0
039252_0	91	STM	40.47	68	-45.01	1.000	-18757
039252_10	38	STM	32.25	54	19.16	1.000	10008
039252_10	39	STM	17.91	30	40.70	0.999	38353
039252_10	46	STM	40.04	58	126.46	0.874	54228
039252_10	73	STM	0.00	0	0.00	nan	0
039252_10	80	STM	5.84	9	18.36	0.730	52729
039252_10	85	STM	21.57	34	41.43	0.928	32240
039252_10	99	STM	0.00	0	0.00	nan	0
039252_11	9	STM	40.35	67	108.88	0.932	45362
039252_11	24	STM	20.41	33	63.81	0.940	53075
039252_11	28	STM	37.42	57	139.43	0.871	62423
039252_11	79	STM	0.00	0	0.00	nan	0
039252_11	91	STM	0.00	0	0.00	nan	0
039252_11	99	STM	5.84	9	31.89	0.947	86365
039252_12	32	STM	6.16	9	19.09	0.890	51978
039252_12	92	STM	2.57	4	15.94	0.874	105064
039252_12	120	STM	17.06	29	40.61	0.914	40074
039252_12	127	STM	21.69	37	51.37	0.929	39763
039252_13	25	STM	38.24	64	148.99	0.979	65751
039252_13	29	STM	25.65	40	89.55	0.990	58655
039252_13	81	STM	31.72	51	77.11	0.961	41084
039252_13	88	STM	1.29	2	3.61	1.000	42961
039252_14	61	STM	10.54	18	11.59	0.937	17563
039252_14	72	STM	3.07	5	17.58	0.767	89751
039252_14	76	STM	1.83	4	10.52	0.990	88129
039252_14	87	STM	20.00	31	66.22	0.957	56848
039252_14	88	STM	28.53	47	78.72	0.902	45466
039252_14	90	STM	3.66	6	13.77	0.931	62365
039252_14	98	STM	6.60	10	27.03	0.963	68275
039252_14	100	STM	11.77	19	32.93	0.977	46320
039252_14	103	STM	12.79	22	37.14	0.942	48334
039252_14	109	STM	0.00	0	0.00	nan	0
039252_15	23	STM	10.58	15	45.82	0.952	72460
039252_15	27	STM	19.75	33	75.53	0.981	64703
039252_15	35	STM	8.60	14	32.09	0.988	62987
039252_15	40	STM	21.44	34	78.90	0.975	62052
039252_15	62	STM	0.00	0	0.00	nan	0
039252_15	68	STM	0.00	0	0.00	nan	0
039252_15	84	STM	38.26	59	85.31	0.975	37329
039252_15	100	STM	5.05	8	18.49	0.973	59666
039252_15	101	STM	19.17	30	70.89	0.985	61976
039252_15	104	STM	0.00	0	0.00	nan	0
039252_16	37	STM	19.81	33	-0.47	1.000	-273
039252_16	42	STM	15.38	23	39.13	0.918	43137
039252_16	85	STM	35.58	60	-86.03	0.868	-40836
039252_16	95	STM	0.00	0	0.00	nan	0
039252_16	97	STM	9.42	16	8.35	0.954	14203
039252_16	111	STM	0.00	0	0.00	nan	0
039252_16	118	STM	0.00	0	0.00	nan	0
039252_16	120	STM	16.65	27	49.40	0.824	47793
039252_17	30	STM	35.88	57	138.88	0.963	65319
039252_17	64	STM	31.95	50	109.11	0.965	57552
039252_17	67	STM	14.96	24	17.10	0.888	18696
039252_17	70	STM	24.55	39	63.54	0.924	43399
039252_17	76	STM	0.00	0	0.00	nan	0
039252_17	82	STM	0.00	0	0.00	nan	0
039252_17	87	STM	5.24	9	9.50	0.619	29908
039252_17	106	STM	21.24	33	78.21	0.928	61747
039252_1	31	STM	10.50	17	38.22	0.988	60976
039252_1	80	STM	14.43	13	23.62	0.973	49922
039252_1	83	STM	7.56	12	15.20	0.975	33245
039252_1	112	STM	0.00	0	0.00	nan	0
039252_2	57	STM	0.00	0	0.00	nan	0
039252_2	58	STM	1.39	3	14.03	1.000	144534
039252_2	90	STM	28.70	45	64.74	0.844	36322
039252_2	94	STM	12.16	21	-7.92	1.000	-10686
039252_3	35	STM	15.99	26	47.64	0.972	49590
039252_3	44	STM	3.73	6	16.74	0.993	73247
039252_3	47	STM	0.00	0	0.00	nan	0
039252_3	77	STM	0.00	0	0.00	nan	0
039252_3	84	STM	30.85	52	48.55	1.000	26499
039252_3	92	STM	34.98	55	128.23	0.939	61529
039252_3	101	STM	25.31	41	7.88	0.849	2604
039252_4	53	STM	14.99	25	22.14	0.995	24679
039252_4	90	STM	35.74	56	106.52	0.952	50178
039252_4	109	STM	37.33	62	9.16	0.679	4072
039252_4	112	STM	0.00	0	0.00	nan	0
039252_4	121	STM	30.55	47	87.64	0.836	47508
039252_5	35	STM	4.45	8	11.83	0.976	42459
039252_5	78	STM	27.93	46	-53.44	0.970	-32822
039252_5	107	STM	0.00	0	0.00	nan	0
039252_5	116	STM	10.55	18	23.45	0.745	37114
039252_6	27	STM	24.56	41	-8.21	1.000	-5615
039252_6	28	STM	23.93	37	86.22	0.973	61392
039252_6	32	STM	4.26	7	14.03	0.995	52772
