# raw-charge Michel energy around STM stops, tag stm2: radius 12.0 cm, path veto 2.5 cm, E = Q/0.5/0.8 x 23.6 eV (prototype shower convention)
event	evtno	cluster	contrast	mu_L_cm	stop_x	stop_y	stop_z	q_stop_e	n_stop	E_stop_MeV	q_entry_e	n_entry	E_entry_MeV	stop_near_crp
039252_0	298567	32	0.76	271.20	-117.34	-35.10	241.94	436231.75	78	25.74	373954.06	44	22.06	0
039252_0	298567	72	0.49	68.43	283.77	-44.13	39.18	0.00	0	0.00	98124.67	12	5.79	0
039252_0	298567	73	1.20	325.70	71.81	-202.88	104.82	850200.34	111	50.16	86682.94	17	5.11	0
039252_0	298567	75	2.04	195.05	145.20	-278.07	36.10	0.00	0	0.00	0.00	0	0.00	0
039252_0	298567	80	1.33	381.01	93.42	-230.83	290.27	118777.16	15	7.01	455935.25	58	26.90	0
039252_0	298567	81	2.92	89.11	179.52	-302.33	277.65	347434.28	34	20.50	237602.76	28	14.02	0
039252_0	298567	82	0.92	65.65	278.86	276.74	96.86	577447.35	58	34.07	215851.48	23	12.74	0
039252_0	298567	91	nan	336.94	54.08	-131.84	207.58	0.00	0	0.00	0.00	0	0.00	0
039252_10	298707	38	0.32	189.25	-143.85	-308.46	222.93	0.00	0	0.00	0.00	0	0.00	0
039252_10	298707	39	nan	51.00	-303.49	-213.02	213.76	0.00	0	0.00	226646.96	125	13.37	0
039252_10	298707	46	0.29	207.39	-110.73	291.30	292.33	0.00	0	0.00	106992.65	21	6.31	0
039252_10	298707	73	1.54	27.22	191.85	78.29	8.59	386025.07	42	22.78	0.00	0	0.00	0
039252_10	298707	80	0.96	342.76	33.86	-230.06	158.11	352821.03	42	20.82	293529.88	38	17.32	0
039252_10	298707	85	0.52	46.86	201.39	-16.10	291.73	0.00	0	0.00	34188.30	7	2.02	0
039252_10	298707	99	0.30	586.25	128.15	-108.92	8.07	0.00	0	0.00	22048.65	3	1.30	0
039252_11	298721	9	0.50	209.28	-277.33	-292.21	257.09	247.19	1	0.01	0.00	0	0.00	0
039252_11	298721	24	0.51	28.58	-19.12	1.35	14.54	31456.94	16	1.86	574153.03	54	33.88	0
039252_11	298721	28	1.51	220.83	-188.15	-266.64	88.14	286416.91	35	16.90	78280.97	14	4.62	0
039252_11	298721	79	nan	131.58	250.17	-27.48	234.82	0.00	0	0.00	4031365.46	328	237.85	0
039252_11	298721	91	1.62	66.31	225.03	20.97	240.45	0.00	0	0.00	375642.12	57	22.16	0
039252_11	298721	99	nan	561.20	-330.74	244.07	79.94	1105215.97	87	65.21	63056.67	18	3.72	1
039252_12	298735	32	0.96	119.02	-22.18	-323.58	233.50	411106.71	78	24.26	136689.68	26	8.06	0
039252_12	298735	92	1.45	143.10	168.81	6.97	77.58	1339567.63	86	79.03	681585.06	64	40.21	0
039252_12	298735	120	0.91	326.12	49.40	92.95	12.58	0.00	0	0.00	102253.30	19	6.03	0
039252_12	298735	127	0.95	366.60	229.68	223.74	96.72	258309.70	73	15.24	287894.74	37	16.99	0
039252_13	298749	25	1.07	350.43	-71.32	-83.75	274.09	660688.02	76	38.98	1559065.54	154	91.98	0
039252_13	298749	29	1.01	131.11	-34.84	198.42	33.11	0.00	0	0.00	229981.38	46	13.57	0
039252_13	298749	81	0.81	41.32	259.83	244.04	276.41	410921.51	49	24.24	20138.44	2	1.19	0
039252_13	298749	88	16.34	538.63	-167.89	54.95	59.30	0.00	0	0.00	4344765.79	374	256.34	0
039252_14	298763	61	nan	14.88	112.19	-319.48	213.23	166439.64	20	9.82	188428.17	17	11.12	0
039252_14	298763	72	nan	6.46	294.80	-9.45	111.07	396427.43	53	23.39	396427.43	53	23.39	0
039252_14	298763	76	nan	484.26	332.80	-205.26	28.00	570980.42	56	33.69	0.00	0	0.00	1
039252_14	298763	87	0.58	115.40	260.77	-330.99	249.41	0.00	0	0.00	524615.75	85	30.95	0
039252_14	298763	88	1.09	87.58	199.69	-217.03	229.92	568920.36	86	33.57	501409.36	49	29.58	0
039252_14	298763	90	1.24	227.40	156.37	88.17	151.90	100641.97	18	5.94	593589.91	82	35.02	0
039252_14	298763	98	1.35	169.14	270.94	234.30	258.04	927128.54	114	54.70	580245.80	56	34.23	0
039252_14	298763	100	1.02	394.99	286.97	62.03	212.18	382563.05	42	22.57	231947.48	42	13.68	0
039252_14	298763	103	0.97	123.96	90.34	316.40	207.43	506748.28	66	29.90	27874.20	8	1.64	0
039252_14	298763	109	1.57	554.00	-101.51	277.75	293.31	0.00	0	0.00	327875.37	41	19.34	0
039252_15	298777	23	1.30	101.83	-171.82	-129.60	42.71	308121.25	63	18.18	667508.51	79	39.38	0
039252_15	298777	27	0.41	122.95	-98.44	-206.06	110.50	0.00	0	0.00	355578.79	76	20.98	0
039252_15	298777	35	1.02	315.44	-191.79	99.52	8.66	403910.07	40	23.83	343177.37	45	20.25	0
039252_15	298777	40	1.06	321.02	-182.81	45.23	12.48	1501543.88	95	88.59	1036314.18	88	61.14	0
039252_15	298777	62	nan	14.44	174.89	331.08	45.30	430825.67	45	25.42	153492.48	18	9.06	0
039252_15	298777	68	nan	99.19	206.32	30.65	39.22	0.00	0	0.00	0.00	0	0.00	0
039252_15	298777	84	0.46	54.81	284.63	223.77	259.66	329028.35	60	19.41	634945.61	71	37.46	0
039252_15	298777	100	1.01	389.83	-61.78	-69.15	18.75	518120.24	51	30.57	350016.22	53	20.65	0
039252_15	298777	101	1.03	732.34	-267.42	-335.52	39.55	123244.46	13	7.27	182682.74	25	10.78	0
039252_15	298777	104	1.30	224.13	-79.61	165.96	11.91	803450.45	75	47.40	516539.47	63	30.48	0
039252_16	298791	37	nan	157.04	-112.18	112.77	40.69	24400.34	4	1.44	0.00	0	0.00	0
039252_16	298791	42	1.78	88.51	-257.86	-313.82	293.20	1069846.76	142	63.12	578405.15	52	34.13	0
039252_16	298791	85	nan	107.77	291.63	-235.30	291.85	173354.34	24	10.23	166066.93	21	9.80	0
039252_16	298791	95	nan	37.83	303.64	288.69	11.65	13521.59	6	0.80	0.00	0	0.00	0
039252_16	298791	97	nan	31.35	337.26	156.96	36.13	65902.42	11	3.89	0.00	0	0.00	1
039252_16	298791	111	1.18	155.41	249.96	119.20	224.57	0.00	0	0.00	0.00	0	0.00	0
039252_16	298791	118	1.57	333.75	-87.31	276.18	286.37	659872.95	78	38.93	484416.03	45	28.58	0
039252_16	298791	120	0.78	410.54	-21.89	133.60	271.78	919868.66	89	54.27	168342.97	49	9.93	0
039252_17	298805	30	1.02	354.29	-103.64	-324.41	160.06	225081.79	43	13.28	0.00	0	0.00	0
039252_17	298805	64	nan	52.83	304.09	-34.58	92.22	519719.60	30	30.66	3043224.26	116	179.55	0
039252_17	298805	67	0.74	55.26	268.45	-102.77	8.07	66914.42	13	3.95	230774.96	24	13.62	0
039252_17	298805	70	0.90	224.87	163.44	-102.08	106.01	274741.37	59	16.21	111642.44	39	6.59	0
039252_17	298805	76	nan	200.03	261.18	-99.80	183.75	0.00	0	0.00	2526121.38	198	149.04	0
039252_17	298805	82	1.55	36.18	201.27	293.97	137.10	1956731.13	144	115.45	970172.11	106	57.24	0
039252_17	298805	87	nan	111.16	307.95	220.20	175.45	648841.67	113	38.28	2220146.10	184	130.99	1
039252_17	298805	106	nan	809.22	-339.36	300.45	240.07	202827.50	8	11.97	70031.17	21	4.13	1
039252_1	298581	31	0.97	178.11	-165.30	-93.39	62.40	0.00	0	0.00	17517.00	5	1.03	0
039252_1	298581	80	0.30	509.55	15.82	-328.17	151.89	6464.65	2	0.38	67786.93	21	4.00	0
039252_1	298581	83	1.65	74.42	239.38	-157.44	170.86	38515.67	17	2.27	367052.73	56	21.66	0
039252_1	298581	112	1.53	243.37	32.89	160.03	287.65	58955.66	12	3.48	293774.99	32	17.33	0
039252_2	298595	57	1.45	161.53	-267.28	151.69	284.97	678968.99	71	40.06	479221.89	60	28.27	0
039252_2	298595	58	nan	22.01	-275.51	52.30	280.65	935918.66	93	55.22	607944.72	56	35.87	0
039252_2	298595	90	nan	89.00	289.94	-231.62	81.20	0.00	0	0.00	46389.63	24	2.74	0
039252_2	298595	94	nan	13.53	328.83	-242.77	22.35	0.00	0	0.00	67403.35	9	3.98	1
039252_3	298609	35	0.38	425.67	-37.42	-254.71	6.47	0.00	0	0.00	383211.56	42	22.61	0
039252_3	298609	44	nan	27.07	-243.68	323.50	224.57	41709.54	5	2.46	94495.53	13	5.58	0
039252_3	298609	47	1.54	55.67	-49.29	68.30	255.08	0.00	0	0.00	133663.53	47	7.89	0
039252_3	298609	77	nan	21.46	219.01	-318.23	32.45	529646.98	70	31.25	44149.42	15	2.60	0
039252_3	298609	84	nan	167.33	174.11	-286.45	281.02	0.00	0	0.00	262433.80	34	15.48	0
039252_3	298609	92	nan	108.83	314.83	259.15	296.31	579023.53	54	34.16	1097678.60	112	64.76	1
039252_3	298609	101	nan	151.84	-59.46	331.39	4.87	0.00	0	0.00	0.00	0	0.00	0
039252_4	298623	53	nan	70.59	-302.50	-20.33	205.75	0.00	0	0.00	0.00	0	0.00	0
039252_4	298623	90	0.90	67.65	264.71	-118.94	160.69	183383.22	41	10.82	130686.66	24	7.71	0
039252_4	298623	109	1.46	274.66	200.85	59.88	17.79	0.00	0	0.00	0.00	0	0.00	0
039252_4	298623	112	1.87	423.04	249.28	40.81	290.12	572890.39	67	33.80	866319.86	81	51.11	0
039252_4	298623	121	1.45	97.70	16.41	1.99	279.49	228368.27	29	13.47	11600.27	4	0.68	0
039252_5	298637	35	1.13	209.18	-128.23	-52.28	192.19	170065.53	45	10.03	443434.51	57	26.16	0
039252_5	298637	78	nan	88.15	271.54	-43.51	24.90	0.00	0	0.00	1175402.31	121	69.35	0
039252_5	298637	107	nan	14.23	269.27	70.77	284.35	428696.67	52	25.29	543157.27	63	32.05	0
039252_5	298637	116	0.70	521.40	-81.72	141.51	173.68	638396.81	66	37.67	93871.05	13	5.54	0
039252_6	298651	27	nan	106.33	-24.18	-318.74	42.17	0.00	0	0.00	0.00	0	0.00	0
039252_6	298651	28	1.05	229.90	-158.57	-47.50	154.46	259208.52	39	15.29	699375.73	87	41.26	0
039252_6	298651	32	1.14	340.73	-111.69	-331.80	280.06	705860.54	60	41.65	664801.48	64	39.22	0
039252_6	298651	72	2.32	337.25	281.53	-73.62	24.90	1422008.19	140	83.90	2916455.23	234	172.07	0
039252_6	298651	76	0.81	209.89	142.70	-109.29	94.40	316131.44	51	18.65	0.00	0	0.00	0
