event	cluster	q_forward	n_forward	q_perp	n_perp
039252_0	32	986569	187	0	0
039252_0	72	0	0	0	0
039252_0	73	0	0	0	0
039252_0	75	0	0	9664	3
039252_0	80	104202	13	0	0
039252_0	81	257343	24	0	0
039252_0	82	0	0	0	0
039252_0	91	0	0	0	0
039252_10	38	0	0	0	0
039252_10	39	0	0	0	0
039252_10	46	0	0	0	0
039252_10	73	385265	41	0	0
039252_10	80	91103	10	139127	21
039252_10	85	0	0	0	0
039252_10	99	0	0	0	0
039252_11	9	0	0	0	0
039252_11	24	0	0	0	0
039252_11	28	258927	32	0	0
039252_11	79	0	0	0	0
039252_11	91	0	0	0	0
039252_12	32	377253	73	0	0
039252_12	92	0	0	0	0
039252_12	120	0	0	0	0
039252_12	127	536490	135	0	0
039252_13	25	1355258	178	0	0
039252_13	29	0	0	0	0
039252_13	81	709771	139	0	0
039252_13	88	0	0	0	0
039252_14	61	0	0	0	0
039252_14	87	0	0	0	0
039252_14	88	965706	146	0	0
039252_14	90	87566	16	9767	4
039252_14	98	1722556	238	0	0
039252_14	100	340646	36	0	0
039252_14	103	876320	108	0	0
039252_14	109	0	0	0	0
039252_15	23	621986	160	0	0
039252_15	27	0	0	0	0
039252_15	35	315214	33	0	0
039252_15	40	1373669	85	0	0
039252_15	62	387618	36	72587	9
039252_15	68	0	0	0	0
039252_15	84	642731	138	0	0
039252_15	100	471342	45	0	0
039252_15	101	104963	11	0	0
039252_15	104	1028632	105	0	0
039252_16	37	0	0	0	0
039252_16	42	1393804	184	104573	9
039252_16	85	50131	8	7198	2
039252_16	95	13522	6	13229	5
039252_16	111	0	0	0	0
039252_16	118	303691	27	0	0
039252_16	120	1230711	116	135611	20
039252_17	30	25507	10	0	0
039252_17	64	361575	23	0	0
039252_17	67	0	0	0	0
039252_17	70	432454	91	0	0
039252_17	76	0	0	9471	7
039252_17	82	63472	6	0	0
039252_1	31	0	0	0	0
039252_1	80	0	0	0	0
039252_1	83	96628	69	0	0
039252_1	112	73230	17	0	0
039252_2	57	869801	96	0	0
039252_2	58	0	0	0	0
039252_2	90	0	0	0	0
039252_3	35	0	0	0	0
039252_3	44	0	0	0	0
039252_3	47	0	0	0	0
039252_3	77	338680	30	0	0
039252_3	84	0	0	0	0
039252_3	101	0	0	0	0
039252_4	53	0	0	0	0
039252_4	90	606368	126	0	0
039252_4	109	0	0	0	0
039252_4	112	167160	23	228927	37
039252_4	121	158725	20	77549	10
039252_5	35	155592	39	0	0
039252_5	78	0	0	0	0
039252_5	107	1213528	124	28972	5
039252_5	116	21899	8	528407	47
039252_6	27	0	0	0	0
039252_6	28	211543	33	0	0
039252_6	32	634367	51	0	0
039252_6	72	2390534	266	56606	6
039252_6	76	311488	50	0	0
039252_6	80	0	0	0	0
039252_6	90	728252	106	0	0
039252_6	116	126158	24	0	0
039252_7	68	153056	21	0	0
039252_7	78	0	0	0	0
039252_7	91	392451	55	0	0
039252_7	93	1047864	94	0	0
039252_7	100	162893	21	0	0
039252_7	110	311266	186	0	0
039252_8	73	276726	86	0	0
039252_8	74	0	0	0	0
039252_8	76	884465	128	0	0
039252_8	104	59823	10	0	0
039252_8	108	271059	55	0	0
039252_8	110	126852	33	0	0
039252_9	30	606790	65	0	0
039252_9	43	0	0	0	0
039252_9	48	972804	70	249592	22
039252_9	51	28402	7	0	0
039252_9	76	0	0	0	0
039252_9	87	0	0	0	0
039252_9	91	0	0	0	0
039252_9	92	0	0	0	0
039252_9	95	0	0	361610	75
039252_9	105	0	0	0	0
039252_9	111	608578	72	0	0
039253_0	38	0	0	0	0
039253_0	39	1002905	109	0	0
039253_0	41	0	0	0	0
039253_0	42	1110031	197	0	0
039253_0	49	0	0	0	0
039253_11	32	83985	13	0	0
039253_11	46	213483	48	72360	19
039253_11	85	0	0	0	0
039253_11	88	0	0	0	0
039253_11	91	0	0	0	0
039253_11	92	279679	166	0	0
039253_11	94	0	0	0	0
039253_11	108	0	0	0	0
039253_11	110	70307	5	0	0
039253_11	111	2067000	233	2549	4
039253_11	116	190305	22	0	0
039253_11	125	0	0	0	0
039253_12	35	366909	71	0	0
039253_12	45	44385	14	0	0
039253_12	86	66623	26	0	0
039253_12	88	74056	12	0	0
039253_12	104	0	0	0	0
039253_13	39	0	0	0	0
039253_13	40	123732	23	0	0
039253_13	41	0	0	0	0
039253_13	67	10428	1	0	0
039253_13	70	845890	102	0	0
039253_13	71	0	0	107842	16
039253_13	104	0	0	0	0
039253_14	31	0	0	0	0
039253_14	33	19493	8	0	0
039253_14	41	0	0	0	0
039253_14	42	0	0	0	0
039253_14	52	0	0	0	0
039253_14	94	0	0	0	0
039253_15	30	55866	16	0	0
039253_15	65	0	0	75604	10
039253_15	87	1494398	116	0	0
039253_15	89	0	0	0	0
039253_15	90	583299	112	0	0
039253_15	91	0	0	0	0
039253_15	105	733671	96	0	0
039253_16	93	53598	11	0	0
039253_16	96	0	0	0	0
039253_16	115	929305	90	0	0
039253_17	23	175121	38	0	0
039253_17	82	27822	10	30163	14
039253_17	118	0	0	0	0
039253_17	119	468051	76	0	0
039253_1	34	593381	49	0	0
039253_1	37	7224	4	0	0
039253_1	75	0	0	0	0
039253_1	96	0	0	555172	37
039253_1	114	803748	81	0	0
039253_2	32	783521	47	142875	13
039253_2	37	0	0	0	0
039253_2	41	915649	113	0	0
039253_2	80	0	0	0	0
039253_2	87	1264315	124	0	0
039253_2	93	155325	20	1980155	205
039253_2	97	0	0	0	0
039253_2	108	0	0	0	0
039253_3	60	73592	12	8961	2
039253_3	67	163824	29	0	0
039253_3	82	561254	39	0	0
039253_3	86	517238	53	0	0
039253_4	33	82576	16	0	0
039253_4	39	0	0	46447	3
039253_4	81	0	0	0	0
039253_4	111	241042	160	0	0
039253_5	45	0	0	0	0
039253_5	49	74184	40	136905	94
039253_5	56	0	0	0	0
039253_5	97	0	0	0	0
039253_5	98	1395930	174	0	0
039253_5	116	598258	134	0	0
039253_6	34	240096	22	0	0
039253_6	46	903945	81	35725	5
039253_6	48	0	0	0	0
039253_6	100	75621	16	0	0
039253_6	110	2898	2	2898	2
039253_6	117	0	0	0	0
039253_7	22	374594	58	0	0
039253_7	23	0	0	0	0
039253_7	30	352934	43	0	0
039253_7	63	425444	71	0	0
039253_7	82	0	0	0	0
039253_7	91	880895	88	0	0
039253_8	22	48997	30	0	0
039253_8	39	0	0	0	0
039253_8	60	0	0	0	0
039253_8	65	0	0	0	0
039253_8	74	1286	4	113850	73
039253_9	30	0	0	0	0
039253_9	31	165138	32	0	0
039253_9	35	1396419	241	0	0
039253_9	74	260044	50	0	0
039253_9	76	0	0	0	0
039253_9	104	81788	8	293056	31
039253_9	121	0	0	0	0
039349_0	52	163151	26	0	0
039349_0	56	86617	9	0	0
039349_10	22	2217017	209	0	0
039349_10	26	872110	94	0	0
039349_10	45	0	0	0	0
039349_10	54	0	0	0	0
039349_10	57	518690	66	0	0
039349_10	58	362649	43	0	0
039349_10	59	2784	1	0	0
039349_11	18	0	0	29491	6
039349_11	19	0	0	0	0
039349_11	22	0	0	0	0
039349_11	26	0	0	0	0
039349_11	28	217748	31	0	0
039349_11	46	0	0	0	0
039349_11	49	0	0	0	0
039349_12	20	354271	27	0	0
039349_12	25	0	0	0	0
039349_12	27	41374	4	0	0
039349_12	50	451088	50	0	0
039349_12	56	13263	5	0	0
039349_13	23	0	0	0	0
039349_13	30	810949	87	0	0
039349_13	33	2912	1	0	0
039349_13	47	148075	35	65419	24
039349_13	49	129012	22	0	0
039349_13	66	49445	6	0	0
039349_13	68	0	0	0	0
039349_14	18	0	0	0	0
039349_14	23	15855	4	0	0
039349_14	45	0	0	0	0
039349_15	15	905617	43	0	0
039349_15	17	0	0	0	0
039349_15	24	0	0	0	0
039349_15	30	0	0	22307	2
039349_15	46	348529	43	0	0
039349_15	48	594912	185	0	0
039349_15	53	0	0	0	0
039349_16	41	165696	27	0	0
039349_16	50	332833	155	0	0
039349_16	63	0	0	0	0
039349_16	64	719996	70	11831	1
039349_17	24	0	0	0	0
039349_17	49	156600	26	277120	46
039349_17	53	61285	5	0	0
039349_17	69	428544	64	0	0
039349_18	10	0	0	0	0
039349_18	13	157158	36	0	0
039349_18	14	113925	26	0	0
039349_18	16	603321	73	0	0
039349_18	20	25968	17	0	0
039349_18	21	0	0	0	0
039349_18	23	58677	9	0	0
039349_18	37	1060738	85	0	0
039349_18	40	477863	52	223423	41
039349_18	41	69294	20	0	0
039349_18	47	749632	59	1762	1
039349_18	50	0	0	0	0
039349_18	54	0	0	0	0
039349_18	56	0	0	0	0
039349_18	57	302932	47	0	0
039349_19	23	0	0	0	0
039349_19	29	0	0	0	0
039349_19	48	0	0	0	0
039349_19	50	23351	4	0	0
039349_1	23	192950	22	0	0
039349_1	24	0	0	0	0
039349_1	49	0	0	0	0
039349_1	52	89352	17	0	0
039349_1	60	0	0	0	0
039349_1	63	0	0	0	0
039349_20	27	0	0	0	0
039349_20	30	0	0	0	0
039349_20	62	284829	125	0	0
039349_21	30	152308	51	0	0
039349_21	48	0	0	0	0
039349_21	52	8108	2	25085	3
039349_22	18	0	0	0	0
039349_22	20	0	0	0	0
039349_22	28	159815	19	0	0
039349_22	38	542206	44	169503	18
039349_22	45	0	0	0	0
039349_22	63	889139	62	0	0
039349_22	64	350693	19	55764	6
039349_22	65	0	0	0	0
039349_23	29	139828	16	0	0
039349_23	57	80304	9	0	0
039349_23	63	62237	8	0	0
039349_23	64	87482	12	0	0
039349_24	23	0	0	0	0
039349_24	28	0	0	0	0
039349_24	45	0	0	0	0
039349_24	54	0	0	0	0
039349_24	61	0	0	0	0
