# PDVD stopping-track dQ/dx-vs-rr sample, tag stm2, tagger verdict required (STM=1, TGM=0, accepted pass)
# points with |x| > 305.0 cm excluded (instrumental near-CRP dQ/dx rise)
# cuts: npts>=40 nbin>=6 rrmin<=2.0 rrmax>=22.0 contrast>=2.0 chi2<=1000000000.0 shape_rms<=0.15; refs /home/xqian/toolkit-dev/wcp-porting-img/pdvd/stm/pdvd_ref_dqdx.json (0.44 kV/cm)
particle	event	evtno	block	cluster	status	npts	L_cm	contrast	chi2	k_muon	rms_muon	k_proton	rms_proton	mean_absx_cm	fc
muon	039252_0	298567	750	75	0	315	195.0	2.04	1.51	0.952	8.9	0.584	10.0	219.4	0
muon	039252_9	298693	910	91	0	124	79.1	2.29	2.44	0.877	11.4	0.536	10.4	301.4	0
muon	039253_13	49946	1040	104	0	997	650.0	2.09	1.81	0.995	7.8	0.612	7.8	143.9	0
muon	039253_17	50026	1190	119	0	600	394.2	2.11	1.83	0.959	10.4	0.588	14.6	176.8	0
muon	039349_10	19609	590	59	0	1188	766.1	2.16	2.77	1.021	6.7	0.628	7.6	96.8	0
muon	039349_15	19709	150	15	0	59	38.4	2.03	2.67	1.047	15.5	0.635	13.8	281.2	0
muon	039349_22	19849	650	65	0	713	473.3	2.13	1.48	1.181	4.5	0.725	5.9	143.6	0
muon	039349_48	23177	520	52	0	377	248.4	2.10	1.56	0.865	8.2	0.532	10.5	134.0	0
muon	039349_59	55826	200	20	0	367	237.1	2.13	1.75	0.952	11.7	0.584	13.5	101.3	0
muon	039349_62	55886	490	49	0	465	303.6	2.07	2.32	0.988	7.0	0.606	4.6	197.6	0
