event	cluster	raw_near	raw_mid	raw_contrast	fit_near	fit_mid	fit_contrast	raw_contrast_entry
039252_0	32	4.797e+04	4.33e+04	1.108	3.58e+04	4.733e+04	0.7565	2.464
039252_0	73	1.379e+05	4.027e+04	3.425	6.194e+04	5.163e+04	1.2	2.837
039252_0	80	1.087e+05	6.001e+04	1.811	7.651e+04	5.774e+04	1.325	1.372
039252_0	81	1.371e+05	4.925e+04	2.784	1.194e+05	4.092e+04	2.919	4.599
039252_0	82	3.427e+04	4409	7.773	1.265e+04	1.376e+04	0.9192	35.52
039252_10	46	1.736e+04	6.725e+04	0.2582	1.705e+04	5.922e+04	0.2879	0.4198
039252_10	85	1.954e+04	3.124e+04	0.6256	1.871e+04	3.608e+04	0.5186	1.345
039252_11	9	5.447e+04	2.665e+04	2.044	2.428e+04	4.862e+04	0.4994	0.8995
039252_11	28	1.559e+05	4.372e+04	3.567	9.445e+04	6.246e+04	1.512	1.159
039252_12	32	9.076e+04	6.552e+04	1.385	5.406e+04	5.625e+04	0.961	1.591
039252_12	92	5.333e+05	6.132e+04	8.698	8.403e+04	5.784e+04	1.453	2.01
039252_13	29	4.943e+04	3.932e+04	1.257	5.52e+04	5.44e+04	1.015	1.675
039252_14	87	3.156e+04	5.275e+04	0.5983	3.583e+04	6.193e+04	0.5785	3.972
039252_14	88	1.08e+05	9.833e+04	1.098	5.281e+04	4.855e+04	1.088	1.86
039252_14	103	1.249e+05	4.989e+04	2.503	4.672e+04	4.818e+04	0.9698	1.099
039252_15	23	5.841e+04	3.118e+04	1.874	7.16e+04	5.487e+04	1.305	1.433
039252_15	27	3.734e+04	1.295e+05	0.2884	2.613e+04	6.393e+04	0.4087	1.848
039252_15	84	5.537e+04	3.157e+04	1.754	1.838e+04	3.582e+04	0.5132	1.915
039252_16	42	3.218e+05	8.05e+04	3.998	7.935e+04	4.462e+04	1.778	1.45
039252_17	64	1.324e+05	1.962e+05	0.6746	4.259e+04	7.265e+04	0.5862	1.856
039252_1	83	1.082e+04	1.74e+04	0.6218	3.714e+04	2.255e+04	1.647	2.629
039252_3	47	1.914e+05	7.37e+04	2.597	9.485e+04	6.163e+04	1.539	1.202
039252_4	53	6089	2881	2.113	4139	2.12e+04	0.1952	13.13
039252_4	90	5.083e+04	4.202e+04	1.21	4.144e+04	4.595e+04	0.9019	1.078
039252_7	68	4.318e+04	4.572e+04	0.9445	2.181e+04	4.448e+04	0.4904	1.629
039252_7	78	5.237e+04	3115	16.81	4.042e+04	9.996e+04	0.4044	19.64
039252_7	93	2.155e+04	6.441e+04	0.3345	2.957e+04	7.496e+04	0.3945	1.095
039252_9	30	3.906e+04	5.532e+04	0.7061	2.461e+04	5.455e+04	0.4511	2.436
039252_9	48	1.06e+05	5.869e+04	1.807	6.564e+04	5.872e+04	1.118	0.7992
039252_9	51	9.437e+04	5.042e+04	1.872	8.518e+04	6.075e+04	1.402	1.264
039252_9	87	4.154e+04	1.16e+04	3.581	3.385e+04	1.024e+04	3.305	1.213
039252_9	91	1.309e+05	4.636e+04	2.824	1.21e+05	5.285e+04	2.289	2.57
039252_9	92	5.239e+04	3.435e+04	1.525	4.612e+04	5.125e+04	0.8999	1.565
039253_0	39	1.135e+05	5.113e+04	2.22	5.934e+04	6.949e+04	0.8539	3.512
039253_11	91	2.129e+04	4552	4.677	3.508e+04	2.905e+04	1.208	1.78
039253_11	92	5.921e+04	4.292e+04	1.379	3.725e+04	4.571e+04	0.815	1.298
039253_11	116	2.05e+04	2522	8.13	1.967e+04	5436	3.619	12.93
039253_12	86	5.307e+04	6.061e+04	0.8756	3.651e+04	4.484e+04	0.8143	2.018
039253_13	39	3.614e+05	7.196e+04	5.022	5.194e+04	6.991e+04	0.743	2.078
039253_13	40	2.72e+05	7.295e+04	3.729	1.296e+05	5.858e+04	2.213	1.541
039253_15	65	2.033e+05	6.847e+04	2.97	7.641e+04	6.863e+04	1.113	0.5179
039253_15	87	1.413e+05	3.582e+04	3.944	7.645e+04	5.818e+04	1.314	1.453
039253_16	96	1.12e+04	4.258e+04	0.2631	1.731e+04	4.833e+04	0.3582	1.458
039253_16	115	1.339e+05	6.233e+04	2.148	4.804e+04	4.483e+04	1.072	0.7548
039253_17	82	6.667e+04	8.25e+04	0.8082	2.986e+04	3.054e+04	0.9778	6.182
039253_1	75	6.859e+04	4.635e+04	1.48	5.007e+04	3.953e+04	1.267	0.8439
039253_2	108	1.922e+05	4.874e+04	3.943	1.588e+04	5.108e+04	0.3109	0.6656
039253_3	67	5.476e+04	5.413e+04	1.012	4.43e+04	4.448e+04	0.9958	1.543
039253_4	33	5.946e+04	6.102e+04	0.9746	5.819e+04	5.859e+04	0.9932	3.045
039253_4	81	1.437e+05	6.389e+04	2.25	9.593e+04	3.246e+04	2.955	1.315
039253_6	34	1.428e+05	1.017e+05	1.404	6.192e+04	5.436e+04	1.139	1.396
039253_6	46	1.648e+05	1.011e+05	1.631	5.521e+04	6.032e+04	0.9153	0.5598
039253_6	100	6.113e+04	4.797e+04	1.275	4.156e+04	4.841e+04	0.8586	2.98
039253_6	110	9.107e+04	1.265e+05	0.7197	4.197e+04	5.539e+04	0.7576	0.9211
039253_7	22	1.079e+05	4.316e+04	2.501	5.262e+04	5.758e+04	0.9138	3.106
039253_7	23	2.766e+04	4.605e+04	0.6006	1.334e+04	4.958e+04	0.269	0.7392
039253_7	63	4.196e+04	5.429e+04	0.7729	3.208e+04	4.046e+04	0.7931	1.172
039253_7	82	1.336e+05	3.659e+04	3.651	5.615e+04	4.883e+04	1.15	2.213
039253_9	30	6.407e+04	8.761e+04	0.7313	4.924e+04	6.207e+04	0.7933	0.7316
039253_9	31	2.777e+04	8.67e+04	0.3203	3.052e+04	6.65e+04	0.4589	0.3204
039253_9	74	8.521e+04	1.543e+04	5.523	4.94e+04	2.403e+04	2.056	3.273
039253_9	104	6.376e+04	4.621e+04	1.38	6.179e+04	4.869e+04	1.269	1.292
039349_0	52	5.543e+04	1.825e+04	3.037	5.866e+04	5.143e+04	1.141	3.038
039349_10	22	1.727e+05	1.144e+05	1.51	7.562e+04	5.176e+04	1.461	3.605
039349_10	26	1.095e+05	7.316e+04	1.496	5.619e+04	4.989e+04	1.126	2.848
039349_10	54	2.536e+04	2.238e+04	1.133	2.992e+04	3.079e+04	0.9717	0.4875
039349_10	57	7.25e+04	4.554e+04	1.592	7.201e+04	6.734e+04	1.069	3.509
039349_11	18	1.802e+05	7.589e+04	2.374	7.481e+04	6.904e+04	1.084	0.894
039349_11	26	4.069e+04	6.548e+04	0.6214	5.298e+04	5.927e+04	0.8938	1.497
039349_11	28	1.714e+05	7.13e+04	2.404	5.77e+04	5.679e+04	1.016	2.561
039349_12	27	8.228e+04	6.248e+04	1.317	4.729e+04	4.972e+04	0.9512	1.543
039349_12	56	4.519e+04	3.583e+04	1.261	1.973e+04	6.324e+04	0.3119	0.4325
039349_13	23	1.826e+04	6.563e+04	0.2783	2.974e+04	4.059e+04	0.7326	0.7167
039349_13	30	9.672e+04	1.195e+05	0.8097	4.42e+04	4.969e+04	0.8895	2.123
039349_13	33	6.394e+04	7.143e+04	0.8951	5.472e+04	5.967e+04	0.917	1.584
039349_13	47	7.584e+04	6.747e+04	1.124	3.882e+04	4.13e+04	0.94	0.9888
039349_13	49	6.349e+04	1.225e+05	0.5183	5.679e+04	6.273e+04	0.9053	0.8783
039349_14	18	5.04e+04	4.479e+04	1.125	7.048e+04	4.276e+04	1.648	3.512
039349_14	23	5.101e+04	6.121e+04	0.8334	4.839e+04	7.504e+04	0.6449	0.6362
039349_15	24	1.763e+05	5.148e+04	3.424	7.429e+04	6.828e+04	1.088	1.03
039349_15	48	5.889e+04	3.269e+04	1.802	6.038e+04	5.177e+04	1.166	1.065
039349_16	41	5.552e+04	1.871e+04	2.967	4.486e+04	4.253e+04	1.055	1.023
039349_16	50	6.907e+04	5.638e+04	1.225	5.339e+04	5.093e+04	1.048	1.505
039349_16	63	8.77e+04	3.379e+04	2.596	5.531e+04	4.298e+04	1.287	0.894
039349_16	64	9.63e+04	7.36e+04	1.308	6.399e+04	4.756e+04	1.346	1.911
039349_17	49	5.65e+04	9.62e+04	0.5873	6.586e+04	7.208e+04	0.9137	1.909
039349_17	69	2.021e+05	4.717e+04	4.283	9.434e+04	5.592e+04	1.687	2.981
039349_18	10	4.12e+04	9.547e+04	0.4316	4.784e+04	6.769e+04	0.7067	0.7753
039349_18	13	1.081e+04	3.054e+04	0.3539	1.974e+04	5.4e+04	0.3656	1.695
039349_18	14	1.151e+05	5.091e+04	2.26	5.412e+04	6.237e+04	0.8677	7.594
039349_18	16	1.387e+05	8.545e+04	1.623	6.934e+04	6.442e+04	1.076	1.725
039349_18	20	3.726e+04	7.496e+04	0.4971	3.438e+04	5.617e+04	0.6121	17.36
039349_18	21	3.225e+04	8.324e+04	0.3874	3.277e+04	5.93e+04	0.5525	4.05
039349_18	23	9.585e+04	1.607e+04	5.966	5.023e+04	3.831e+04	1.311	3.335
039349_18	37	1.646e+05	5.084e+04	3.238	8.092e+04	4.935e+04	1.64	3.142
039349_18	40	1.38e+05	4.102e+04	3.364	4.518e+04	6.164e+04	0.7329	2.18
039349_18	41	8.257e+04	9.451e+04	0.8736	2.082e+04	5.657e+04	0.3681	2.969
039349_18	47	1.102e+05	4.488e+04	2.455	8.834e+04	4.846e+04	1.823	1.637
039349_18	56	5.811e+04	2.803e+04	2.073	5.051e+04	4.411e+04	1.145	2.619
039349_18	57	8.062e+04	2.59e+04	3.113	4.174e+04	3.424e+04	1.219	1.423
039349_19	23	4.025e+04	6.334e+04	0.6354	5.202e+04	6.209e+04	0.8377	1.921
039349_19	48	3.029e+04	3.226e+04	0.939	1.001e+04	4.121e+04	0.2429	1.088
039349_19	50	5.358e+04	4.839e+04	1.107	6.928e+04	4.852e+04	1.428	2.686
039349_1	23	8.15e+04	5.511e+04	1.479	5.308e+04	6.754e+04	0.7858	1.138
039349_1	49	1.459e+05	5.142e+04	2.836	7.133e+04	4.892e+04	1.458	4.338
039349_20	27	4.112e+04	5.324e+04	0.7724	6.624e+04	6.11e+04	1.084	2.86
039349_20	30	2.264e+04	6.925e+04	0.3269	2.325e+04	5.658e+04	0.4109	2.248
039349_20	62	6.599e+04	3.125e+04	2.112	4.547e+04	4.561e+04	0.9971	1.726
039349_21	30	4.584e+04	2.283e+04	2.008	5.365e+04	6.091e+04	0.8808	1.621
039349_22	18	7.624e+04	5.163e+04	1.477	5.844e+04	6.081e+04	0.961	2.349
039349_22	20	3.294e+04	8.639e+04	0.3813	2.354e+04	6.968e+04	0.3378	1.477
039349_22	28	1.275e+05	7.804e+04	1.633	6.268e+04	5.749e+04	1.09	2.444
039349_22	38	2.303e+05	4.793e+04	4.805	9.477e+04	6.097e+04	1.554	1.073
039349_22	45	2.417e+04	2702	8.947	8909	1.697e+04	0.5251	5.098
039349_22	63	1.438e+05	6.229e+04	2.308	5.015e+04	5.296e+04	0.9468	2.917
039349_22	64	1.926e+05	1.021e+04	18.87	5.457e+04	6.093e+04	0.8957	2.366
039349_23	29	1.232e+05	6.749e+04	1.825	5.12e+04	7.075e+04	0.7236	4.396
039349_23	57	1.696e+05	1.846e+04	9.184	5.96e+04	2506	23.78	2.995
039349_24	28	4.123e+04	4.733e+04	0.8713	5.373e+04	4.946e+04	1.086	0.226
039349_24	45	6.244e+04	2.723e+04	2.293	4.179e+04	5.179e+04	0.8069	1.124
039349_24	54	1.242e+04	1152	10.78	1.646e+04	1.194e+04	1.379	47.62
039349_24	64	1.056e+05	5.452e+04	1.936	8.417e+04	5.364e+04	1.569	2.612
039349_25	38	3.39e+04	4.645e+04	0.7299	4.142e+04	4.554e+04	0.9096	1.776
039349_25	42	9.408e+04	4.694e+04	2.004	4.524e+04	4.227e+04	1.07	1.396
039349_25	49	5.954e+04	3.128e+04	1.904	9.171e+04	3.496e+04	2.623	1.947
039349_25	72	6.096e+04	7.495e+04	0.8133	5.9e+04	2.455e+04	2.403	2.191
039349_26	13	4.767e+04	5.708e+04	0.8352	2.913e+04	6.152e+04	0.4736	2.843
039349_26	14	3.192e+04	4.87e+04	0.6554	6.407e+04	5.759e+04	1.112	1.311
039349_26	33	3.768e+04	3.694e+04	1.02	4.357e+04	4.883e+04	0.8923	5.597
039349_26	38	5.151e+04	5.12e+04	1.006	5.122e+04	4.329e+04	1.183	2.901
039349_27	43	1.949e+05	5.96e+04	3.27	5.123e+04	5.181e+04	0.9889	1.093
039349_27	45	8.285e+04	5.102e+04	1.624	4.709e+04	4.714e+04	0.999	1.213
039349_28	51	3.936e+04	2.261e+04	1.741	3.957e+04	3.224e+04	1.227	2.778
039349_28	53	1.094e+05	5.112e+04	2.14	4.987e+04	4.612e+04	1.081	3.462
039349_29	42	1.087e+05	9.927e+04	1.095	6.866e+04	5.652e+04	1.215	0.3341
039349_2	14	3.764e+04	3676	10.24	1.374e+04	1.508e+04	0.9112	0.8884
039349_2	40	1.328e+05	2.654e+04	5.005	5.906e+04	9137	6.464	0.8572
039349_31	28	1.695e+05	4.372e+04	3.878	8.157e+04	6.32e+04	1.291	1.243
039349_31	63	1.854e+05	7.247e+04	2.558	6.249e+04	5.39e+04	1.159	2.303
039349_32	49	5.712e+04	7.289e+04	0.7836	5.531e+04	4.366e+04	1.267	1.85
039349_32	57	8.527e+04	4.713e+04	1.809	5.612e+04	4.663e+04	1.204	1.131
039349_33	11	1.891e+05	1.175e+05	1.609	8.757e+04	6.473e+04	1.353	1.057
039349_33	14	8.488e+04	6.119e+04	1.387	4.688e+04	5.362e+04	0.8741	0.8301
039349_33	20	2.528e+04	2.47e+04	1.024	3.916e+04	5.376e+04	0.7285	1.05
039349_33	38	2.309e+05	5.014e+04	4.604	7.66e+04	5.34e+04	1.434	2.521
039349_33	54	4.605e+04	4.487e+04	1.026	4.768e+04	2.17e+04	2.198	1.825
039349_34	22	1.216e+05	9.051e+04	1.344	1.284e+05	6.406e+04	2.005	3.488
039349_34	25	3.129e+04	6.096e+04	0.5132	9.717e+04	5.713e+04	1.701	1.032
039349_35	26	1.416e+05	4.581e+04	3.092	3.934e+04	5.676e+04	0.6931	1.255
039349_35	46	5.241e+04	5.737e+04	0.9136	4.067e+04	5.623e+04	0.7234	1.398
039349_35	62	1.119e+05	1.649e+04	6.785	8.409e+04	4.956e+04	1.697	1.05
039349_36	23	9819	5.619e+04	0.1747	5.052e+04	6.481e+04	0.7795	2.352
039349_36	43	1.02e+05	6.691e+04	1.524	3.029e+04	6.005e+04	0.5045	0.7697
039349_36	48	7.007e+05	5.377e+04	13.03	5.922e+04	5.081e+04	1.165	1.998
039349_36	51	1.398e+05	3.47e+04	4.028	6.049e+04	5.134e+04	1.178	1.608
039349_36	63	2.138e+04	1.202e+04	1.778	4.203e+04	3.759e+04	1.118	1.629
039349_36	64	1.04e+05	3.699e+04	2.813	3.541e+04	4.517e+04	0.784	2.01
039349_37	8	2.271e+05	3.873e+04	5.864	1.732e+05	4.293e+04	4.034	0.562
039349_37	10	2.975e+04	1.377e+04	2.16	5.684e+04	3.312e+04	1.716	3.243
039349_37	45	2.256e+04	1.042e+04	2.165	3.749e+04	2.835e+04	1.322	1.387
039349_37	59	1.421e+05	4.407e+04	3.224	8.704e+04	4.466e+04	1.949	2.005
039349_38	32	5.517e+04	3.479e+04	1.586	5.29e+04	4.976e+04	1.063	2.288
039349_38	47	6.192e+04	3.347e+04	1.85	4.634e+04	5.294e+04	0.8752	1.057
039349_38	48	1.265e+05	3.071e+04	4.119	5.091e+04	3.797e+04	1.341	1.276
039349_38	54	1.629e+05	5.88e+04	2.769	8.051e+04	5.908e+04	1.363	1.975
039349_38	55	3.761e+04	7.971e+04	0.4719	4.098e+04	4.129e+04	0.9926	0.3052
039349_38	61	2.889e+04	4500	6.419	3.783e+04	1.677e+04	2.255	1.929
039349_38	62	1.412e+05	4.393e+04	3.213	8.536e+04	5.115e+04	1.669	2.968
039349_38	65	1.736e+05	5.249e+04	3.308	7.606e+04	4.984e+04	1.526	2.894
039349_39	46	4.967e+04	4.665e+04	1.065	5.273e+04	4.73e+04	1.115	0.9715
039349_39	50	7.565e+04	4.304e+04	1.757	9.778e+04	4.524e+04	2.161	1.764
039349_39	59	3.869e+04	3.27e+04	1.183	3.053e+04	3.592e+04	0.8498	2.229
039349_39	60	1.796e+05	3464	51.84	1.165e+05	2.611e+04	4.461	1.976
039349_3	20	3.831e+04	1.178e+05	0.3254	3.327e+04	6.119e+04	0.5436	1.015
039349_3	22	1.022e+05	1.11e+05	0.9209	6.098e+04	5.143e+04	1.186	3.102
039349_3	45	1.758e+04	4.82e+04	0.3648	2.382e+04	5.11e+04	0.4661	1.773
039349_40	61	4.672e+04	6.157e+04	0.7588	4.514e+04	5.353e+04	0.8431	2.68
039349_41	51	2.747e+05	6.423e+04	4.277	8.792e+04	5.26e+04	1.672	1.433
039349_42	28	5.883e+04	8.167e+04	0.7203	8.112e+04	5.811e+04	1.396	2.251
039349_42	53	5.039e+04	2.893e+04	1.742	3.56e+04	5.059e+04	0.7037	2.368
039349_43	20	6.298e+04	3.795e+04	1.659	5.249e+04	5.638e+04	0.931	2.183
039349_43	44	7.882e+04	2.983e+04	2.642	5.45e+04	4.686e+04	1.163	1.829
039349_43	46	7.018e+04	4.908e+04	1.43	5.458e+04	5.163e+04	1.057	2.706
039349_43	47	2.798e+04	3.729e+04	0.7502	1.002e+04	4.361e+04	0.2299	2.147
039349_43	57	1.032e+05	5.558e+04	1.856	6.218e+04	6.427e+04	0.9675	1.328
039349_43	65	3.941e+04	1.37e+04	2.877	5.826e+04	5.055e+04	1.152	3.874
039349_44	28	1.087e+05	1.251e+05	0.8692	7.366e+04	5.353e+04	1.376	1.004
039349_44	58	3.434e+04	1.69e+04	2.032	1.247e+04	8159	1.528	1.957
039349_45	11	5.056e+04	5.514e+04	0.9169	3.173e+04	4.231e+04	0.7498	1.736
039349_45	16	7.062e+04	4.612e+04	1.531	5.057e+04	5.477e+04	0.9233	2.142
039349_45	21	6.798e+04	7.778e+04	0.874	4.814e+04	5.637e+04	0.854	2.163
039349_45	25	1.727e+05	4.654e+04	3.711	8.664e+04	4.843e+04	1.789	1.845
039349_45	53	1.293e+05	6.806e+04	1.9	3.479e+04	4.984e+04	0.698	1.077
039349_45	63	6.291e+04	5.465e+04	1.151	5.735e+04	7.053e+04	0.8131	2.378
039349_46	64	1.407e+05	8.374e+04	1.68	9.277e+04	5.525e+04	1.679	2.543
039349_47	52	9.614e+04	1.583e+04	6.073	3.723e+04	5.647e+04	0.6594	1.662
039349_47	53	6.313e+04	3.624e+04	1.742	5.018e+04	3.784e+04	1.326	1.694
039349_47	60	1.212e+05	1.238e+04	9.795	9.137e+04	4.249e+04	2.15	3.902
039349_47	62	1.093e+05	4.862e+04	2.248	5.633e+04	5.351e+04	1.053	3.605
039349_48	23	1.413e+05	1.8e+04	7.846	9.64e+04	3.582e+04	2.691	2.086
039349_48	46	4.752e+04	3.581e+04	1.327	4.609e+04	3.522e+04	1.309	2.212
039349_48	52	1.673e+05	6.133e+04	2.729	1.078e+05	5.145e+04	2.096	3.291
039349_49	42	7.198e+04	1.143e+04	6.295	6.346e+04	4.241e+04	1.496	1.73
039349_49	44	1.252e+05	9.527e+04	1.314	6.631e+04	6.345e+04	1.045	1.384
039349_4	37	2.213e+05	1.183e+05	1.871	6.401e+04	6.485e+04	0.9871	4.038
039349_4	59	1.059e+05	6.588e+04	1.608	1.975e+04	5.145e+04	0.3839	0.7591
039349_4	63	7.002e+04	4.214e+04	1.661	5.827e+04	4.665e+04	1.249	2.822
039349_50	43	1.581e+05	5.387e+04	2.935	1.429e+05	4.477e+04	3.192	2.434
039349_50	48	7.186e+04	4.716e+04	1.524	4.628e+04	4.478e+04	1.034	0.9559
039349_50	61	5.027e+04	3.547e+04	1.417	2.81e+04	3.673e+04	0.7651	2.048
039349_51	28	2.945e+05	9.614e+04	3.063	1.225e+05	6.679e+04	1.835	1.03
039349_51	61	1.591e+05	7.31e+04	2.176	5.724e+04	5.699e+04	1.004	1.362
039349_52	11	1.602e+05	5.489e+04	2.92	5.251e+04	5.802e+04	0.9051	1.096
039349_52	28	8.114e+04	3.269e+04	2.482	5.212e+04	4.452e+04	1.171	3.674
039349_52	33	1.407e+05	4.529e+04	3.106	8.106e+04	4.948e+04	1.638	0.7571
039349_52	54	1.081e+05	3.396e+04	3.183	4.712e+04	5.741e+04	0.8208	1.634
039349_53	14	9.578e+04	6.455e+04	1.484	5.513e+04	5.426e+04	1.016	0.7509
039349_53	19	6.79e+04	7.405e+04	0.9169	5.842e+04	6.068e+04	0.9628	1.991
039349_53	46	2.253e+05	8.31e+04	2.711	2.406e+04	5.515e+04	0.4363	2.132
039349_53	54	3.899e+04	3.756e+04	1.038	4.61e+04	4.178e+04	1.103	1.433
039349_53	55	3.333e+04	3.142e+04	1.061	1.406e+04	1.376e+04	1.021	0.4588
039349_54	54	1.569e+04	5.997e+04	0.2617	1.192e+04	5.414e+04	0.2201	2.52
039349_54	63	3.897e+04	3.834e+04	1.017	2.95e+04	3.504e+04	0.842	0.5717
039349_55	31	1.714e+05	3.447e+04	4.974	9.38e+04	2.408e+04	3.895	3.047
039349_55	58	1.313e+05	4.115e+04	3.191	5.421e+04	3.792e+04	1.43	2.113
039349_55	59	1.618e+05	1.627e+04	9.948	6.429e+04	2.959e+04	2.173	3.93
039349_55	61	5.908e+04	3.85e+04	1.535	3.287e+04	4.5e+04	0.7304	1.443
039349_55	64	1.144e+05	4.887e+04	2.342	8.827e+04	4.954e+04	1.782	4.682
039349_56	18	9.316e+04	5.99e+04	1.555	5.958e+04	4.762e+04	1.251	3.585
039349_56	20	3.247e+04	3.968e+04	0.8185	5.554e+04	4.978e+04	1.116	3.303
039349_56	21	5.039e+05	6.249e+04	8.062	5.077e+04	1.731e+04	2.933	2.083
039349_56	36	1.783e+05	6.259e+04	2.849	2.144e+04	5.554e+04	0.3861	1.484
039349_56	40	2.56e+04	4.008e+04	0.6388	4.664e+04	4.937e+04	0.9447	0.9184
039349_57	20	2.768e+04	6.909e+04	0.4006	1.301e+04	5.994e+04	0.217	0.7876
039349_57	22	3.252e+04	7.325e+04	0.444	2.997e+04	6.024e+04	0.4976	2.717
039349_57	23	4.85e+04	2.582e+04	1.878	5.47e+04	1.58e+04	3.462	4.984
039349_57	51	1.296e+05	3.883e+04	3.338	4.277e+04	3.988e+04	1.072	1.45
039349_57	63	9.008e+04	4.963e+04	1.815	5.158e+04	4.84e+04	1.066	1.342
