event	evtno	n_eval	n_tgm	n_stm	n_fc	n_cand	n_f7	n_f8	n_f7_filled	n_michel_E	michel_E_list
039252_0		59	20	8	18	0	0	0	0	0	
039252_10		73	15	7	33	0	0	0	0	0	
039252_11		70	19	6	20	0	0	0	0	0	
039252_12		89	27	4	25	0	0	0	0	0	
039252_13		63	13	4	27	0	0	0	0	0	
039252_14		78	23	10	22	0	0	0	0	0	
039252_15		84	22	10	27	0	0	0	0	0	
039252_16		93	27	8	24	0	0	0	0	0	
039252_17		82	21	8	21	0	0	0	0	0	
039252_1		67	14	4	32	0	0	0	0	0	
039252_2		93	35	4	30	0	0	0	0	0	
039252_3		73	16	7	22	0	0	0	0	0	
039252_4		90	27	5	35	0	0	0	0	0	
039252_5		91	24	4	33	0	0	0	0	0	
039252_6		97	15	9	33	0	0	0	0	0	
039252_7		71	22	6	23	0	0	0	0	0	
039252_8		72	16	10	28	0	0	0	0	0	
039252_9		76	18	12	24	0	0	0	0	0	
039253_0		86	18	7	37	0	0	0	0	0	
039253_10		62	10	1	26	0	0	0	0	0	
039253_11		81	22	14	24	0	0	0	0	0	
039253_12		73	19	8	30	0	0	0	0	0	
039253_13		74	16	7	29	0	0	0	0	0	
039253_14		94	18	6	42	0	0	0	0	0	
039253_15		77	14	8	37	0	0	0	0	0	
039253_16		61	10	4	19	0	0	0	0	0	
039253_17		101	19	5	44	0	0	0	0	0	
039253_1		76	18	6	25	0	0	0	0	0	
039253_2		70	17	8	25	0	0	0	0	0	
039253_3		62	14	4	21	0	0	0	0	0	
039253_4		83	15	4	41	0	0	0	0	0	
039253_5		85	25	7	30	0	0	0	0	0	
039253_6		84	19	6	30	0	0	0	0	0	
039253_7		71	16	6	23	0	0	0	0	0	
039253_8		77	24	5	23	0	0	0	0	0	
039253_9		89	25	7	28	0	0	0	0	0	
039349_0		46	10	3	17	0	0	0	0	0	
039349_10		47	11	7	18	0	0	0	0	0	
039349_11		39	10	8	8	0	0	0	0	0	
039349_12		45	13	6	15	0	0	0	0	0	
039349_13		44	11	7	19	0	0	0	0	0	
039349_14		41	8	3	18	0	0	0	0	0	
039349_15		52	13	7	15	0	0	0	0	0	
039349_16		55	17	4	24	0	0	0	0	0	
039349_17		44	5	4	24	0	0	0	0	0	
039349_18		52	7	16	8	0	0	0	0	0	
039349_19		44	11	5	20	0	0	0	0	0	
039349_1		40	7	6	15	0	0	0	0	0	
039349_20		51	11	3	24	0	0	0	0	0	
039349_21		47	11	4	18	0	0	0	0	0	
039349_22		56	5	10	21	0	0	0	0	0	
039349_23		46	12	4	14	0	0	0	0	0	
039349_24		57	13	7	22	0	0	0	0	0	
039349_25		59	20	5	23	0	0	0	0	0	
039349_26		44	6	10	12	0	0	0	0	0	
039349_27		50	14	4	17	0	0	0	0	0	
039349_28		60	12	6	22	0	0	0	0	0	
039349_29		43	10	4	21	0	0	0	0	0	
039349_2		44	7	3	18	0	0	0	0	0	
039349_30		56	12	2	19	0	0	0	0	0	
039349_31		54	11	5	18	0	0	0	0	0	
039349_32		43	9	6	12	0	0	0	0	0	
039349_33		58	15	7	17	0	0	0	0	0	
039349_34		41	11	5	16	0	0	0	0	0	
039349_35		58	9	4	27	0	0	0	0	0	
039349_36		43	11	6	15	0	0	0	0	0	
039349_37		61	17	4	21	0	0	0	0	0	
039349_38		48	3	17	14	0	0	0	0	0	
039349_39		48	6	6	17	0	0	0	0	0	
039349_3		46	11	5	12	0	0	0	0	0	
039349_40		46	8	3	21	0	0	0	0	0	
039349_41		47	6	3	19	0	0	0	0	0	
039349_42		49	7	3	20	0	0	0	0	0	
039349_43		45	12	10	11	0	0	0	0	0	
039349_44		65	15	2	23	0	0	0	0	0	
039349_45		44	7	6	16	0	0	0	0	0	
039349_46		49	11	3	19	0	0	0	0	0	
039349_47		54	5	5	22	0	0	0	0	0	
039349_48		53	14	5	13	0	0	0	0	0	
039349_49		52	9	4	18	0	0	0	0	0	
039349_4		50	8	6	24	0	0	0	0	0	
039349_50		48	10	8	20	0	0	0	0	0	
039349_51		47	17	2	15	0	0	0	0	0	
039349_52		47	14	5	11	0	0	0	0	0	
039349_53		44	9	10	15	0	0	0	0	0	
039349_54		52	13	2	17	0	0	0	0	0	
039349_55		53	12	5	20	0	0	0	0	0	
039349_56		53	7	9	18	0	0	0	0	0	
039349_57		47	14	8	10	0	0	0	0	0	
039349_58		57	9	5	31	0	0	0	0	0	
039349_59		44	8	6	18	0	0	0	0	0	
039349_5		48	10	7	19	0	0	0	0	0	
039349_60		41	12	0	15	0	0	0	0	0	
039349_61		47	10	4	17	0	0	0	0	0	
039349_62		55	16	9	18	0	0	0	0	0	
039349_63		44	16	4	12	0	0	0	0	0	
039349_64		63	12	5	25	0	0	0	0	0	
039349_65		45	14	4	14	0	0	0	0	0	
039349_66		50	6	7	19	0	0	0	0	0	
039349_67		60	15	5	27	0	0	0	0	0	
039349_68		51	6	9	20	0	0	0	0	0	
039349_69		55	18	5	21	0	0	0	0	0	
039349_6		55	12	2	26	0	0	0	0	0	
039349_70		53	7	2	24	0	0	0	0	0	
039349_71		57	17	6	23	0	0	0	0	0	
039349_72		58	13	6	19	0	0	0	0	0	
039349_73		57	12	4	24	0	0	0	0	0	
039349_74		50	6	6	20	0	0	0	0	0	
039349_75		58	9	8	22	0	0	0	0	0	
039349_76		55	9	3	21	0	0	0	0	0	
039349_77		53	11	6	17	0	0	0	0	0	
039349_78		46	11	2	16	0	0	0	0	0	
039349_79		55	10	7	21	0	0	0	0	0	
039349_7		55	14	9	16	0	0	0	0	0	
039349_80		50	10	3	20	0	0	0	0	0	
039349_81		51	10	9	19	0	0	0	0	0	
039349_82		40	7	7	12	0	0	0	0	0	
039349_83		63	14	3	26	0	0	0	0	0	
039349_8		38	9	4	18	0	0	0	0	0	
039349_9		41	9	4	11	0	0	0	0	0	
