# PDVD data events of record for the stopping-muon/Michel campaign (doc pdvd/25): every work/<RUN6>_<idx>_keep with imaging archives
# run idx art_event has_light_keep
39252 0 298567 1
39252 10 298707 1
39252 11 298721 1
39252 12 298735 1
39252 13 298749 1
39252 14 298763 1
39252 15 298777 1
39252 16 298791 1
39252 17 298805 1
39252 1 298581 1
39252 2 298595 1
39252 3 298609 1
39252 4 298623 1
39252 5 298637 1
39252 6 298651 1
39252 7 298665 1
39252 8 298679 1
39252 9 298693 1
39253 0 49686 1
39253 10 49886 1
39253 11 49906 1
39253 12 49926 1
39253 13 49946 1
39253 14 49966 1
39253 15 49986 1
39253 16 50006 1
39253 17 50026 1
39253 1 49706 1
39253 2 49726 1
39253 3 49746 1
39253 4 49766 1
39253 5 49786 1
39253 6 49806 1
39253 7 49826 1
39253 8 49846 1
39253 9 49866 1
39349 0 19409 1
39349 10 19609 1
39349 11 19629 1
39349 12 19649 1
39349 13 19669 1
39349 14 19689 1
39349 15 19709 1
39349 16 19729 1
39349 17 19749 1
39349 18 19769 1
39349 19 19789 1
39349 1 19429 1
39349 20 19809 1
39349 21 19829 1
39349 22 19849 1
39349 23 19869 1
39349 24 19889 1
39349 25 19909 1
39349 26 19929 1
39349 27 19949 1
39349 28 22777 1
39349 29 22797 1
39349 2 19449 1
39349 30 22817 1
39349 31 22837 1
39349 32 22857 1
39349 33 22877 1
39349 34 22897 1
39349 35 22917 1
39349 36 22937 1
39349 37 22957 1
39349 38 22977 1
39349 39 22997 1
39349 3 19469 1
39349 40 23017 1
39349 41 23037 1
39349 42 23057 1
39349 43 23077 1
39349 44 23097 1
39349 45 23117 1
39349 46 23137 1
39349 47 23157 1
39349 48 23177 1
39349 49 23197 1
39349 4 19489 1
39349 50 23217 1
39349 51 23237 1
39349 52 23257 1
39349 53 23277 1
39349 54 23297 1
39349 55 23317 1
39349 56 55766 1
39349 57 55786 1
39349 58 55806 1
39349 59 55826 1
39349 5 19509 1
39349 60 55846 1
39349 61 55866 1
39349 62 55886 1
39349 63 55906 1
39349 64 55926 1
39349 65 55946 1
39349 66 55966 1
39349 67 55986 1
39349 68 56006 1
39349 69 56026 1
39349 6 19529 1
39349 70 56046 1
39349 71 56066 1
39349 72 56086 1
39349 73 56106 1
39349 74 56126 1
39349 75 56146 1
39349 76 56166 1
39349 77 56186 1
39349 78 56206 1
39349 79 56226 1
39349 7 19549 1
39349 80 56246 1
39349 81 56266 1
39349 82 56286 1
39349 83 56306 1
39349 8 19569 1
39349 9 19589 1
