# raw stopper candidates, tag stm2: one end density >= 2.0x the middle (last 5.0 cm), other end < 1.3x; E_off = same-cluster charge within 12.0 cm of the end, > 2.5 cm off the axis, x 23.6 eV/0.5/0.8
event	cluster	L_cm	npts	rise_ratio	flat_ratio	E_stop_MeV	E_ctrl_MeV	n_stop	n_ctrl	stop_x	stop_y	stop_z
039252_0	75	165.25	816	2.49	0.00	16.27	0.00	20	0	142.43	-279.56	37.27
039252_0	78	113.51	606	2.14	1.21	0.00	0.00	0	0	248.33	-130.83	299.01
039252_10	291	170.42	1204	2.30	0.57	13.95	1.53	26	4	-118.40	334.72	163.61
039252_11	69	250.76	1655	2.56	0.00	20.46	23.42	68	64	253.82	-113.87	153.02
039252_11	163	127.18	814	5.14	0.98	0.00	0.00	0	0	32.70	-174.36	200.83
039252_13	88	466.02	4016	6.06	0.00	40.80	0.00	78	0	179.82	337.27	202.14
039252_15	93	489.71	4339	3.53	0.00	72.68	27.58	156	59	220.23	-250.02	299.95
039252_16	37	135.35	573	3.24	0.00	3.49	2.80	12	10	-1.35	41.81	34.34
039252_16	113	382.24	3052	2.02	0.00	23.31	36.93	34	85	-296.41	-88.82	240.02
039252_17	25	100.51	569	2.18	1.29	0.00	0.00	0	0	-178.41	15.65	295.91
039252_1	474	133.43	925	3.01	1.04	0.00	0.00	0	0	-123.52	-23.13	285.81
039252_2	46	140.98	902	2.01	0.33	0.00	0.00	0	0	-190.83	294.73	160.90
039252_2	352	202.05	1380	5.06	0.36	0.11	0.00	2	0	184.16	-159.29	298.56
039252_4	103	253.12	9610	2.51	0.00	75.10	9.11	107	26	100.06	-80.88	206.97
039252_5	72	266.75	1059	3.21	0.00	35.66	0.00	58	0	219.66	-31.88	-0.46
039252_6	100	108.45	918	2.59	0.73	78.05	13.32	101	28	261.41	245.02	68.30
039252_7	74	245.74	1489	2.56	0.00	6.35	22.90	10	59	191.78	-80.72	151.35
039252_7	96	103.98	2518	2.09	0.00	49.25	94.88	58	96	294.11	334.96	26.61
039252_8	34	176.39	1506	3.39	0.00	33.18	50.21	82	104	-221.48	-138.51	161.44
039253_0	90	101.22	614	2.02	0.62	3.29	5.06	7	20	10.85	-0.51	56.80
039253_0	360	160.11	468	4.71	1.22	3.84	0.00	9	0	227.37	-127.34	195.17
039253_10	78	139.25	1031	4.08	0.71	0.00	4.53	0	16	232.71	154.27	76.50
039253_11	55	138.18	950	2.93	1.01	0.00	0.00	0	0	-183.95	337.48	192.62
039253_11	398	104.68	762	2.20	0.65	5.57	0.00	7	0	-75.81	145.48	284.15
039253_13	106	347.30	2892	2.77	0.00	6.99	30.64	19	77	-170.69	257.04	297.06
039253_14	90	133.73	1226	3.42	0.18	47.19	17.14	98	17	158.18	21.60	74.23
039253_15	75	174.02	1075	3.07	0.07	5.03	14.44	10	61	74.98	-200.94	163.08
039253_16	36	188.05	1320	2.53	0.02	10.00	3.94	16	20	-258.56	-27.80	1.78
039253_16	104	118.40	843	2.81	1.03	6.19	0.00	15	0	155.84	46.21	292.57
039253_17	517	191.42	1207	2.31	0.43	1.15	0.01	4	2	122.91	336.86	169.53
