# Michel candidates anchored on the STM stop end, tag stm1: max_dist 5.0 cm, max_len 40.0 cm, min_contrast 0.0
event	evtno	cluster	nu_index	contrast	mu_L_cm	stop_x	stop_y	stop_z	dist_cm	kine_best_MeV	kine_charge_MeV	kine_range_MeV	segQ_E_MeV	length_cm	pdg	shower_id	conn	f7	f7_filled
039252_3	298609	44	38	nan	27.07	-243.68	323.50	224.57	0.68	27.00	0.00	27.00	32.18	9.08	11	44023	1	0.00	1.00
039252_9	298693	76	12	1.04	253.71	203.61	-41.91	59.54	3.01	65.53	0.00	65.53	23.60	17.99	11	76005	1	0.00	0.00
039349_15	19709	48	0	1.17	472.46	290.01	164.06	94.38	2.22	23.04	0.00	23.04	6.47	8.10	11	48017	1	0.00	0.00
039349_16	19729	41	17	0.84	46.86	284.08	46.16	161.43	2.09	3.40	0.00	6.68	16.53	2.96	11	41007	1	0.00	1.00
039349_18	19769	14	11	0.87	274.86	-100.44	-325.45	90.57	3.80	2.99	5.93	4.58	12.18	2.10	11	14005	1	0.00	0.00
039349_21	19829	52	18	1.37	28.30	240.79	-334.11	3.35	0.13	8.07	0.00	3.30	20.85	1.54	11	52006	1	0.00	1.00
039349_24	19889	64	12	1.57	105.03	185.59	77.04	76.89	0.22	0.00	0.00	0.00	132.32	10.74	11	64009	1	0.00	0.00
039349_36	22937	43	12	0.50	57.65	230.10	8.16	21.67	1.20	34.38	0.00	34.38	25.16	10.74	11	43001	1	0.00	0.00
039349_36	22937	64	11	0.78	86.56	226.06	319.94	212.10	2.72	0.00	0.00	0.00	36.55	17.63	11	64001	1	0.00	1.00
039349_38	22977	31	28	nan	19.85	-336.35	158.34	113.56	4.18	10.71	0.00	10.71	24.06	4.44	11	31010	1	0.00	0.00
039349_39	22997	33	20	nan	2.06	-241.83	326.00	244.19	0.26	1.97	0.00	4.17	2.65	1.93	11	33001	1	0.00	0.00
039349_39	22997	60	1	4.46	482.31	-71.90	-323.05	242.25	4.42	11.81	0.00	11.81	12.51	4.82	11	60042	1	0.00	0.00
039349_4	19489	37	12	0.99	235.51	-163.68	49.68	285.55	3.29	0.00	0.00	24.84	28.27	8.55	11	37023	4	0.00	1.00
039349_5	19509	50	8	1.38	313.32	53.57	33.33	28.48	3.50	5.86	2.91	8.27	19.80	3.57	11	50008	1	0.00	0.00
039349_53	23277	61	3	0.90	527.22	-172.45	167.71	254.06	1.73	0.00	0.00	0.51	3.73	0.18	11	61033	4	1.00	1.00
039349_59	55826	27	7	0.57	107.71	-150.42	263.09	197.46	1.85	4.69	0.00	5.73	7.66	2.58	11	27022	1	0.00	0.00
039349_61	55866	21	1	0.87	212.13	-178.13	-161.27	154.76	1.83	14.50	0.00	14.50	93.09	5.68	11	21008	1	0.00	0.00
039349_61	55866	49	5	nan	47.05	128.77	-122.54	82.03	3.75	14.15	0.00	14.15	18.92	5.58	11	49001	1	0.00	1.00
