# doc 62 -- STM baseline: every in-beam bundle the OWNER adjudicated by hand on :5012
# (comments in work-mcp1kall-d59k/nusel_labels/s61mis/, 2026-07-26).  This is the
# labelled set to improve the STM tagger against.  owner_verdict is the TRUTH column.
# class:
#   code-FALSE-STM        tagger says STM, owner says NOT a stopping muon  -> FIX (15)
#   code-MISSED-STM       tagger left it untagged, owner says it IS an STM  -> FIX (1)
#   code-STM-correct      tagger says STM and the owner agrees             (36)
#   code-not-STM-correct  tagger left it untagged and the owner agrees     (20)
# proton=1 marks the owner calling it a proton (see scan-d59k/proton-list.tsv).
# ai_verdict/ai_quality are the doc-61 sub-agent scan, kept ONLY to show where the
# automated scan was wrong -- it is NOT truth (see doc 62 for its measured precision).
# TGM-only rulings are excluded: the owner ruled the TGM labels fine (doc 61 sec 5e).
class	event	main_id	flash_gid	t_us	len_cm	tagger	owner_verdict	proton	ai_verdict	ai_quality	owner_comment
code-FALSE-STM	48895	17	4	1.442	235.5	STM	not-STM	0	nu	cosmic-like	Not STM
code-FALSE-STM	72586	17	3	1.175	301.6	STM	not-STM	0	nu	cosmic-like	AI id is right, there is a small track near the bottom
code-FALSE-STM	278662	1	3	0.678	269.0	STM	not-STM	0	nu	cosmic-like	Not STM, the high dQ/dx could be a vertex activity
code-FALSE-STM	278794	7	1000000	0.695	203.1	STM	not-STM	0	STM	clean	This is not STM, there are multiple shower like activities, negative dQ/dx is sign of gaps ...
code-FALSE-STM	285366	13	1000001	1.102	95.1	STM	not-STM	0	nu	cosmic-like	Not STM, very high dQ/dx at the end point, neutrino vertex.
code-FALSE-STM	285443	7	3	1.105	178.9	STM	not-STM	0	nu	unclear	Not STM, clearly other tracks/showers.
code-FALSE-STM	289832	10	1000003	0.629	214.2	STM	not-STM	0	nu	cosmic-like	Not STM, good nu, vertex high dQ/dx
code-FALSE-STM	290294	12	1000008	1.752	28.2	STM	not-STM	0	nu	weak	Not a STM, vertex activity
code-FALSE-STM	321107	13	3	0.755	226.9	STM	not-STM	0	nu	cosmic-like	Not STM
code-FALSE-STM	321371	18	1000002	0.950	308.7	STM	not-STM	0	nu	cosmic-like	Not STM
