event	verdict	n_row	n_inbeam	inbeam_labels
281214	all-fc	12	1	nu-candidate
281241	keep	10	1	STM
281337	keep	12	1	nu-candidate
281485	keep	12	1	nu-candidate
281505	all-fc	11	1	nu-candidate
281507	keep	15	1	nu-candidate
281527	keep	10	1	nu-candidate
281551	keep	15	1	STM
281557	keep	16	1	nu-candidate
281595	keep	14	1	nu-candidate
281632	keep	12	1	STM
281639	keep	15	1	nu-candidate
281676	no-inbeam-bundle	10	0	-
281720	tgm	12	1	TGM
281727	all-fc	8	1	nu-candidate
281808	all-fc	11	1	nu-candidate
281837	keep	9	1	nu-candidate
281857	keep	14	1	STM
281901	tgm	9	1	TGM
281918	keep	13	1	nu-candidate
281925	all-fc	10	1	nu-candidate
281953	keep	7	1	STM
281997	tgm	13	1	TGM
282011	tgm	16	1	TGM
282033	keep	9	1	STM
282057	keep	14	1	nu-candidate
282072	keep	8	1	nu-candidate
282094	no-inbeam-bundle	10	0	-
282160	all-fc	11	1	nu-candidate
282204	keep	11	1	nu-candidate
282217	keep	8	1	nu-candidate
282231	all-fc	14	1	nu-candidate
282292	no-inbeam-bundle	10	0	-
282299	tgm	15	1	TGM
282385	keep	12	1	nu-candidate
282459	keep	13	1	nu-candidate
282541	no-inbeam-bundle	12	0	-
282666	keep	14	1	nu-candidate
282715	keep	10	1	STM
282737	all-fc	15	1	nu-candidate
282871	keep	13	1	nu-candidate
282899	all-fc	7	1	nu-candidate
282930	no-inbeam-bundle	12	0	-
282952	mixed	15	2	TGM,nu-candidate
282979	all-fc	12	1	nu-candidate
283009	keep	15	1	nu-candidate
283040	all-fc	11	1	nu-candidate
283047	tgm	17	1	TGM
283091	all-fc	14	1	nu-candidate
283119	tgm	11	1	TGM
283229	keep	6	1	nu-candidate
283265	tgm	12	1	TGM
283331	no-inbeam-bundle	10	0	-
283463	keep	14	1	STM
283485	keep	10	1	STM
283515	tgm	12	1	TGM
283529	keep	9	1	STM
283537	tgm	10	1	TGM
283581	keep	10	1	nu-candidate
283595	all-fc	9	1	nu-candidate
283683	tgm	11	1	TGM
283691	all-fc	16	1	nu-candidate
283713	keep	13	1	nu-candidate
283771	keep	13	1	nu-candidate
283793	all-fc	12	1	nu-candidate
283801	tgm	11	1	TGM
283817	keep	11	1	STM
283839	keep	10	1	STM
283905	keep	15	1	STM
283969	keep	17	1	STM
283991	all-fc	10	1	nu-candidate
284013	all-fc	5	1	nu-candidate
284081	no-inbeam-bundle	7	0	-
284103	keep	7	1	nu-candidate
284125	all-fc	9	1	nu-candidate
284145	keep	10	1	nu-candidate
284153	all-fc	14	1	nu-candidate
284200	keep	7	1	nu-candidate
284211	keep	7	1	nu-candidate
284235	all-fc	10	1	nu-candidate
284255	keep	7	1	nu-candidate
