scan_id	tranche	key_p100c	key_p99wflip	record_key	vol	record_verdict	record_confidence	p99wflip	p100c	michel_mover	stm_mover	kind
1	1	039252_8/110	039252_8/102	039252_8/110	top	STM_MICHEL	owner	is_stm 0, michel_found 0	is_stm 0, michel_found 1	1	0	record michel, michel_found 0 -> 1
2	1	039252_9/51	039252_9/31	039252_9/51	bottom	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
3	1	039252_9/103	039252_9/101	039252_9/103	top	STM_MICHEL	owner	is_stm 1, michel_found 0	is_stm 0, michel_found 1	1	1	record michel, michel_found 0 -> 1
4	1	039252_12/117	039252_12/123	039252_12/117	top	STM_MICHEL	owner	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record michel, michel_found 0 -> 1
5	1	039252_17/94	039252_17/88	039252_17/94	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
6	1	039252_17/95	039252_17/90	039252_17/95	top	THRU	medium	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
7	1	039253_0/104	039253_0/110	039253_0/104	top	STM_MICHEL	medium	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
8	1	039253_1/107	039253_1/105	039253_1/107	top	THRU	medium	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
9	1	039253_3/61	039253_3/61	039253_3/61	top	STM_MICHEL	medium	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record michel, michel_found 0 -> 1
10	1	039253_3/78	039253_3/79	039253_3/78	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
11	1	039253_7/89	039253_7/80	039253_7/89	top	STM_MICHEL	medium	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
12	1	039253_8/69	039253_8/65	039253_8/69	top	STM_MICHEL	owner	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
13	1	039253_11/84	039253_11/86	039253_11/84	top	THRU	high	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
14	1	039253_11/113	039253_11/106	039253_11/113	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
15	1	039253_12/92	039253_12/93	039253_12/92	top	STM_MICHEL	owner	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
16	1	039349_0/28	039349_0/28	039349_0/28	bottom	STM_MICHEL	owner	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record michel, michel_found 0 -> 1
17	1	039349_7/66	039349_7/67	039349_7/66	top	STM_MICHEL	medium	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
18	1	039349_8/53	039349_8/54	039349_8/53	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
19	1	039349_10/66	039349_10/58	039349_10/66	top	STM_MICHEL	medium	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
20	1	039349_12/52	039349_12/44	039349_12/52	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
21	1	039349_17/54	039349_17/52	039349_17/54	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
22	1	039349_18/47	039349_18/33	039349_18/47	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
23	1	039349_20/28	039349_20/32	039349_20/28	bottom	STM_ONLY	medium	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record no Michel, michel_found 1 -> 0
24	1	039349_22/40	039349_22/39	039349_22/40	top	THRU	low	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
25	1	039349_29/48	039349_29/45	039349_29/48	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
26	1	039349_31/48	039349_31/39	039349_31/48	top	STM_MICHEL	medium	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
27	1	039349_32/63	039349_32/63	039349_32/63	top	THRU	owner	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
28	1	039349_33/67	039349_33/58	039349_33/67	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
29	1	039349_35/32	039349_35/30	039349_35/32	bottom	STM_MICHEL	owner	is_stm 0, michel_found 1	is_stm 0, michel_found 0	1	0	record michel, michel_found 1 -> 0
30	1	039349_43/48	039349_43/50	039349_43/48	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
31	1	039349_44/20	039349_44/18	039349_44/20	bottom	THRU	owner	is_stm 0, michel_found 0	is_stm 0, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
32	1	039349_44/78	039349_44/75	039349_44/78	bottom	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
33	1	039349_45/21	039349_45/25	039349_45/21	bottom	STM_MICHEL	owner	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
34	1	039349_47/24	039349_47/24	039349_47/24	bottom	THRU	high	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
35	1	039349_47/71	039349_47/68	039349_47/71	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
36	1	039349_48/59	039349_48/58	039349_48/59	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
37	1	039349_50/49	039349_50/45	039349_50/49	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
