sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
ncpi0	18259	1	18625	0	11.896	6.670	18	1534452	0	nu-candidate	12	2	2	1	0	1.703	119.4	21	146.39618	84.860756	166.00333	2.7291088	-15.0	1.0	0.0	0.7	0.0	1498.7175
ncpi0	18345	1	21073	0	12.422	7.173	19	1534088	0	nu-candidate	10	1	1	1	0	1.842	102.2	42	-33.09328	26.492363	363.36816	0.6081792	-15.0	1.0	0.0	0.7	0.0	1102.687
ncpi0	18259	1	37112	0	9.545	4.407	16	1534344	0	nu-candidate	12	1	1	1	0	0.901	54.3	41	-166.11244	72.07444	7.869103	-0.0435483	-2.436998	1.0	0.0	0.7	0.0	1363.9653
ncpi0	18255	1	56982	0	12.470	7.307	19	1534448	0	nu-candidate	15	1	1	1	0	1.864	73.0	46	-90.13611	-150.03183	385.73553	0.019297747	-1.8540461	1.0	0.0	0.7	0.0	1234.5007
ncpi0	18255	1	71372	0	19.245	13.771	26	1534316	0	nu-candidate	13	1	1	1	0	2.012	62.6	75	-165.69757	-156.89558	222.54993	1.3284452	-15.0	1.0	0.0	0.7	0.0	2543.7646
ncpi0	18364	1	84229	0	12.403	7.231	19	1535560	0	nu-candidate	10	1	1	1	0	0.671	96.4	36	97.48826	122.85773	384.53638	0.5168337	-15.0	1.0	0.0	0.7	0.0	1536.6229
ncpi0	18259	1	105946	0	9.755	4.557	16	1536408	0	nu-candidate	10	1	1	1	0	0.878	50.1	32	-134.39026	-146.77197	400.9667	-0.19610102	-15.0	1.0	0.0	0.7	0.0	1036.0297
ncpi0	18255	1	114446	0	8.121	2.961	15	1534696	0	nu-candidate	14	1	1	1	0	1.233	10.9	6	-65.9863	-64.374016	332.93884	-2.1809807	-15.0	1.0	0.0	0.7	0.0	131.96329
ncpi0	18255	1	142421	0	15.449	10.106	22	1535000	0	nu-candidate	11	1	1	1	0	1.158	264.2	52	118.223595	-69.79704	209.00835	2.171614	-15.0	1.0	0.0	0.7	0.0	3133.2634
ncpi0	18255	1	180801	0	11.254	6.122	18	1533588	0	nu-candidate	13	1	1	1	0	0.728	70.9	36	-37.53577	-9.178374	460.6467	-0.5311971	-4.300936	1.0	0.0	0.7	0.0	1268.0414
ncpi0	18345	1	259542	0	12.455	7.252	19	1533732	0	nu-candidate	13	1	1	1	0	1.567	51.3	57	101.790405	17.570946	164.10884	-0.8340007	-15.0	1.0	0.0	0.7	0.0	2152.365
ncpi0	18261	1	285567	0	15.794	10.728	22	1535732	0	nu-candidate	8	1	1	1	0	0.970	118.0	40	59.61944	-178.27052	272.42914	1.6385058	-3.3735838	1.0	0.0	0.7	0.0	1318.7821
ncpi0	18255	1	314838	0	10.907	5.668	17	1536140	0	nu-candidate	10	1	1	1	0	1.591	36.8	30	25.902262	155.13396	140.37857	-0.20731555	-15.0	1.0	0.0	0.7	0.0	1454.8479
ncpi0	18255	1	359980	0	10.401	5.186	17	1535008	0	nu-candidate	15	1	1	1	0	1.612	47.5	39	69.759865	141.60233	309.06763	-0.552666	-4.300936	1.0	0.0	0.7	0.0	883.8919
ncpi0	18255	1	399860	0	13.926	8.729	20	1534636	0	nu-candidate	12	1	1	1	0	1.977	56.4	24	-30.896904	-83.8685	405.90094	0.11922408	4.300936	1.0	0.0	0.7	0.0	1410.8525
ncpi0	18255	1	463565	0	11.866	6.641	18	1535088	0	nu-candidate	11	1	1	1	0	1.366	58.2	46	46.3919	-134.36807	275.54782	-0.60861623	-4.300936	1.0	0.0	0.7	0.0	1630.7429
ncpi0	18255	1	506114	0	20.652	14.845	27	1535376	0	nu-candidate	13	1	1	1	0	1.722	93.0	49	118.14703	-13.734578	167.6085	-1.0198852	-15.0	1.0	0.0	0.7	0.0	2419.4644
ncpi0	18255	1	506746	0	13.572	8.441	20	1534976	0	nu-candidate	12	1	1	1	0	1.724	47.9	39	53.802834	-11.804842	40.628696	-0.50556254	-3.9390001	1.0	0.0	0.7	0.0	2427.289
ncpi0	18255	1	521075	0	11.288	6.094	18	1533388	0	nu-candidate	9	1	1	1	0	1.187	52.2	14	-87.48913	-35.401386	445.37714	-0.20210777	-15.0	1.0	0.0	0.7	0.0	885.24817
