sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	48301	0	13.742	0.934	21	1195244	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	48367	0	18.307	4.787	26	1534580	0	nu-candidate	15	1	1	1	0	1.098	165.2	27	-149.84152	-114.03252	221.46198	-0.46521118	-4.1006703	1.0	0.0	0.7	0.0	983.13477
mcp1k	18255	1	48565	0	17.933	1.170	25	1196352	0	no-bundle	12	0	1	0	0													
mcp1k	18255	1	48895	0	18.076	3.838	25	1527192	0	nu-candidate	12	1	1	1	0	1.442	168.9	7	-164.94785	-165.48457	185.39601	0.18866481	-15.0	1.0	1.0	0.7	0.0	534.64764
mcp1k	18255	1	49445	0	18.160	1.618	25	1194812	0	cosmic-tagged	14	1	1	0	1													
mcp1k	18255	1	49467	0	18.155	1.082	25	1198320	0	cosmic-tagged	14	1	1	0	1													
mcp1k	18255	1	49511	0	15.057	1.058	22	1198156	0	no-beam-flash	14	0	0	0	0													
mcp1k	18255	1	49709	0	17.929	1.223	25	1197752	0	no-beam-flash	12	0	0	0	0													
mcp1k	18255	1	49885	0	18.494	1.173	26	1193704	0	no-beam-flash	14	0	0	0	0													
mcp1k	18255	1	49951	0	17.603	2.862	25	1534360	0	nu-candidate	12	1	1	1	0	1.983	61.3	12	190.82352	173.82964	21.610138	2.1800091	-4.300936	1.0	0.0	0.7	0.0	577.94476
mcp1k	18255	1	50017	0	13.823	1.045	21	1199424	0	no-beam-flash	13	0	0	0	0													
mcp1k	18255	1	50303	0	18.006	2.874	25	1532996	0	nu-candidate	11	1	1	1	0	1.704	44.2	11	143.39905	35.91676	184.31253	-0.04106542	-15.0	1.0	0.0	0.7	0.0	406.9023
mcp1k	18255	1	50523	0	17.115	2.230	24	1198164	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	50743	0	17.343	2.696	25	1534500	0	nu-candidate	14	1	1	1	0	1.658	2.7	7	25.992485	79.01986	306.41455	-3.1206186	-15.0	1.0	0.0	0.7	0.0	15.692852
mcp1k	18255	1	50765	0	18.230	1.415	25	1197840	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18255	1	50787	0	15.037	1.014	22	1198448	0	cosmic-tagged	7	1	1	0	1													
mcp1k	18255	1	50809	0	18.142	1.159	25	1194744	0	no-beam-flash	13	0	0	0	0													
mcp1k	18255	1	50831	0	18.640	3.212	26	1530452	0	nu-candidate	12	1	1	1	0	1.904	18.7	10	-141.85948	-123.952415	411.8378	-2.2162342	-15.0	1.0	0.0	0.7	0.0	231.75134
mcp1k	18255	1	50919	0	16.874	1.097	24	1194032	0	nu-candidate	10	1	1	0	1													
mcp1k	18255	1	51051	0	18.677	4.607	26	1529132	0	nu-candidate	13	1	1	1	0	1.101	253.1	4	-17.53562	-33.838554	302.1518	2.425232	-15.0	1.0	0.0	0.7	0.0	810.8569
mcp1k	18255	1	51469	0	17.683	1.148	25	1198116	0	cosmic-tagged	15	1	1	0	1													
mcp1k	18255	1	51513	0	18.403	3.132	26	1535096	0	nu-candidate	12	1	1	1	0	1.499	74.5	7	44.651	46.28588	138.68678	2.163083	-15.0	1.0	1.0	0.7	0.0	473.33948
mcp1k	18255	1	51865	0	18.214	3.117	26	1532588	0	nu-candidate	9	1	1	1	0	1.330	2.8	7	-56.141663	114.45163	272.04486	-1.9662173	-15.0	1.0	0.0	0.7	0.0	107.83938
