sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18259	1	47036	0	13.277	1.024	14	381800	0	cosmic-tagged	9	1	1	0	0																		
mcp2k	18259	1	47058	0	18.110	6.338	19	1216980	0	nu-candidate	10	1	1	1	0	1.341	174.0	11	39.577236	119.27403	99.98794	2.2368555	-15.0	1.0	0.0	0.7	0.0	532.20294	144.96474	0.0	144.96474	5	6.485476
mcp2k	18259	1	47212	0	21.695	9.281	22	1264724	0	nu-candidate	16	1	1	1	0	1.192	77.0	46	-153.67476	-118.179855	204.30876	-0.5235454	-15.0	1.0	0.0	0.7	0.0	1412.8428	218.42676	218.42676	0.0	1	141.39046
mcp2k	18259	1	47278	0	18.077	6.180	19	1205360	0	nu-candidate	14	1	1	1	0	1.289	64.4	11	-84.475395	161.87952	202.8092	1.6434077	-15.0	1.0	0.0	0.7	0.0	775.22424	0.0	0.0	0.0	0	18.821634
mcp2k	18259	1	47608	0	13.287	0.933	14	374752	0	no-bundle	11	0	1	0	0																		
mcp2k	18259	1	47696	0	16.884	5.684	17	1180888	0	cosmic-tagged	8	1	1	1	0	0.929	21.1	9	143.75038	7.361813	402.05136	-1.118294	-1.1504549	1.0	0.0	0.7	0.0	113.84942	3.2647264	0.0	3.2647264	3	0.0
mcp2k	18259	1	47784	0	18.080	6.964	19	1196276	0	nu-candidate	12	1	1	1	0	1.970	227.7	6	56.31806	-76.38703	113.701004	4.0501394	-15.0	1.0	0.0	0.7	0.0	951.6444	38.461353	0.0	38.461353	6	0.0
mcp2k	18259	1	47894	0	16.936	5.068	18	1170304	0	nu-candidate	12	1	1	1	0	1.267	1.9	12	179.3178	-93.51188	29.797544	-1.7224336	-15.0	1.0	1.0	0.7	0.0	125.802734	0.0	0.0	0.0	0	17.707882
mcp2k	18259	1	47916	0	16.809	4.918	17	1153040	0	nu-candidate	9	1	1	1	0	1.954	26.9	1	39.64101	193.86523	262.53302	2.932961	-15.0	1.0	0.0	0.7	0.0	325.7196	1.2775278	0.0	1.2775278	1	0.0
mcp2k	18259	1	47982	0	13.244	0.912	14	350660	0	cosmic-tagged	10	1	1	0	0																		
mcp2k	18259	1	48246	0	14.365	1.447	15	410080	0	cosmic-tagged	10	1	1	0	0																		
mcp2k	18259	1	48444	0	14.352	1.282	15	407408	0	cosmic-tagged	8	1	1	0	0																		
mcp2k	18259	1	48488	0	20.487	7.660	21	1259892	0	nu-candidate	15	1	1	1	0	0.717	220.2	4	-184.67296	182.49231	202.38448	4.68775	-15.0	1.0	0.0	0.7	0.0	712.23065	2.3639276	0.0	2.3639276	2	3.942713
