evt	tag	sample	label_source	weight	route	cls1.0	d_prod1.0	cls1.5	d_prod1.5
10550	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	net-wrong	47.3650	net-wrong	47.3650
111412	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	candidate-missing	40.5331	candidate-missing	40.5331
131357	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
137238	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
163543	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	candidate-missing	37.4085	candidate-missing	37.4085
172230	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
174637	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
196649	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
214469	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
219295	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
235435	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	net-wrong	30.8199	net-wrong	30.8199
239794	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
246579	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
267597	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
268784	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
269774	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
30504	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-reject	candidate-missing	74.7539	candidate-missing	74.7539
342199	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
388	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
38856	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	net-wrong	22.8411	net-wrong	22.8411
42280	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
422851	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
433451	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
447477	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
469665	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	selection-wrong	1.4052	correct	1.4052
52672	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-reject	candidate-missing	30.6034	candidate-missing	30.6034
54095	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
69314	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
90055	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
105946	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
114446	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	correct	0.0000	correct	0.0000
142421	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
180801	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	selection-wrong	78.9615	selection-wrong	78.9615
21073	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
285567	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
314838	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
359980	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	net-wrong	27.0798	net-wrong	27.0798
37112	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	candidate-missing	2.0032	candidate-missing	2.0032
463565	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	correct	0.0000	correct	0.0000
506114	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
506746	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
521075	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
