evt	tag	sample	label_source	weight	route	cls1.0	d_prod1.0	cls1.5	d_prod1.5
10550	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	candidate-missing	47.2256	candidate-missing	47.2256
111412	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-reject	correct	0.8036	correct	0.8036
131357	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.7951	correct	0.7951
137238	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.4420	correct	0.4420
163543	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-reject	candidate-missing	32.6064	candidate-missing	32.6064
172230	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.2143	correct	0.2143
174637	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.1614	correct	0.1614
196649	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0000	correct	0.0000
214469	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0737	correct	0.0737
219295	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0852	correct	0.0852
235435	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.1847	correct	0.1847
239794	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.2997	correct	0.2997
246579	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.4114	correct	0.4114
267597	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.0331	correct	0.0331
268784	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.3983	correct	0.3983
269774	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.2721	correct	0.2721
30504	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-reject	candidate-missing	75.4739	candidate-missing	75.4739
342199	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.2344	correct	0.2344
388	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.6305	correct	0.6305
38856	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	candidate-missing	30.0743	candidate-missing	30.0743
42280	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.3036	correct	0.3036
422851	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.2937	correct	0.2937
433451	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.4089	correct	0.4089
447477	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.3314	correct	0.3314
469665	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.4393	correct	0.4393
52672	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-reject	net-wrong	3.8520	selection-wrong	3.8520
54095	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.3117	correct	0.3117
69314	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.2467	correct	0.2467
90055	vtxscan-vtx105-nuecc48	nuecc	human		dl-rerank-accept	correct	0.6331	correct	0.6331
105946	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
114446	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	correct	0.0000	correct	0.0000
142421	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.3114	correct	0.3114
180801	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	selection-wrong	77.2940	selection-wrong	77.2940
21073	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0542	correct	0.0542
285567	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.6978	correct	0.6978
314838	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.6895	correct	0.6895
359980	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	correct	0.4148	correct	0.4148
37112	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.5923	correct	0.5923
463565	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-reject	net-wrong	30.2195	net-wrong	30.2195
506114	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
506746	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.2055	correct	0.2055
521075	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.0000	correct	0.0000
56982	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	net-wrong	33.2068	net-wrong	33.2068
71372	vtxscan-vtx105-ncpi0	ncpi0	human		dl-rerank-accept	correct	0.7810	correct	0.7810
166738	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3379	correct	0.3379
167112	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2063	correct	0.2063
167684	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1307	correct	0.1307
168526	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2424	correct	0.2424
