evt	tag	newtag	verdict	dist_cm	old_vid	new_vid
52085	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.8625	6002	6002
59899	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.3717	5004	5003
61579	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.7367	20051	20051
61681	vtxscan-harv3-delta	vtxscan-vtx105-delta	loose	1.6972	None	2002
72586	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.0000	17000	17000
122660	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.2669	9013	9014
138009	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.9410	12117	12106
166870	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.6102	10001	10001
172832	vtxscan-harv3-delta	vtxscan-vtx105-delta	broken	9.3729	None	81033
268067	vtxscan-harv3-delta	vtxscan-vtx105-delta	loose	2.0229	15079	15077
278046	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.1551	3001	3001
283040	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.5587	2003	2003
283091	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.2589	24010	24010
284637	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.2549	23002	23002
286353	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.0000	9000	9000
291570	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.0000	17001	17001
320865	vtxscan-harv3-delta	vtxscan-vtx105-delta	loose	2.2909	None	13002
347129	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.6766	53030	53030
349945	vtxscan-harv3-delta	vtxscan-vtx105-delta	loose	1.4775	18003	18003
390842	vtxscan-harv3-delta	vtxscan-vtx105-delta	loose	2.0121	3001	3001
400474	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.2535	18156	18155
406796	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.8472	11001	11001
409546	vtxscan-harv3-delta	vtxscan-vtx105-delta	carried	0.0000	41016	41016
423981	vtxscan-harv3-delta	vtxscan-vtx105-delta	loose	1.1752	12099	12012
48367	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	19001	19001
48895	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0001	17001	17002
49951	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2180	16002	16002
50303	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.1080	12004	12004
50831	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3438	14002	14002
51051	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2519	19002	19002
51513	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5488	16002	16002
52657	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	23001	23001
52723	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7804	7001	7001
53361	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	78013	78013
53427	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2285	14002	14002
54175	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2884	18004	18002
54341	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3551	18002	18002
54351	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0773	17006	17006
55539	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	18001	18001
55595	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	2.5570	8004	8008
55627	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1758	22002	22002
55715	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1157	15002	15002
56211	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	11001	11001
56243	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1915	9002	9002
56463	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.0030	14002	14002
57441	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	20001	20001
