idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1666756	0	nan
1	6505	130	13	1559800	0	nan
2	6512	130	13	1488056	0	nan
3	6520	130	18	1530532	0	nan
4	6528	130	12	1658900	0	nan
5	6529	130	12	1585532	0	nan
6	6532	130	18	1992636	0	nan
7	6536	130	12	1611680	0	nan
8	6545	130	15	1695212	0	nan
9	6550	130	10	1453608	0	nan
10	6570	131	21	1931440	0	nan
11	6588	131	10	1476352	0	nan
12	6604	132	27	2153760	0	nan
13	6606	132	13	1753076	0	nan
14	6612	132	14	1850736	0	nan
15	6642	132	19	1935508	0	nan
16	6650	132	13	1758788	0	nan
17	6711	134	11	1512152	0	nan
18	6748	134	14	1554360	0	nan
19	6775	135	12	1526208	0	nan
20	6786	135	17	1877456	0	nan
21	6804	136	13	1593872	0	nan
22	6805	136	12	1722628	0	nan
23	6806	136	12	1814700	0	nan
24	6821	136	13	1557328	0	nan
25	6822	136	17	1924008	0	nan
26	6837	136	14	1864108	0	nan
27	6844	136	14	1767272	0	nan
28	6852	137	14	1607820	0	nan
29	6867	137	13	1589608	0	nan
30	6874	137	22	2053988	0	nan
31	6878	137	17	1704852	0	nan
32	6887	137	12	1526876	0	nan
33	6888	137	21	1945012	0	nan
34	6898	137	11	1526504	0	nan
