sample	run	subrun	event	origin	n_seg	n_shower	n_em	em_max	n_pio_groups	n_pio_showers	lossy_showers	pio_flag	kine_pio_mass	has_main	has_probe	bee_round	bee_url	dump	scan_note
nuecc48	18255	1	389538	nuecc	52	23	20	235.0	0	0	1	1	65.4	1	1	rescan13-current/rescan13-nuecc48	https://www.phy.bnl.gov/twister/bee/set/5af3d232-06d0-42d1-a6ce-881da2266a78/event/0/	work-pr132-flipchk98-nuecc48/pr_evt389538/calib-pr-evt389538.json	capture second neutrinos …
nuecc48	18255	1	235435	nuecc	19	8	7	133.3	0	0	0	1	50.1	1	1	rescan13-current/rescan13-nuecc48	https://www.phy.bnl.gov/twister/bee/set/5af3d232-06d0-42d1-a6ce-881da2266a78/event/1/	work-pr132-flipchk98-nuecc48/pr_evt235435/calib-pr-evt235435.json	pi0??
ncpi0	18255	1	506114	ncpi0	87	21	18	1715.0	1	2	0	1	87.9	1	1	rescan13-current/rescan13-ncpi0	https://www.phy.bnl.gov/twister/bee/set/b1fd3605-f60b-473c-810c-fe9b8bb589b5/event/0/	work-pr132-flipchk98-ncpi0/pr_evt506114/calib-pr-evt506114.json	incorrect pi0 pair
ncpi0	18364	1	84229	ncpi0	68	17	16	958.2	0	0	1	1	75.9	1	1	rescan13-current/rescan13-ncpi0	https://www.phy.bnl.gov/twister/bee/set/b1fd3605-f60b-473c-810c-fe9b8bb589b5/event/1/	work-pr132-flipchk98-ncpi0/pr_evt84229/calib-pr-evt84229.json	pi0 two gamma merged …
ncpi0	18259	1	37112	ncpi0	53	13	11	511.3	0	0	1	1	96.6	1	1	rescan13-current/rescan13-ncpi0	https://www.phy.bnl.gov/twister/bee/set/b1fd3605-f60b-473c-810c-fe9b8bb589b5/event/2/	work-pr132-flipchk98-ncpi0/pr_evt37112/calib-pr-evt37112.json	no pi0???
ncpi0	18255	1	142421	ncpi0	72	22	19	706.5	0	0	0	1	41.8	1	1	rescan13-current/rescan13-ncpi0	https://www.phy.bnl.gov/twister/bee/set/b1fd3605-f60b-473c-810c-fe9b8bb589b5/event/3/	work-pr132-flipchk98-ncpi0/pr_evt142421/calib-pr-evt142421.json	a major shower not tagged  (x, y, z) = (111.7, -74.4, 216.5) as shower …
nuecc48	18255	1	90055	nuecc	96	32	27	2080.9	0	0	0	1	16.8	1	1	rescan13-current/rescan13-nuecc48	https://www.phy.bnl.gov/twister/bee/set/5af3d232-06d0-42d1-a6ce-881da2266a78/event/2/	work-pr132-flipchk98-nuecc48/pr_evt90055/calib-pr-evt90055.json	shower stem got ided as proton
nuecc48	18306	1	256587	nuecc	151	39	37	3591.6	1	2	0	1	83.2	1	1	rescan13-current/rescan13-nuecc48	https://www.phy.bnl.gov/twister/bee/set/5af3d232-06d0-42d1-a6ce-881da2266a78/event/3/	work-pr132-flipchk98-nuecc48/pr_evt256587/calib-pr-evt256587.json	track arm got ided as electron
nuecc48	18255	1	269774	nuecc	134	16	15	1148.3	2	4	0	1	1444.0	1	1	rescan13-current/rescan13-nuecc48	https://www.phy.bnl.gov/twister/bee/set/5af3d232-06d0-42d1-a6ce-881da2266a78/event/4/	work-pr132-flipchk98-nuecc48/pr_evt269774/calib-pr-evt269774.json	multiple pi0
mcp1k	18259	1	169626	owner	44	8	6	537.1	0	0	0	2	145.8	1	1	rescan13-current/rescan13-mcp1k	https://www.phy.bnl.gov/twister/bee/set/d8583399-443e-47bf-a562-408659928b46/event/0/	work-pr132-flipchk98-mcp1k/pr_evt169626/calib-pr-evt169626.json	What is contained in the 567 MeV gamma, (x, y, z) = (-4.5, 157.5, 442.9) ???
mcp1k	18259	1	174752	owner	8	7	7	44.6	0	0	0	0	-1.0	1	1	rescan13-current/rescan13-mcp1k	https://www.phy.bnl.gov/twister/bee/set/d8583399-443e-47bf-a562-408659928b46/event/1/	work-pr132-flipchk98-mcp1k/pr_evt174752/calib-pr-evt174752.json	Why not a single electron??? Instead of e-g-e?
mcp1k	18255	1	347129	owner	19	10	10	143.2	0	0	0	0	-1.0	1	1	rescan13-current/rescan13-mcp1k	https://www.phy.bnl.gov/twister/bee/set/d8583399-443e-47bf-a562-408659928b46/event/2/	work-pr132-flipchk98-mcp1k/pr_evt347129/calib-pr-evt347129.json	Two EM showers, 4 gammas inside the electron
mcp1k	18255	1	394532	owner	16	3	3	154.1	0	0	0	1	89.4	1	1	rescan13-current/rescan13-mcp1k	https://www.phy.bnl.gov/twister/bee/set/d8583399-443e-47bf-a562-408659928b46/event/3/	work-pr132-flipchk98-mcp1k/pr_evt394532/calib-pr-evt394532.json	One big EM shower???
