sample	run	subrun	event	dump
ncpi0	18345	1	21073	work-pr124r1-onA98-ncpi0/pr_evt21073/calib-pr-evt21073.json
mcp2k	18259	1	47212	work-pr124r1-onA98-mcp2k/pr_evt47212/calib-pr-evt47212.json
mcp2k	18255	1	54332	work-pr124r1-onA98-mcp2k/pr_evt54332/calib-pr-evt54332.json
mcp1k	18255	1	64591	work-pr124r1-onA98-mcp1k/pr_evt64591/calib-pr-evt64591.json
ncpi0	18255	1	71372	work-pr124r1-onA98-ncpi0/pr_evt71372/calib-pr-evt71372.json
mcp2k	18255	1	76346	work-pr124r1-onA98-mcp2k/pr_evt76346/calib-pr-evt76346.json
mcp2k	18255	1	99838	work-pr124r1-onA98-mcp2k/pr_evt99838/calib-pr-evt99838.json
ncpi0	18259	1	105946	work-pr124r1-onA98-ncpi0/pr_evt105946/calib-pr-evt105946.json
mcp1k	18259	1	166870	work-pr124r1-onA98-mcp1k/pr_evt166870/calib-pr-evt166870.json
mcp1k	18259	1	169356	work-pr124r1-onA98-mcp1k/pr_evt169356/calib-pr-evt169356.json
mcp1k	18259	1	169626	work-pr124r1-onA98-mcp1k/pr_evt169626/calib-pr-evt169626.json
mcp2k	18259	1	173093	work-pr124r1-onA98-mcp2k/pr_evt173093/calib-pr-evt173093.json
nuecc48	18255	1	269774	work-pr124r1-onA98-nuecc48/pr_evt269774/calib-pr-evt269774.json
mcp1k	18255	1	278794	work-pr124r1-onA98-mcp1k/pr_evt278794/calib-pr-evt278794.json
mcp2k	18255	1	281165	work-pr124r1-onA98-mcp2k/pr_evt281165/calib-pr-evt281165.json
mcp1k	18255	1	281485	work-pr124r1-onA98-mcp1k/pr_evt281485/calib-pr-evt281485.json
mcp1k	18255	1	281639	work-pr124r1-onA98-mcp1k/pr_evt281639/calib-pr-evt281639.json
mcp1k	18255	1	284235	work-pr124r1-onA98-mcp1k/pr_evt284235/calib-pr-evt284235.json
ncpi0	18261	1	285567	work-pr124r1-onA98-ncpi0/pr_evt285567/calib-pr-evt285567.json
nuecc48	18269	1	342199	work-pr124r1-onA98-nuecc48/pr_evt342199/calib-pr-evt342199.json
mcp1k	18255	1	347129	work-pr124r1-onA98-mcp1k/pr_evt347129/calib-pr-evt347129.json
ncpi0	18255	1	359980	work-pr124r1-onA98-ncpi0/pr_evt359980/calib-pr-evt359980.json
mcp1k	18255	1	399052	work-pr124r1-onA98-mcp1k/pr_evt399052/calib-pr-evt399052.json
mcp1k	18255	1	409634	work-pr124r1-onA98-mcp1k/pr_evt409634/calib-pr-evt409634.json
ncpi0	18255	1	506114	work-pr124r1-onA98-ncpi0/pr_evt506114/calib-pr-evt506114.json
ncpi0	18255	1	506746	work-pr124r1-onA98-ncpi0/pr_evt506746/calib-pr-evt506746.json
mcp2k	18255	1	52044	work-pr124r1-onA141v2-mcp2k/pr_evt52044/calib-pr-evt52044.json
mcp1k	18255	1	54341	work-pr124r1-onA141v2-mcp1k/pr_evt54341/calib-pr-evt54341.json
mcp1k	18255	1	56243	work-pr124r1-onA141v2-mcp1k/pr_evt56243/calib-pr-evt56243.json
mcp2k	18255	1	57709	work-pr124r1-onA141v2-mcp2k/pr_evt57709/calib-pr-evt57709.json
mcp1k	18259	1	71178	work-pr124r1-onA141v2-mcp1k/pr_evt71178/calib-pr-evt71178.json
mcp2k	18255	1	71872	work-pr124r1-onA141v2-mcp2k/pr_evt71872/calib-pr-evt71872.json
mcp2k	18255	1	74123	work-pr124r1-onA141v2-mcp2k/pr_evt74123/calib-pr-evt74123.json
mcp2k	18255	1	91917	work-pr124r1-onA141v2-mcp2k/pr_evt91917/calib-pr-evt91917.json
mcp2k	18259	1	99782	work-pr124r1-onA141v2-mcp2k/pr_evt99782/calib-pr-evt99782.json
mcp2k	18255	1	103798	work-pr124r1-onA141v2-mcp2k/pr_evt103798/calib-pr-evt103798.json
mcp1k	18259	1	168432	work-pr124r1-onA141v2-mcp1k/pr_evt168432/calib-pr-evt168432.json
mcp2k	18259	1	171729	work-pr124r1-onA141v2-mcp2k/pr_evt171729/calib-pr-evt171729.json
mcp2k	18259	1	242726	work-pr124r1-onA141v2-mcp2k/pr_evt242726/calib-pr-evt242726.json
mcp2k	18255	1	280159	work-pr124r1-onA141v2-mcp2k/pr_evt280159/calib-pr-evt280159.json
mcp1k	18255	1	283713	work-pr124r1-onA141v2-mcp1k/pr_evt283713/calib-pr-evt283713.json
mcp1k	18255	1	285443	work-pr124r1-onA141v2-mcp1k/pr_evt285443/calib-pr-evt285443.json
mcp1k	18255	1	292027	work-pr124r1-onA141v2-mcp1k/pr_evt292027/calib-pr-evt292027.json
mcp2k	18255	1	292524	work-pr124r1-onA141v2-mcp2k/pr_evt292524/calib-pr-evt292524.json
mcp2k	18255	1	347824	work-pr124r1-onA141v2-mcp2k/pr_evt347824/calib-pr-evt347824.json
mcp1k	18255	1	399118	work-pr124r1-onA141v2-mcp1k/pr_evt399118/calib-pr-evt399118.json
mcp1k	18255	1	400504	work-pr124r1-onA141v2-mcp1k/pr_evt400504/calib-pr-evt400504.json
mcp2k	18255	1	403023	work-pr124r1-onA141v2-mcp2k/pr_evt403023/calib-pr-evt403023.json
mcp1k	18255	1	489327	work-pr124r1-onA141v2-mcp1k/pr_evt489327/calib-pr-evt489327.json
mcp2k	18255	1	499577	work-pr124r1-onA141v2-mcp2k/pr_evt499577/calib-pr-evt499577.json
