sample	run	subrun	event	dump
nuecc48	18255	1	388	work-pr142probe-empre-nuecc48/pr_evt388/calib-pr-evt388.json
nuecc48	18255	1	10550	work-pr142probe-empre-nuecc48/pr_evt10550/calib-pr-evt10550.json
ncpi0	18259	1	18625	work-pr142probe-empre-ncpi0/pr_evt18625/calib-pr-evt18625.json
ncpi0	18345	1	21073	work-pr142probe-empre-ncpi0/pr_evt21073/calib-pr-evt21073.json
nuecc48	18342	1	30504	work-pr142probe-empre-nuecc48/pr_evt30504/calib-pr-evt30504.json
ncpi0	18259	1	37112	work-pr142probe-empre-ncpi0/pr_evt37112/calib-pr-evt37112.json
nuecc48	18304	1	38856	work-pr142probe-empre-nuecc48/pr_evt38856/calib-pr-evt38856.json
nuecc48	18259	1	42280	work-pr142probe-empre-nuecc48/pr_evt42280/calib-pr-evt42280.json
nuecc48	18255	1	46363	work-pr142probe-empre-nuecc48/pr_evt46363/calib-pr-evt46363.json
mcp2k	18259	1	47212	work-pr142probe-empre-mcp2k/pr_evt47212/calib-pr-evt47212.json
mcp2k	0	0	47696	work-pr142probe-empre-mcp2k/pr_evt47696/calib-pr-evt47696.json
mcp2k	0	0	51546	work-pr142probe-empre-mcp2k/pr_evt51546/calib-pr-evt51546.json
mcp2k	0	0	52044	work-pr142probe-empre-mcp2k/pr_evt52044/calib-pr-evt52044.json
mcp2k	0	0	52605	work-pr142probe-empre-mcp2k/pr_evt52605/calib-pr-evt52605.json
nuecc48	18259	1	52672	work-pr142probe-empre-nuecc48/pr_evt52672/calib-pr-evt52672.json
mcp2k	0	0	52693	work-pr142probe-empre-mcp2k/pr_evt52693/calib-pr-evt52693.json
mcp2k	0	0	53658	work-pr142probe-empre-mcp2k/pr_evt53658/calib-pr-evt53658.json
nuecc48	18259	1	54095	work-pr142probe-empre-nuecc48/pr_evt54095/calib-pr-evt54095.json
mcp2k	18255	1	54332	work-pr142probe-empre-mcp2k/pr_evt54332/calib-pr-evt54332.json
mcp1k	0	0	54341	work-pr142probe-empre-mcp1k/pr_evt54341/calib-pr-evt54341.json
mcp2k	0	0	54453	work-pr142probe-empre-mcp2k/pr_evt54453/calib-pr-evt54453.json
mcp2k	0	0	55740	work-pr142probe-empre-mcp2k/pr_evt55740/calib-pr-evt55740.json
mcp1k	0	0	56243	work-pr142probe-empre-mcp1k/pr_evt56243/calib-pr-evt56243.json
mcp2k	0	0	56972	work-pr142probe-empre-mcp2k/pr_evt56972/calib-pr-evt56972.json
ncpi0	18255	1	56982	work-pr142probe-empre-ncpi0/pr_evt56982/calib-pr-evt56982.json
mcp2k	0	0	57709	work-pr142probe-empre-mcp2k/pr_evt57709/calib-pr-evt57709.json
mcp2k	0	0	58006	work-pr142probe-empre-mcp2k/pr_evt58006/calib-pr-evt58006.json
mcp1k	0	0	58755	work-pr142probe-empre-mcp1k/pr_evt58755/calib-pr-evt58755.json
mcp1k	0	0	59085	work-pr142probe-empre-mcp1k/pr_evt59085/calib-pr-evt59085.json
mcp1k	0	0	64409	work-pr142probe-empre-mcp1k/pr_evt64409/calib-pr-evt64409.json
mcp1k	18255	1	64591	work-pr142probe-empre-mcp1k/pr_evt64591/calib-pr-evt64591.json
mcp1k	0	0	65053	work-pr142probe-empre-mcp1k/pr_evt65053/calib-pr-evt65053.json
mcp1k	0	0	67394	work-pr142probe-empre-mcp1k/pr_evt67394/calib-pr-evt67394.json
mcp2k	0	0	69232	work-pr142probe-empre-mcp2k/pr_evt69232/calib-pr-evt69232.json
mcp2k	0	0	69254	work-pr142probe-empre-mcp2k/pr_evt69254/calib-pr-evt69254.json
nuecc48	18255	1	69314	work-pr142probe-empre-nuecc48/pr_evt69314/calib-pr-evt69314.json
mcp1k	0	0	71178	work-pr142probe-empre-mcp1k/pr_evt71178/calib-pr-evt71178.json
ncpi0	18255	1	71372	work-pr142probe-empre-ncpi0/pr_evt71372/calib-pr-evt71372.json
mcp2k	0	0	71642	work-pr142probe-empre-mcp2k/pr_evt71642/calib-pr-evt71642.json
mcp2k	0	0	71872	work-pr142probe-empre-mcp2k/pr_evt71872/calib-pr-evt71872.json
mcp2k	0	0	72786	work-pr142probe-empre-mcp2k/pr_evt72786/calib-pr-evt72786.json
mcp2k	0	0	74123	work-pr142probe-empre-mcp2k/pr_evt74123/calib-pr-evt74123.json
mcp2k	0	0	74326	work-pr142probe-empre-mcp2k/pr_evt74326/calib-pr-evt74326.json
nuecc48	18259	1	74544	work-pr142probe-empre-nuecc48/pr_evt74544/calib-pr-evt74544.json
mcp2k	0	0	75954	work-pr142probe-empre-mcp2k/pr_evt75954/calib-pr-evt75954.json
mcp2k	18255	1	76346	work-pr142probe-empre-mcp2k/pr_evt76346/calib-pr-evt76346.json
mcp2k	18255	1	76350	work-pr142probe-empre-mcp2k/pr_evt76350/calib-pr-evt76350.json
mcp2k	0	0	77328	work-pr142probe-empre-mcp2k/pr_evt77328/calib-pr-evt77328.json
nuecc48	18313	1	81597	work-pr142probe-empre-nuecc48/pr_evt81597/calib-pr-evt81597.json
ncpi0	18364	1	84229	work-pr142probe-empre-ncpi0/pr_evt84229/calib-pr-evt84229.json
nuecc48	18255	1	90055	work-pr142probe-empre-nuecc48/pr_evt90055/calib-pr-evt90055.json
mcp2k	0	0	91917	work-pr142probe-empre-mcp2k/pr_evt91917/calib-pr-evt91917.json
mcp2k	0	0	94224	work-pr142probe-empre-mcp2k/pr_evt94224/calib-pr-evt94224.json
mcp2k	0	0	94392	work-pr142probe-empre-mcp2k/pr_evt94392/calib-pr-evt94392.json
mcp2k	0	0	95151	work-pr142probe-empre-mcp2k/pr_evt95151/calib-pr-evt95151.json
mcp2k	0	0	96383	work-pr142probe-empre-mcp2k/pr_evt96383/calib-pr-evt96383.json
mcp2k	0	0	98844	work-pr142probe-empre-mcp2k/pr_evt98844/calib-pr-evt98844.json
