sample	run	subrun	event	origin	n_seg	n_shower	n_em	em_max	n_pio_groups	n_pio_showers	lossy_showers	pio_flag	kine_pio_mass	has_main	has_probe	bee_round	bee_url	dump	scan_note
mcp1k	18255	1	54341	other_em	38	18	16	242.5	0	0	0	1	4.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt54341/calib-pr-evt54341.json	
mcp1k	18255	1	56243	numucc_em	32	18	16	120.1	0	0	0	1	165.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt56243/calib-pr-evt56243.json	
mcp1k	18255	1	58755	nuecc	19	11	10	120.8	0	0	0	1	49.5	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt58755/calib-pr-evt58755.json	
mcp1k	18255	1	59085	other_em	7	3	2	100.0	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt59085/calib-pr-evt59085.json	
mcp1k	18255	1	64409	nuecc	48	15	14	801.3	0	0	0	1	392.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt64409/calib-pr-evt64409.json	
mcp1k	18255	1	65053	numucc_em	12	6	6	113.7	0	0	0	1	22.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt65053/calib-pr-evt65053.json	
mcp1k	18259	1	67394	nuecc	28	11	9	215.3	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt67394/calib-pr-evt67394.json	
mcp1k	18259	1	71178	other_em	22	11	11	106.7	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt71178/calib-pr-evt71178.json	
mcp1k	18259	1	168432	numucc_em	16	6	6	259.1	0	0	0	1	58.5	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt168432/calib-pr-evt168432.json	
mcp1k	18259	1	170808	numucc_em	20	9	6	298.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt170808/calib-pr-evt170808.json	
mcp1k	18259	1	172266	numucc_em	24	17	17	129.2	0	0	0	1	67.1	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt172266/calib-pr-evt172266.json	
mcp1k	18259	1	175896	nuecc	19	9	9	253.9	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt175896/calib-pr-evt175896.json	
mcp1k	18255	1	277298	nuecc	13	10	10	133.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt277298/calib-pr-evt277298.json	
mcp1k	18255	1	278420	numucc_em	39	11	11	129.2	1	2	0	1	14.5	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt278420/calib-pr-evt278420.json	
mcp1k	18255	1	280972	numucc_em	88	14	14	949.6	0	0	1	1	453.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt280972/calib-pr-evt280972.json	
mcp1k	18255	1	282979	nuecc	37	23	21	309.6	0	0	0	1	48.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt282979/calib-pr-evt282979.json	
mcp1k	18255	1	283515	other_em	30	10	8	103.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt283515/calib-pr-evt283515.json	
mcp1k	18255	1	283713	numucc_em	40	17	12	163.9	1	2	0	1	94.8	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt283713/calib-pr-evt283713.json	
mcp1k	18255	1	284200	other_em	27	12	11	183.5	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt284200/calib-pr-evt284200.json	
mcp1k	18255	1	284791	numucc_em	21	10	9	132.9	0	0	0	1	35.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt284791/calib-pr-evt284791.json	
mcp1k	18255	1	285443	numucc_em	29	11	10	281.3	0	0	0	1	161.5	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt285443/calib-pr-evt285443.json	
mcp1k	18255	1	286655	nuecc	28	9	9	295.0	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt286655/calib-pr-evt286655.json	
mcp1k	18255	1	286681	other_em	40	20	18	173.6	0	0	0	1	16.6	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt286681/calib-pr-evt286681.json	
mcp1k	18255	1	287007	numucc_em	27	22	19	163.1	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt287007/calib-pr-evt287007.json	
mcp1k	18255	1	287654	other_em	19	4	3	152.9	0	0	0	1	26.1	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt287654/calib-pr-evt287654.json	
mcp1k	18255	1	287830	numucc_em	35	15	12	164.0	1	2	0	1	142.7	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt287830/calib-pr-evt287830.json	
mcp1k	18255	1	292005	numucc_em	21	17	15	124.3	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt292005/calib-pr-evt292005.json	
mcp1k	18255	1	292027	numucc_em	26	11	8	259.1	1	2	0	1	154.7	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt292027/calib-pr-evt292027.json	
mcp1k	18255	1	292643	numucc_em	25	13	13	155.0	1	2	0	1	150.6	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt292643/calib-pr-evt292643.json	
mcp1k	18255	1	293149	nuecc	26	14	13	269.4	0	0	0	1	51.3	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt293149/calib-pr-evt293149.json	
mcp1k	18255	1	313781	nuecc	7	6	6	102.7	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt313781/calib-pr-evt313781.json	
mcp1k	18255	1	317939	numucc_em	37	6	4	417.9	0	0	0	1	253.1	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt317939/calib-pr-evt317939.json	
mcp1k	18255	1	321767	numucc_em	25	19	14	228.2	0	0	0	1	10.4	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt321767/calib-pr-evt321767.json	
mcp1k	18255	1	347085	numucc_em	35	15	13	268.1	1	2	0	1	154.7	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt347085/calib-pr-evt347085.json	
mcp1k	18255	1	348471	numucc_em	29	9	8	352.6	1	2	0	1	222.3	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt348471/calib-pr-evt348471.json	
mcp1k	18255	1	348691	numucc_em	58	26	22	319.7	1	2	0	1	275.4	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt348691/calib-pr-evt348691.json	
mcp1k	18255	1	349549	numucc_em	50	13	12	436.7	0	0	0	1	219.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt349549/calib-pr-evt349549.json	
mcp1k	18255	1	350121	numucc_em	30	23	19	244.3	0	0	0	1	46.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt350121/calib-pr-evt350121.json	
mcp1k	18255	1	386442	nuecc	22	19	18	236.3	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt386442/calib-pr-evt386442.json	
mcp1k	18255	1	386948	nuecc	53	16	15	544.9	0	0	0	1	90.8	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt386948/calib-pr-evt386948.json	
mcp1k	18255	1	390182	other_em	15	7	7	130.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt390182/calib-pr-evt390182.json	
mcp1k	18255	1	393212	other_em	39	16	13	295.7	0	0	0	1	46.8	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt393212/calib-pr-evt393212.json	
mcp1k	18255	1	399118	numucc_em	25	13	9	130.5	1	2	0	1	141.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt399118/calib-pr-evt399118.json	
mcp1k	18255	1	400504	numucc_em	12	3	2	153.5	1	2	0	1	145.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt400504/calib-pr-evt400504.json	
mcp1k	18255	1	401450	nuecc	72	25	21	1155.6	0	0	1	1	645.9	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt401450/calib-pr-evt401450.json	
mcp1k	18255	1	407918	numucc_em	20	12	12	174.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt407918/calib-pr-evt407918.json	
mcp1k	18255	1	410008	numucc_em	29	20	17	143.2	0	0	1	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt410008/calib-pr-evt410008.json	
mcp1k	18255	1	486247	numucc_em	11	7	7	118.6	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt486247/calib-pr-evt486247.json	
mcp1k	18255	1	486687	numucc_em	40	21	18	244.8	0	0	0	1	162.2	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt486687/calib-pr-evt486687.json	
mcp1k	18255	1	486907	other_em	39	15	13	454.3	0	0	0	1	177.2	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt486907/calib-pr-evt486907.json	
mcp1k	18255	1	487853	other_em	14	12	11	145.1	0	0	0	0	-1.0	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt487853/calib-pr-evt487853.json	
mcp1k	18255	1	489327	numucc_em	30	3	3	362.3	1	2	0	1	126.7	1	1	em114c/em114c-mcp1k		work-mcp1k-prod0825/pr_evt489327/calib-pr-evt489327.json	
mcp2k	18259	1	47696	nuecc	10	8	6	103.9	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt47696/calib-pr-evt47696.json	
mcp2k	18259	1	51546	numucc_em	20	8	6	181.7	0	0	0	1	52.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt51546/calib-pr-evt51546.json	
mcp2k	18255	1	52044	numucc_em	29	15	14	103.5	1	2	0	1	122.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt52044/calib-pr-evt52044.json	
mcp2k	18255	1	52605	nuecc	15	7	6	135.5	0	0	0	1	38.7	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt52605/calib-pr-evt52605.json	
mcp2k	18255	1	52693	numucc_em	20	6	5	183.0	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt52693/calib-pr-evt52693.json	
mcp2k	18259	1	53658	other_em	10	8	8	129.6	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt53658/calib-pr-evt53658.json	
mcp2k	18255	1	54453	numucc_em	47	32	30	198.8	0	0	0	1	12.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt54453/calib-pr-evt54453.json	
mcp2k	18255	1	55740	numucc_em	25	15	12	108.6	0	0	0	1	10.2	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt55740/calib-pr-evt55740.json	
mcp2k	18255	1	56972	nuecc	13	7	7	312.5	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt56972/calib-pr-evt56972.json	
mcp2k	18255	1	57709	other_em	26	12	12	211.6	0	0	0	1	161.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt57709/calib-pr-evt57709.json	
mcp2k	18255	1	58006	numucc_em	30	20	17	162.2	0	0	0	1	65.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt58006/calib-pr-evt58006.json	
