sample	run	subrun	event	origin	n_seg	n_shower	n_em	em_max	n_pio_groups	n_pio_showers	lossy_showers	pio_flag	kine_pio_mass	has_main	has_probe	bee_round	bee_url	dump
mcp1k	18255	1	64591	ncpi0	32	12	11	298.1	1	2	0	1	149.6	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/0/	work-mcp1k-prod0825/pr_evt64591/calib-pr-evt64591.json
mcp1k	18259	1	166870	ncpi0	32	14	10	173.8	1	2	0	1	329.7	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/1/	work-mcp1k-prod0825/pr_evt166870/calib-pr-evt166870.json
mcp1k	18259	1	169356	ncpi0	26	16	14	100.2	1	2	0	1	138.1	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/2/	work-mcp1k-prod0825/pr_evt169356/calib-pr-evt169356.json
mcp1k	18259	1	172942	ncpi0	20	5	4	368.8	1	2	0	1	101.8	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/3/	work-mcp1k-prod0825/pr_evt172942/calib-pr-evt172942.json
mcp1k	18255	1	278794	ncpi0	37	17	16	200.4	1	2	0	1	159.1	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/4/	work-mcp1k-prod0825/pr_evt278794/calib-pr-evt278794.json
mcp1k	18255	1	281485	ncpi0	48	20	19	164.7	1	2	0	1	208.4	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/5/	work-mcp1k-prod0825/pr_evt281485/calib-pr-evt281485.json
mcp1k	18255	1	281639	ncpi0	20	8	8	149.7	1	2	0	1	128.1	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/6/	work-mcp1k-prod0825/pr_evt281639/calib-pr-evt281639.json
mcp1k	18255	1	284235	ncpi0	22	10	9	133.6	1	2	0	1	146.5	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/7/	work-mcp1k-prod0825/pr_evt284235/calib-pr-evt284235.json
mcp1k	18255	1	399052	ncpi0	28	9	7	399.5	1	2	0	1	159.0	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/8/	work-mcp1k-prod0825/pr_evt399052/calib-pr-evt399052.json
mcp1k	18255	1	409634	ncpi0	24	5	5	180.6	1	2	0	1	103.9	1	1	em114/em114-mcp1k	https://www.phy.bnl.gov/twister/bee/set/cf0a22d0-7e8b-4d62-a4af-90b953ef974d/event/9/	work-mcp1k-prod0825/pr_evt409634/calib-pr-evt409634.json
mcp2k	18259	1	47212	ncpi0	72	28	23	671.4	1	2	0	1	764.5	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/0/	work-mcp2k-prod0825/pr_evt47212/calib-pr-evt47212.json
mcp2k	18255	1	54332	ncpi0	73	34	31	336.3	2	4	0	1	133.7	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/1/	work-mcp2k-prod0825/pr_evt54332/calib-pr-evt54332.json
mcp2k	18255	1	76346	ncpi0	23	11	9	246.7	1	2	0	1	158.1	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/2/	work-mcp2k-prod0825/pr_evt76346/calib-pr-evt76346.json
mcp2k	18255	1	76350	ncpi0	62	22	17	905.2	1	2	2	1	325.6	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/3/	work-mcp2k-prod0825/pr_evt76350/calib-pr-evt76350.json
mcp2k	18255	1	99838	ncpi0	32	10	9	118.3	1	2	0	1	125.8	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/4/	work-mcp2k-prod0825/pr_evt99838/calib-pr-evt99838.json
mcp2k	18259	1	165157	ncpi0	33	19	17	162.3	1	2	1	1	130.2	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/5/	work-mcp2k-prod0825/pr_evt165157/calib-pr-evt165157.json
mcp2k	18259	1	173093	ncpi0	33	13	12	221.8	1	2	0	1	17.1	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/6/	work-mcp2k-prod0825/pr_evt173093/calib-pr-evt173093.json
mcp2k	18259	1	176502	ncpi0	165	28	25	3464.6	3	6	0	1	1166.2	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/7/	work-mcp2k-prod0825/pr_evt176502/calib-pr-evt176502.json
mcp2k	18259	1	176986	ncpi0	35	12	11	173.8	1	2	0	1	111.1	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/8/	work-mcp2k-prod0825/pr_evt176986/calib-pr-evt176986.json
mcp2k	18255	1	281165	ncpi0	29	14	12	159.6	1	2	0	1	148.1	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/9/	work-mcp2k-prod0825/pr_evt281165/calib-pr-evt281165.json
mcp2k	18255	1	281567	ncpi0	119	26	23	678.8	2	4	0	1	526.2	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/10/	work-mcp2k-prod0825/pr_evt281567/calib-pr-evt281567.json
mcp2k	18255	1	281781	ncpi0	70	41	30	437.5	1	2	0	1	129.6	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/11/	work-mcp2k-prod0825/pr_evt281781/calib-pr-evt281781.json
