idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1963904	0	nan
1	6505	130	12	1869016	0	nan
2	6512	130	13	1792692	0	nan
3	6520	130	16	1839304	0	nan
4	6528	130	12	1957388	0	nan
5	6529	130	11	1892596	0	nan
6	6532	130	18	2207544	0	nan
7	6536	130	11	1903936	0	nan
8	6545	130	14	1960528	0	nan
9	6550	130	10	1739404	0	nan
10	6570	131	21	2167440	0	nan
11	6588	131	10	1782964	0	nan
12	6604	132	25	2302684	0	nan
13	6606	132	12	2057008	0	nan
14	6612	132	14	2159468	0	nan
15	6642	132	17	2188952	0	nan
16	6650	132	13	2103392	0	nan
17	6711	134	11	1837192	0	nan
18	6748	134	13	1848112	0	nan
19	6775	135	11	1829764	0	nan
20	6786	135	18	2075172	0	nan
21	6804	136	13	1897860	0	nan
22	6805	136	12	2017716	0	nan
23	6806	136	12	2089832	0	nan
24	6821	136	12	1857420	0	nan
25	6822	136	16	2238220	0	nan
26	6837	136	13	2150260	0	nan
27	6844	136	13	2084776	0	nan
28	6852	137	13	1923444	0	nan
29	6867	137	12	1852764	0	nan
30	6874	137	22	2240844	0	nan
31	6878	137	17	2014784	0	nan
32	6887	137	11	1846236	0	nan
33	6888	137	21	2129300	0	nan
34	6898	137	11	1820656	0	nan
