arm	evt	ks1	ratio3	any_stm
work-mcp1k-d94probe	167200	0.03	1.051	1
work-mcp1k-d94probe	167398	0.031	1.084	1
work-mcp1k-d94probe	171050	0.02	1.096	1
work-mcp1k-d94probe	174642	0.022	0.816	1
work-mcp1k-d94probe	175428	0.034	0.563	1
work-mcp1k-d94probe	176022	0.013	0.933	1
work-mcp1k-d94probe	176160	0.028	0.547	1
work-mcp1k-d94probe	277958	0.02	0.727	1
work-mcp1k-d94probe	280092	0.018	0.516	1
work-mcp1k-d94probe	281095	0.023	1.076	1
work-mcp1k-d94probe	281148	0.017	1.026	1
work-mcp1k-d94probe	281551	0.028	1.084	1
work-mcp1k-d94probe	282033	0.021	1.058	1
work-mcp1k-d94probe	283817	0.015	1.038	1
work-mcp1k-d94probe	283839	0.019	1.05	1
work-mcp1k-d94probe	284367	0.039	1.045	1
work-mcp1k-d94probe	285080	0.02	1.033	1
work-mcp1k-d94probe	285185	0.013	0.78	1
work-mcp1k-d94probe	285795	0.037	0.471	1
work-mcp1k-d94probe	285999	0.03	0.973	1
work-mcp1k-d94probe	286065	0.033	0.985	1
work-mcp1k-d94probe	286329	0.022	0.862	1
work-mcp1k-d94probe	286631	0.022	1.096	1
work-mcp1k-d94probe	287007	0.02	0.993	1
work-mcp1k-d94probe	287181	0.025	1.088	1
work-mcp1k-d94probe	288358	0.038	1.017	1
work-mcp1k-d94probe	288639	0.031	1.099	0
work-mcp1k-d94probe	289647	0.025	1.1	1
work-mcp1k-d94probe	290316	0.02	0.65	1
work-mcp1k-d94probe	291768	0.01	1.035	1
work-mcp1k-d94probe	292450	0.033	0.943	1
work-mcp1k-d94probe	292797	0.036	1.02	1
work-mcp1k-d94probe	315409	0.021	0.559	1
work-mcp1k-d94probe	350099	0.021	0.715	1
work-mcp1k-d94probe	351617	0.014	0.42	0
work-mcp1k-d94probe	351815	0.027	1.071	1
work-mcp1k-d94probe	353487	0.015	0.805	1
work-mcp1k-d94probe	388884	0.035	1.09	1
work-mcp1k-d94probe	392112	0.021	1.096	1
work-mcp1k-d94probe	392184	0.013	0.646	1
work-mcp1k-d94probe	392338	0.023	1.042	1
work-mcp1k-d94probe	393542	0.016	0.685	1
work-mcp1k-d94probe	394488	0.023	1.093	1
work-mcp1k-d94probe	394906	0.022	0.603	1
work-mcp1k-d94probe	395148	0.009	0.951	1
work-mcp1k-d94probe	397392	0.034	1.016	1
work-mcp1k-d94probe	397568	0.02	0.562	1
work-mcp1k-d94probe	399042	0.018	1.072	1
work-mcp1k-d94probe	399284	0.011	1.044	1
work-mcp1k-d94probe	400174	0.025	1.091	1
work-mcp1k-d94probe	401450	0.016	1.056	1
work-mcp1k-d94probe	402484	0.015	1.077	0
work-mcp1k-d94probe	403958	0.034	0.798	1
work-mcp1k-d94probe	404816	0.02	1.051	1
work-mcp1k-d94probe	48301	0.014	1.09	1
work-mcp1k-d94probe	486049	0.011	0.913	1
work-mcp1k-d94probe	486907	0.031	0.566	1
work-mcp1k-d94probe	489811	0.036	1.034	1
work-mcp1k-d94probe	492891	0.026	1.032	1
work-mcp1k-d94probe	50765	0.03	1.076	1
work-mcp1k-d94probe	50787	0.03	1.096	1
work-mcp1k-d94probe	56387	0.016	1.001	1
work-mcp1k-d94probe	58343	0.015	1.1	1
work-mcp1k-d94probe	58711	0.019	0.992	1
work-mcp1k-d94probe	59459	0.018	1.085	1
work-mcp1k-d94probe	59863	0.021	0.603	1
work-mcp1k-d94probe	61093	0.016	0.683	1
work-mcp1k-d94probe	62019	0.019	1.003	1
work-mcp1k-d94probe	62303	0.025	0.635	1
work-mcp1k-d94probe	62473	0.033	0.829	1
work-mcp1k-d94probe	62943	0.015	0.975	1
work-mcp1k-d94probe	62979	0.017	0.887	1
work-mcp1k-d94probe	65289	0.029	0.464	1
work-mcp1k-d94probe	65647	0.023	0.958	1
work-mcp1k-d94probe	66624	0.017	1.007	1
work-mcp1k-d94probe	66822	0.012	1.091	1
work-mcp1k-d94probe	68054	0.02	1.073	1
work-mcp1k-d94probe	68956	0.012	0.574	1
work-mcp1k-d94probe	69066	0.023	1.048	1
work-mcp1k-d94probe	71486	0.018	0.649	1
work-mcp2k-d94probe	100032	0.021	1.0	1
work-mcp2k-d94probe	100190	0.033	0.535	1
work-mcp2k-d94probe	100200	0.018	0.99	1
work-mcp2k-d94probe	102082	0.019	1.089	1
work-mcp2k-d94probe	104260	0.033	0.597	1
work-mcp2k-d94probe	105404	0.037	0.772	1
work-mcp2k-d94probe	157413	0.017	1.065	1
work-mcp2k-d94probe	158689	0.033	0.471	1
work-mcp2k-d94probe	159635	0.023	0.769	1
work-mcp2k-d94probe	162143	0.033	1.026	0
work-mcp2k-d94probe	162891	0.018	1.073	1
work-mcp2k-d94probe	164466	0.023	0.927	1
work-mcp2k-d94probe	165547	0.017	1.084	1
work-mcp2k-d94probe	166185	0.034	0.585	1
work-mcp2k-d94probe	166295	0.017	0.645	1
work-mcp2k-d94probe	166908	0.023	1.061	1
work-mcp2k-d94probe	168077	0.019	1.063	1
work-mcp2k-d94probe	169160	0.035	0.648	1
work-mcp2k-d94probe	169900	0.033	0.763	1
work-mcp2k-d94probe	170274	0.021	1.065	1
work-mcp2k-d94probe	170739	0.025	1.052	1
work-mcp2k-d94probe	171426	0.029	1.009	1
work-mcp2k-d94probe	172262	0.032	0.919	0
work-mcp2k-d94probe	172298	0.021	1.001	1
work-mcp2k-d94probe	172397	0.016	1.068	1
work-mcp2k-d94probe	173180	0.008	0.965	1
work-mcp2k-d94probe	173692	0.019	1.068	1
work-mcp2k-d94probe	173906	0.017	0.867	1
work-mcp2k-d94probe	173906	0.036	0.46	1
work-mcp2k-d94probe	173915	0.015	1.094	1
