sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	48301	0	14.892	0.785	22	1219424	0	cosmic-tagged	10	1	1	0	0													
mcp1k	18255	1	48367	0	17.496	4.706	25	1559004	0	nu-candidate	15	1	1	1	0	1.098	165.2	27	-161.64511	-91.04813	172.39943	1.2928084	-15.0	1.0	0.0	0.7	0.0	1071.2979
mcp1k	18255	1	48565	0	15.513	1.017	23	1201408	0	no-bundle	12	0	1	0	0													
mcp1k	18255	1	48895	0	15.824	2.925	25	1559760	0	nu-candidate	12	1	1	1	0	1.442	168.9	7	-164.94785	-165.48457	185.39601	0.18866481	-15.0	1.0	1.0	0.7	0.0	534.64764
mcp1k	18255	1	49445	0	13.861	1.339	21	1214200	0	cosmic-tagged	14	1	1	0	0													
mcp1k	18255	1	49467	0	16.175	1.026	23	1211072	0	cosmic-tagged	14	1	1	0	0													
mcp1k	18255	1	49511	0	13.751	0.935	21	1210412	0	no-beam-flash	14	0	0	0	0													
mcp1k	18255	1	49709	0	13.802	0.981	21	1209788	0	no-beam-flash	12	0	0	0	0													
mcp1k	18255	1	49885	0	16.222	1.055	23	1207272	0	no-beam-flash	14	0	0	0	0													
mcp1k	18255	1	49951	0	17.261	2.938	24	1561636	0	nu-candidate	12	1	1	1	0	1.983	61.3	12	190.82352	173.82964	21.610138	2.1800091	-4.300936	1.0	0.0	0.7	0.0	577.94476
mcp1k	18255	1	50017	0	16.080	0.930	23	1207900	0	no-beam-flash	13	0	0	0	0													
mcp1k	18255	1	50303	0	17.304	3.256	25	1559320	0	nu-candidate	11	1	1	1	0	1.704	44.2	11	143.39905	35.91676	184.31253	-0.04106542	-15.0	1.0	0.0	0.7	0.0	406.9023
mcp1k	18255	1	50523	0	15.044	2.011	22	1211960	0	cosmic-tagged	10	1	1	0	0													
mcp1k	18255	1	50743	0	17.057	2.727	25	1556632	0	nu-candidate	14	1	1	1	0	1.658	2.7	7	25.992485	79.01986	306.41455	-3.1206186	-15.0	1.0	0.0	0.7	0.0	15.692852
mcp1k	18255	1	50765	0	13.724	1.256	21	1215248	0	cosmic-tagged	11	1	1	0	0													
mcp1k	18255	1	50787	0	15.284	0.959	23	1214708	0	cosmic-tagged	7	1	1	0	0													
mcp1k	18255	1	50809	0	16.132	1.032	23	1209680	0	no-beam-flash	13	0	0	0	0													
mcp1k	18255	1	50831	0	17.377	3.084	25	1557772	0	nu-candidate	12	1	1	1	0	1.904	18.7	10	-141.85948	-123.952415	411.8378	-2.2162342	-15.0	1.0	0.0	0.7	0.0	231.75134
mcp1k	18255	1	50919	0	15.052	0.977	22	1212540	0	nu-candidate	10	1	1	0	0													
mcp1k	18255	1	51051	0	17.636	4.653	25	1560872	0	nu-candidate	13	1	1	1	0	1.101	253.1	4	-17.53562	-33.838554	302.1518	2.425232	-15.0	1.0	0.0	0.7	0.0	810.8569
mcp1k	18255	1	51469	0	14.937	1.130	22	1208644	0	cosmic-tagged	15	1	1	0	0													
mcp1k	18255	1	51513	0	17.387	3.017	25	1559500	0	nu-candidate	12	1	1	1	0	1.499	74.5	7	44.651	46.28588	138.68678	2.163083	-15.0	1.0	1.0	0.7	0.0	473.33948
mcp1k	18255	1	51865	0	17.310	3.044	25	1560084	0	nu-candidate	9	1	1	1	0	1.330	2.8	7	-56.141663	114.45163	272.04486	-1.9662173	-15.0	1.0	0.0	0.7	0.0	107.83938
mcp1k	18255	1	52085	0	17.226	3.337	24	1565796	0	nu-candidate	8	1	1	1	0	1.643	139.8	7	-0.5494617	112.69456	80.82909	4.01463	-15.0	1.0	0.0	0.7	0.0	682.0596
mcp1k	18255	1	52195	0	17.344	2.229	25	1202728	0	cosmic-tagged	12	1	1	0	0													
mcp1k	18255	1	52613	0	14.942	0.971	22	1209504	0	cosmic-tagged	9	1	1	0	0													
mcp1k	18255	1	52657	0	16.179	3.029	23	1560768	0	nu-candidate	19	1	1	1	0	1.594	101.0	5	-33.34585	-53.777576	257.69824	1.1781224	-15.0	1.0	1.0	0.7	0.0	386.3122
mcp1k	18255	1	52723	0	17.323	2.996	25	1561244	0	nu-candidate	10	1	2	1	0	1.125	61.6	3	92.83194	29.015902	449.85474	2.0574903	-15.0	1.0	0.0	0.7	0.0	394.33875
mcp1k	18255	1	53361	0	17.380	3.623	25	1552408	0	nu-candidate	19	1	1	1	0	1.970	120.9	5	-18.313257	-192.85774	168.75177	2.2939582	-15.0	1.0	0.0	0.7	0.0	510.91034
