tag	event	A	B
mcp1k	59003	second	first
mcp1k	59261	second	first
mcp1k	59929	first	second
mcp1k	60933	second	first
mcp1k	62459	first	second
mcp1k	65053	second	first
mcp1k	65999	first	second
mcp1k	277298	first	second
mcp1k	280884	second	first
mcp1k	281639	second	first
mcp1k	281808	first	second
mcp1k	284211	first	second
mcp1k	285531	first	second
mcp1k	285665	first	second
mcp1k	390644	first	second
mcp1k	68428	first	second
mcp1k	169824	first	second
mcp1k	170792	first	second
mcp1k	172832	second	first
mcp1k	174422	first	second
mcp2k	53749	second	first
mcp2k	58006	second	first
mcp2k	66944	first	second
mcp2k	67868	second	first
mcp2k	71642	first	second
mcp2k	77846	second	first
mcp2k	105338	first	second
mcp2k	275385	first	second
mcp2k	281985	second	first
mcp2k	293536	second	first
mcp2k	390743	first	second
mcp2k	391777	first	second
mcp2k	393538	first	second
mcp2k	396222	first	second
mcp2k	399963	first	second
mcp2k	402297	first	second
mcp2k	410566	first	second
mcp2k	415564	first	second
mcp2k	480970	second	first
mcp2k	497399	first	second
mcp2k	157215	first	second
mcp2k	158227	first	second
mcp2k	161725	first	second
mcp2k	163595	second	first
mcp2k	165060	second	first
mcp2k	169724	second	first
